"V","I"
-5.0,-0.01184
-4.9,-0.0116
-4.8,-0.01135
-4.7,-0.01112
-4.6,-0.01088
-4.5,-0.01065
-4.4,-0.01041
-4.3,-0.01017
-4.2,-0.00994
-4.1,-0.0097
-4.0,-0.00944
-3.9,-0.0092
-3.8,-0.00897
-3.7,-0.00874
-3.6,-0.0085
-3.5,-0.00827
-3.4,-0.00803
-3.3,-0.00779
-3.2,-0.00756
-3.1,-0.00732
-3.0,-0.00708
-2.9,-0.00684
-2.8,-0.0066
-2.7,-0.00637
-2.6,-0.00613
-2.5,-0.0059
-2.4,-0.00566
-2.3,-0.00542
-2.2,-0.00518
-2.1,-0.00495
-2.0,-0.00472
-1.9,-0.00448
-1.8,-0.00425
-1.7,-0.00401
-1.6,-0.00377
-1.5,-0.00353
-1.4,-0.00329
-1.3,-0.00306
-1.2,-0.00282
-1.1,-0.00258
-1.0,-0.00234
-0.9,-0.00211
-0.8,-0.00187
-0.7,-0.00163
-0.6,-0.0014
-0.5,-0.00116
-0.4,-0.000954
-0.3,-0.000716
-0.2,-0.00048
-0.1,-0.000243
0.0,-8.97e-06
0.1,2.054e-05
0.2,0.000474
0.3,0.00071
0.4,0.000946
0.5,0.001185
0.6,0.001426
0.7,0.001666
0.8,0.001903
0.9,0.00217
1.0,0.00241
1.1,0.00264
1.2,0.00288
1.3,0.00312
1.4,0.00335
1.5,0.0036
1.6,0.00383
1.7,0.00407
1.8,0.0043
1.9,0.00454
2.0,0.00477
2.1,0.00502
2.2,0.00525
2.3,0.00549
2.4,0.00572
2.5,0.00596
2.6,0.0062
2.7,0.00644
2.8,0.00667
2.9,0.00691
3.0,0.00714
3.1,0.00738
3.2,0.00762
3.3,0.00785
3.4,0.00809
3.5,0.00832
3.6,0.00856
3.7,0.0088
3.8,0.00903
3.9,0.00927
4.0,0.0095
4.1,0.00975
4.2,0.00998
4.3,0.01022
4.4,0.01045
4.5,0.01069
4.6,0.01093
4.7,0.01117
4.8,0.01141
4.9,0.01165
5.0,0.01188
