Iin,Iout,Iout,Theoretical 
-0.0001,6.11E-05,-6.11E-05,-0.0000625
-9.80E-05,6.08E-05,-6.08E-05,-0.00006125
-9.60E-05,5.96E-05,-5.96E-05,-0.00006
-9.40E-05,5.84E-05,-5.84E-05,-0.00005875
-9.20E-05,5.72E-05,-5.72E-05,-0.0000575
-9.00E-05,5.60E-05,-5.60E-05,-0.00005625
-8.80E-05,5.47E-05,-5.47E-05,-0.000055
-8.60E-05,5.35E-05,-5.35E-05,-0.00005375
-8.40E-05,5.23E-05,-5.23E-05,-0.0000525
-8.20E-05,5.10E-05,-5.10E-05,-0.00005125
-8.00E-05,4.98E-05,-4.98E-05,-0.00005
-7.80E-05,4.86E-05,-4.86E-05,-0.00004875
-7.60E-05,4.73E-05,-4.73E-05,-0.0000475
-7.40E-05,4.60E-05,-4.60E-05,-0.00004625
-7.20E-05,4.48E-05,-4.48E-05,-0.000045
-7.00E-05,4.36E-05,-4.36E-05,-0.00004375
-6.80E-05,4.23E-05,-4.23E-05,-0.0000425
-6.60E-05,4.11E-05,-4.11E-05,-0.00004125
-6.40E-05,3.99E-05,-3.99E-05,-0.00004
-6.20E-05,3.86E-05,-3.86E-05,-0.00003875
-6.00E-05,3.73E-05,-3.73E-05,-0.0000375
-5.80E-05,3.61E-05,-3.61E-05,-0.00003625
-5.60E-05,3.49E-05,-3.49E-05,-0.000035
-5.40E-05,3.36E-05,-3.36E-05,-0.00003375
-5.20E-05,3.24E-05,-3.24E-05,-0.0000325
-5.00E-05,3.11E-05,-3.11E-05,-0.00003125
-4.80E-05,2.99E-05,-2.99E-05,-0.00003
-4.60E-05,2.86E-05,-2.86E-05,-0.00002875
-4.40E-05,2.74E-05,-2.74E-05,-0.0000275
-4.20E-05,2.61E-05,-2.61E-05,-0.00002625
-4.00E-05,2.49E-05,-2.49E-05,-0.000025
-3.80E-05,2.37E-05,-2.37E-05,-0.00002375
-3.60E-05,2.24E-05,-2.24E-05,-0.0000225
-3.40E-05,2.11E-05,-2.11E-05,-0.00002125
-3.20E-05,1.99E-05,-1.99E-05,-0.00002
-3.00E-05,1.87E-05,-1.87E-05,-0.00001875
-2.80E-05,1.75E-05,-1.75E-05,-0.0000175
-2.60E-05,1.62E-05,-1.62E-05,-0.00001625
-2.40E-05,1.50E-05,-1.50E-05,-0.000015
-2.20E-05,1.38E-05,-1.38E-05,-0.00001375
-2.00E-05,1.25E-05,-1.25E-05,-0.0000125
-1.80E-05,1.12E-05,-1.12E-05,-0.00001125
-1.60E-05,1.00E-05,-1.00E-05,-0.00001
-1.40E-05,8.79E-06,-8.79E-06,-0.00000875
-1.20E-05,7.55E-06,-7.55E-06,-0.0000075
-1.00E-05,6.29E-06,-6.29E-06,-0.00000625
-8.00E-06,5.04E-06,-5.04E-06,-0.000005
-6.00E-06,3.78E-06,-3.78E-06,-0.00000375
-4.00E-06,2.53E-06,-2.53E-06,-0.0000025
-2.00E-06,1.27E-06,-1.27E-06,-0.00000125
-1.36E-20,-5.50E-09,5.50E-09,-8.47033E-21
2.00E-06,-1.26E-06,1.26E-06,0.00000125
4.00E-06,-2.50E-06,2.50E-06,0.0000025
6.00E-06,-3.76E-06,3.76E-06,0.00000375
8.00E-06,-5.01E-06,5.01E-06,0.000005
1.00E-05,-6.28E-06,6.28E-06,0.00000625
