Vin,I1,I2,I3,I4
5,0.202,9.56E-02,4.72E-02,2.35E-02
4.9,0.198,9.37E-02,4.62E-02,2.30E-02
4.8,0.194,9.17E-02,4.52E-02,2.25E-02
4.7,0.19,8.98E-02,4.43E-02,2.20E-02
4.6,0.186,8.79E-02,4.34E-02,2.16E-02
4.5,0.182,8.60E-02,4.24E-02,2.11E-02
4.4,0.178,8.41E-02,4.15E-02,2.07E-02
4.3,0.174,8.22E-02,4.06E-02,2.02E-02
4.2,0.17,8.03E-02,3.96E-02,1.97E-02
4.1,0.166,7.84E-02,3.87E-02,1.92E-02
4,0.161,7.62E-02,3.76E-02,1.87E-02
3.9,0.157,7.43E-02,3.67E-02,1.83E-02
3.8,0.153,7.24E-02,3.57E-02,1.78E-02
3.7,0.149,7.06E-02,3.48E-02,1.73E-02
3.6,0.146,6.87E-02,3.39E-02,1.68E-02
3.5,0.141,6.68E-02,3.29E-02,1.64E-02
3.4,0.137,6.49E-02,3.20E-02,1.59E-02
3.3,0.134,6.29E-02,3.11E-02,1.54E-02
3.2,0.129,6.11E-02,3.01E-02,1.50E-02
3.1,0.125,5.91E-02,2.91E-02,1.45E-02
3,0.121,5.72E-02,2.82E-02,1.40E-02
2.9,0.117,5.53E-02,2.73E-02,1.36E-02
2.8,0.113,5.34E-02,2.63E-02,1.31E-02
2.7,0.109,5.15E-02,2.54E-02,1.26E-02
2.6,0.105,4.96E-02,2.45E-02,1.21E-02
2.5,0.102,4.77E-02,2.35E-02,1.17E-02
2.4,9.62E-02,4.58E-02,2.26E-02,1.12E-02
2.3,9.22E-02,4.39E-02,2.16E-02,1.07E-02
2.2,8.81E-02,4.19E-02,2.07E-02,1.03E-02
2.1,8.42E-02,4.00E-02,1.97E-02,9.88E-03
2,8.02E-02,3.81E-02,1.88E-02,9.42E-03
1.9,7.62E-02,3.62E-02,1.78E-02,8.96E-03
1.8,7.23E-02,3.43E-02,1.69E-02,8.49E-03
1.7,6.82E-02,3.24E-02,1.59E-02,8.02E-03
1.6,6.42E-02,3.05E-02,1.50E-02,7.54E-03
1.5,6.01E-02,2.85E-02,1.40E-02,7.07E-03
1.4,5.61E-02,2.67E-02,1.31E-02,6.60E-03
1.3,5.21E-02,2.48E-02,1.22E-02,6.13E-03
1.2,4.81E-02,2.29E-02,1.12E-02,5.66E-03
1.1,4.41E-02,2.10E-02,1.03E-02,5.19E-03
1,4.01E-02,1.90E-02,9.46E-03,4.72E-03
0.9,3.60E-02,1.71E-02,8.51E-03,4.24E-03
0.8,3.21E-02,1.52E-02,7.58E-03,3.77E-03
0.7,2.80E-02,1.33E-02,6.63E-03,3.30E-03
0.6,2.40E-02,1.14E-02,5.68E-03,2.83E-03
0.5,2.00E-02,9.59E-03,4.74E-03,2.36E-03
0.4,1.60E-02,7.68E-03,3.79E-03,1.89E-03
0.3,1.20E-02,5.77E-03,2.85E-03,1.42E-03
0.2,8.13E-03,3.86E-03,1.90E-03,9.23E-04
0.1,4.13E-03,1.96E-03,9.45E-04,4.61E-04
0,1.36E-04,3.75E-05,1.24E-05,-3.00E-06
-0.1,-3.82E-03,-3.85E-04,-1.68E-04,-9.34E-05
-0.2,-7.92E-03,-3.79E-03,-1.86E-03,-9.36E-04
-0.3,-1.19E-02,-5.68E-03,-2.81E-03,-1.40E-03
-0.4,-1.59E-02,-7.60E-03,-3.75E-03,-1.86E-03
-0.5,-1.99E-02,-9.51E-03,-4.70E-03,-2.36E-03
-0.6,-2.42E-02,-1.15E-02,-5.66E-03,-2.82E-03
-0.7,-2.81E-02,-1.34E-02,-6.62E-03,-3.30E-03
-0.8,-3.21E-02,-1.53E-02,-7.56E-03,-3.77E-03
-0.9,-3.61E-02,-1.72E-02,-8.50E-03,-4.24E-03
-1,-4.02E-02,-1.91E-02,-9.46E-03,-4.72E-03
-1.1,-4.42E-02,-2.12E-02,-1.04E-02,-5.20E-03
-1.2,-4.82E-02,-2.30E-02,-1.14E-02,-5.67E-03
-1.3,-5.22E-02,-2.49E-02,-1.23E-02,-6.14E-03
-1.4,-5.62E-02,-2.68E-02,-1.32E-02,-6.60E-03
-1.5,-6.02E-02,-2.87E-02,-1.42E-02,-7.08E-03
-1.6,-6.43E-02,-3.07E-02,-1.51E-02,-7.55E-03
-1.7,-6.83E-02,-3.25E-02,-1.61E-02,-8.02E-03
-1.8,-7.23E-02,-3.44E-02,-1.70E-02,-8.49E-03
-1.9,-7.62E-02,-3.63E-02,-1.79E-02,-8.96E-03
-2,-8.02E-02,-3.82E-02,-1.89E-02,-9.42E-03
-2.1,-8.43E-02,-4.02E-02,-1.98E-02,-9.91E-03
-2.2,-8.83E-02,-4.21E-02,-2.09E-02,-1.04E-02
-2.3,-9.23E-02,-4.40E-02,-2.18E-02,-1.08E-02
-2.4,-9.64E-02,-4.59E-02,-2.27E-02,-1.13E-02
-2.5,-0.1003,-4.78E-02,-2.36E-02,-1.18E-02
-2.6,-0.1044,-4.97E-02,-2.46E-02,-1.23E-02
-2.7,-0.1084,-5.16E-02,-2.55E-02,-1.27E-02
-2.8,-0.1123,-5.35E-02,-2.64E-02,-1.32E-02
-2.9,-0.1163,-5.54E-02,-2.74E-02,-1.37E-02
-3,-0.1203,-5.73E-02,-2.83E-02,-1.41E-02
-3.1,-0.1244,-5.92E-02,-2.92E-02,-1.46E-02
-3.2,-0.1284,-6.12E-02,-3.02E-02,-1.51E-02
-3.3,-0.1324,-6.30E-02,-3.11E-02,-1.56E-02
