"Iin","V"
1e-09,-0.156
1.25892541179e-09,-0.093
1.58489319246e-09,0.016
1.99526231497e-09,0.171
2.51188643151e-09,0.314
3.16227766017e-09,0.329
3.98107170553e-09,0.338
5.01187233627e-09,0.347
6.3095734448e-09,0.355
7.94328234724e-09,0.362
1e-08,0.368
1.25892541179e-08,0.375
1.58489319246e-08,0.381
1.99526231497e-08,0.387
2.51188643151e-08,0.393
3.16227766017e-08,0.4
3.98107170553e-08,0.406
5.01187233627e-08,0.412
6.3095734448e-08,0.418
7.94328234724e-08,0.424
1e-07,0.43
1.25892541179e-07,0.436
1.58489319246e-07,0.442
1.99526231497e-07,0.448
2.51188643151e-07,0.453
3.16227766017e-07,0.459
3.98107170553e-07,0.466
5.01187233627e-07,0.472
6.3095734448e-07,0.478
7.94328234724e-07,0.484
1e-06,0.49
1.25892541179e-06,0.496
1.58489319246e-06,0.501
1.99526231497e-06,0.508
2.51188643151e-06,0.513
3.16227766017e-06,0.519
3.98107170553e-06,0.525
5.01187233627e-06,0.531
6.3095734448e-06,0.537
7.94328234724e-06,0.543
1e-05,0.549
1.25892541179e-05,0.555
1.58489319246e-05,0.561
1.99526231497e-05,0.567
2.51188643151e-05,0.572
3.16227766017e-05,0.578
3.98107170553e-05,0.584
5.01187233627e-05,0.59
6.3095734448e-05,0.596
7.94328234724e-05,0.602
0.0001,0.608
0.000125892541179,0.614
0.000158489319246,0.62
0.000199526231497,0.626
0.000251188643151,0.632
0.000316227766017,0.638
0.000398107170553,0.644
0.000501187233627,0.65
0.00063095734448,0.656
0.000794328234724,0.662
0.001,0.668
0.00125892541179,0.674
0.00158489319246,0.68
0.00199526231497,0.687
0.00251188643151,0.692
0.00316227766017,0.699
0.00398107170553,0.705
0.00501187233627,0.712
0.0063095734448,0.719
0.00794328234724,0.726
0.01,0.733
