"Iin","V"
1e-09,-0.14
1.25892541179e-09,-0.069
1.58489319246e-09,0.035
1.99526231497e-09,0.184
2.51188643151e-09,0.32
3.16227766017e-09,0.332
3.98107170553e-09,0.34
5.01187233627e-09,0.348
6.3095734448e-09,0.356
7.94328234724e-09,0.365
1e-08,0.372
1.25892541179e-08,0.38
1.58489319246e-08,0.388
1.99526231497e-08,0.396
2.51188643151e-08,0.402
3.16227766017e-08,0.407
3.98107170553e-08,0.411
5.01187233627e-08,0.415
6.3095734448e-08,0.421
7.94328234724e-08,0.427
1e-07,0.434
1.25892541179e-07,0.441
1.58489319246e-07,0.447
1.99526231497e-07,0.453
2.51188643151e-07,0.459
3.16227766017e-07,0.465
3.98107170553e-07,0.471
5.01187233627e-07,0.477
6.3095734448e-07,0.483
7.94328234724e-07,0.49
1e-06,0.497
1.25892541179e-06,0.504
1.58489319246e-06,0.509
1.99526231497e-06,0.515
2.51188643151e-06,0.521
3.16227766017e-06,0.527
3.98107170553e-06,0.533
5.01187233627e-06,0.54
6.3095734448e-06,0.546
7.94328234724e-06,0.552
1e-05,0.558
1.25892541179e-05,0.564
1.58489319246e-05,0.57
1.99526231497e-05,0.575
2.51188643151e-05,0.58
3.16227766017e-05,0.586
3.98107170553e-05,0.592
5.01187233627e-05,0.599
6.3095734448e-05,0.605
7.94328234724e-05,0.611
0.0001,0.617
0.000125892541179,0.622
0.000158489319246,0.628
0.000199526231497,0.635
0.000251188643151,0.64
0.000316227766017,0.645
0.000398107170553,0.652
0.000501187233627,0.658
0.00063095734448,0.665
0.000794328234724,0.672
0.001,0.677
0.00125892541179,0.683
0.00158489319246,0.691
0.00199526231497,0.701
0.00251188643151,0.711
0.00316227766017,0.724
0.00398107170553,0.741
0.00501187233627,0.758
0.0063095734448,0.75
0.00794328234724,0.746
0.01,0.729
