"Vin","I"
0.0,-2.4e-09
0.01,1.76e-08
0.02,1.89e-08
0.03,1.98e-08
0.04,2.19e-08
0.05,2.26e-08
0.06,2.32e-08
0.07,2.27e-08
0.08,2.27e-08
0.09,2.18e-08
0.1,2.03e-08
0.11,2.28e-08
0.12,2.4e-08
0.13,2.61e-08
0.14,2.61e-08
0.15,2.6e-08
0.16,2.65e-08
0.17,2.63e-08
0.18,2.59e-08
0.19,2.57e-08
0.2,2.76e-08
0.21,2.48e-08
0.22,2.7e-08
0.23,2.64e-08
0.24,2.85e-08
0.25,2.68e-08
0.26,2.74e-08
0.27,3.02e-08
0.28,3.08e-08
0.29,3.14e-08
0.3,3.18e-08
0.31,3.54e-08
0.32,3.53e-08
0.33,3.15e-08
0.34,3.24e-08
0.35,3.5e-08
0.36,3.89e-08
0.37,4.27e-08
0.38,4.87e-08
0.39,6.16e-08
0.4,7.32e-08
0.41,9.04e-08
0.42,1.137e-07
0.43,1.536e-07
0.44,1.86e-07
0.45,2.65e-07
0.46,3.79e-07
0.47,5.45e-07
0.48,7.88e-07
0.49,1.141e-06
0.5,1.656e-06
0.51,2.62e-06
0.52,3.8e-06
0.53,5.57e-06
0.54,8.17e-06
0.55,1.197e-05
0.56,1.748e-05
0.57,2.78e-05
0.58,4.03e-05
0.59,5.84e-05
0.6,8.44e-05
0.61,0.000122
0.62,0.000176
0.63,0.000279
0.64,0.000399
0.65,0.000578
0.66,0.000838
0.67,0.001209
0.68,0.00174
0.69,0.0028
0.7,0.00395
0.71,0.00552
0.72,0.00447
0.73,0.00376
0.74,0.00342
0.75,0.0031
0.76,0.00297
0.77,0.00289
0.78,0.00285
0.79,0.0028
0.8,0.00278
0.81,0.00277
0.82,0.00276
0.83,0.00275
0.84,0.00274
0.85,0.00273
0.86,0.00272
0.87,0.00272
0.88,0.00271
0.89,0.00272
0.9,0.00272
0.91,0.00272
0.92,0.00271
0.93,0.00269
0.94,0.00266
0.95,0.00265
0.96,0.00267
0.97,0.00273
0.98,0.0028
0.99,0.00291
1.0,0.00305
