Vin,R1I,R1V,R2I,R2V,R3I,R3V,R4I,R4V
0,9.00E-10,-0.003,-1.67E-07,-0.003,-1.62E-07,-0.003,-1.91E-07,-0.003
0.05,6.19E-08,0.048,-8.20E-08,0.048,-7.90E-08,0.048,-8.70E-08,0.048
0.1,6.02E-08,0.098,-4.80E-08,0.098,-4.70E-08,0.098,-5.10E-08,0.098
0.15,6.36E-08,0.149,-3.10E-08,0.149,-3.00E-08,0.149,-3.20E-08,0.149
0.2,7.03E-08,0.199,-2.00E-08,0.199,-1.90E-08,0.199,-2.10E-08,0.199
0.25,6.56E-08,0.248,-1.30E-08,0.248,-1.20E-08,0.248,-1.30E-08,0.248
0.3,6.92E-08,0.299,-7.00E-09,0.298,-7.00E-09,0.298,-7.00E-09,0.298
0.35,7.37E-08,0.348,3.00E-09,0.348,3.00E-09,0.348,2.00E-09,0.348
0.4,1.02E-07,0.398,3.90E-08,0.398,3.80E-08,0.398,3.50E-08,0.394
0.45,2.05E-07,0.449,2.69E-07,0.448,2.50E-07,0.446,1.58E-07,0.433
0.5,1.39E-06,0.499,1.71E-06,0.497,1.19E-06,0.487,4.13E-07,0.458
0.55,9.79E-06,0.549,9.27E-06,0.541,3.54E-06,0.515,7.65E-07,0.474
0.6,5.83E-05,0.594,2.05E-05,0.572,6.87E-06,0.533,1.16E-06,0.486
0.65,0.0002053,0.63,6.14E-05,0.589,1.07E-05,0.544,1.59E-06,0.494
0.7,0.000516,0.651,9.98E-05,0.602,1.50E-05,0.553,2.06E-06,0.5
0.75,0.000881,0.665,0.0001409,0.612,1.93E-05,0.56,2.51E-06,0.505
0.8,0.00129,0.676,0.0001843,0.619,2.42E-05,0.565,2.97E-06,0.509
0.85,0.00172,0.684,0.000233,0.624,2.88E-05,0.569,3.43E-06,0.513
0.9,0.0022,0.689,0.000278,0.629,3.34E-05,0.573,3.90E-06,0.517
0.95,0.00266,0.694,0.000325,0.633,3.82E-05,0.577,4.39E-06,0.52
1,0.00312,0.698,0.000372,0.636,4.30E-05,0.58,4.87E-06,0.522
1.05,0.0036,0.702,0.000419,0.639,4.78E-05,0.583,5.35E-06,0.525
1.1,0.00407,0.706,0.000467,0.642,5.26E-05,0.585,5.83E-06,0.527
1.15,0.00455,0.709,0.000514,0.645,5.74E-05,0.588,6.31E-06,0.529
1.2,0.00503,0.712,0.000562,0.647,6.23E-05,0.59,6.79E-06,0.531
1.25,0.00551,0.715,0.00061,0.65,6.72E-05,0.592,7.28E-06,0.533
1.3,0.00599,0.717,0.000659,0.652,7.21E-05,0.594,7.77E-06,0.535
1.35,0.00648,0.719,0.000707,0.654,7.70E-05,0.596,8.25E-06,0.537
1.4,0.00696,0.722,0.000755,0.655,8.18E-05,0.597,8.74E-06,0.538
1.45,0.00745,0.724,0.000804,0.657,8.68E-05,0.599,9.23E-06,0.54
1.5,0.00794,0.725,0.000852,0.659,9.17E-05,0.6,9.72E-06,0.541
1.55,0.00843,0.727,0.000902,0.66,9.67E-05,0.602,1.02E-05,0.542
1.6,0.00893,0.729,0.000952,0.662,0.0001017,0.603,1.07E-05,0.544
1.65,0.00942,0.731,0.001,0.663,0.0001065,0.604,1.12E-05,0.545
1.7,0.00991,0.732,0.001049,0.664,0.0001115,0.606,1.17E-05,0.546
1.75,0.0104,0.734,0.001097,0.666,0.0001165,0.607,1.22E-05,0.547
1.8,0.01089,0.735,0.001146,0.667,0.0001214,0.608,1.27E-05,0.548
1.85,0.01139,0.737,0.001195,0.668,0.0001263,0.609,1.32E-05,0.549
1.9,0.01187,0.738,0.001244,0.669,0.0001312,0.61,1.37E-05,0.55
1.95,0.01236,0.74,0.001293,0.67,0.0001362,0.611,1.41E-05,0.551
2,0.01286,0.742,0.001342,0.671,0.0001411,0.612,1.46E-05,0.552
2.05,0.01336,0.742,0.001393,0.672,0.0001463,0.613,1.52E-05,0.553
2.1,0.01386,0.744,0.001443,0.673,0.0001513,0.614,1.56E-05,0.554
2.15,0.01436,0.745,0.001493,0.674,0.0001563,0.615,1.61E-05,0.555
