"Vbase","Ibase","Iemitter"
0.3,-2.046e-07,-4.3e-07
0.305,-7e-09,-3.3e-09
0.31,-3e-09,-3.5e-09
0.315,-1e-09,-4.3e-09
0.32,0.0,-4.9e-09
0.325,0.0,-5.6e-09
0.33,1e-09,-6.3e-09
0.335,2e-09,-7.6e-09
0.34,1e-09,-9.6e-09
0.345,2e-09,-1.1e-08
0.35,2e-09,-1.33e-08
0.355,2e-09,-1.57e-08
0.36,2e-09,-1.85e-08
0.365,2e-09,-2.22e-08
0.37,3e-09,-2.67e-08
0.375,2e-09,-3.25e-08
0.38,2e-09,-3.91e-08
0.385,3e-09,-4.73e-08
0.39,3e-09,-5.71e-08
0.395,3e-09,-6.92e-08
0.4,3e-09,-8.36e-08
0.405,3e-09,-1.013e-07
0.41,3e-09,-1.223e-07
0.415,2e-09,-1.473e-07
0.42,3e-09,-1.787e-07
0.425,4e-09,-2.21e-07
0.43,4e-09,-2.68e-07
0.435,4e-09,-3.24e-07
0.44,4e-09,-3.94e-07
0.445,5e-09,-4.78e-07
0.45,5e-09,-5.81e-07
0.455,7e-09,-7.04e-07
0.46,6e-09,-8.54e-07
0.465,7e-09,-1.036e-06
0.47,7e-09,-1.255e-06
0.475,9e-09,-1.521e-06
0.48,1e-08,-1.84e-06
0.485,1.2e-08,-2.27e-06
0.49,1.4e-08,-2.76e-06
0.495,1.7e-08,-3.36e-06
0.5,2.1e-08,-4.08e-06
0.505,2.4e-08,-4.96e-06
0.51,2.8e-08,-6.02e-06
0.515,3.3e-08,-7.34e-06
0.52,4.1e-08,-8.96e-06
0.525,4.8e-08,-1.09e-05
0.53,5.8e-08,-1.328e-05
0.535,7e-08,-1.614e-05
0.54,8.4e-08,-1.959e-05
0.545,1.05e-07,-2.45e-05
0.55,1.28e-07,-2.99e-05
0.555,1.56e-07,-3.64e-05
0.56,1.89e-07,-4.43e-05
0.565,2.29e-07,-5.4e-05
0.57,2.78e-07,-6.57e-05
0.575,3.37e-07,-8e-05
0.58,4.08e-07,-9.69e-05
0.585,4.91e-07,-0.000117
0.59,5.92e-07,-0.0001413
0.595,7.13e-07,-0.0001703
0.6,8.8e-07,-0.000208
0.605,1.063e-06,-0.000252
0.61,1.284e-06,-0.000305
0.615,1.547e-06,-0.000368
0.62,1.866e-06,-0.000444
0.625,2.33e-06,-0.000552
0.63,2.8e-06,-0.000668
0.635,3.38e-06,-0.000807
0.64,4.09e-06,-0.000976
0.645,4.95e-06,-0.001185
0.65,5.99e-06,-0.001434
0.655,7.23e-06,-0.001733
0.66,8.97e-06,-0.00213
0.665,1.086e-05,-0.00258
0.67,1.311e-05,-0.00311
0.675,1.581e-05,-0.00376
0.68,1.902e-05,-0.00453
0.685,2.37e-05,-0.00561
0.69,2.85e-05,-0.00675
0.695,3.42e-05,-0.00811
0.7,4.1e-05,-0.00973
0.705,4.9e-05,-0.01163
0.71,5.83e-05,-0.01381
0.715,6.91e-05,-0.01635
0.72,8.16e-05,-0.01928
0.725,9.59e-05,-0.02042
0.73,0.0001121,-0.02042
0.735,0.0001283,-0.02042
0.74,0.0001329,-0.02042
0.745,0.0001328,-0.02042
0.75,0.0001327,-0.02042
0.755,0.0001326,-0.02042
0.76,0.0001325,-0.02042
0.765,0.0001325,-0.02042
0.77,0.0001324,-0.02042
0.775,0.0001323,-0.02042
0.78,0.0001323,-0.02042
0.785,0.0001322,-0.02042
0.79,0.0001322,-0.02042
0.795,0.0001322,-0.02042
0.8,0.0001321,-0.02042
