"Vbase","IbaseR1","IemitterR1","IbaseR2","IemitterR2","IbaseR3","IemitterR3"
0.0,-1.1e-09,-7e-10,0.0,1.15e-08,0.0,2e-10
0.05,6.94e-08,-4e-10,-6.46e-08,5.6e-09,-6.02e-08,2e-10
0.1,6.65e-08,-6e-10,8.8e-09,4.8e-09,4.6e-09,-3e-10
0.15,7.25e-08,-6e-10,3.06e-08,3.6e-09,2.84e-08,-4e-10
0.2,7.39e-08,-1e-09,3.37e-08,2.7e-09,4.05e-08,-6e-10
0.25,6.22e-08,-1.2e-09,4.46e-08,2e-09,3.75e-08,-9e-10
0.3,7.3e-08,-3.3e-09,5.57e-08,-1e-10,4.82e-08,-2.4e-09
0.35,7.38e-08,-1.68e-08,5.85e-08,-1.36e-08,6.3e-08,-1.47e-08
0.4,7.95e-08,-1.07e-07,6.41e-08,-1.011e-07,5.22e-08,-9.12e-08
0.45,1.6e-08,-7.37e-07,4.6e-09,-6.99e-07,3.4e-09,-5.36e-07
0.5,3.45e-08,-5.02e-06,8.91e-08,-2.043e-06,7.96e-08,-2.042e-06
0.55,1.883e-07,-2.042e-05,8.02e-08,-1.79e-05,2.68e-08,-4.92e-06
0.6,6.18e-07,-0.0001453,1.976e-07,-4.51e-05,1.252e-07,-8.54e-06
0.65,1.632e-06,-0.000388,3.47e-07,-8.12e-05,1.414e-07,-1.253e-05
0.7,3.08e-06,-0.000735,5.19e-07,-0.0001222,1.644e-07,-1.683e-05
0.75,4.67e-06,-0.001123,6.98e-07,-0.000165,1.758e-07,-2.042e-05
0.8,6.39e-06,-0.001541,8.87e-07,-0.000209,1.226e-07,-2.58e-05
0.85,8.17e-06,-0.001973,1.08e-06,-0.000254,1.39e-07,-3.04e-05
0.9,1.003e-05,-0.00241,1.273e-06,-0.0003,1.61e-07,-3.5e-05
0.95,1.196e-05,-0.00287,1.474e-06,-0.000348,1.81e-07,-3.98e-05
1.0,1.386e-05,-0.00333,1.673e-06,-0.000396,2.02e-07,-4.45e-05
1.05,1.579e-05,-0.00379,1.873e-06,-0.000444,2.23e-07,-4.93e-05
1.1,1.775e-05,-0.00427,2.09e-06,-0.000494,2.44e-07,-5.4e-05
1.15,1.967e-05,-0.00473,2.29e-06,-0.000542,2.63e-07,-5.88e-05
1.2,2.19e-05,-0.00523,2.5e-06,-0.000592,2.86e-07,-6.36e-05
1.25,2.38e-05,-0.00571,2.7e-06,-0.000641,3.07e-07,-6.84e-05
