"Vin","Vout"
0.0,0.001
0.05,0.001
0.1,0.001
0.15,0.001
0.2,0.002
0.25,0.002
0.3,0.002
0.35,0.002
0.4,0.002
0.45,0.002
0.5,0.002
0.55,0.005
0.6,0.015
0.65,0.039
0.7,0.071
0.75,0.11
0.8,0.151
0.85,0.194
0.9,0.238
0.95,0.284
1.0,0.329
1.05,0.376
1.1,0.422
1.15,0.469
1.2,0.515
1.25,0.562
1.3,0.61
1.35,0.657
1.4,0.704
1.45,0.751
1.5,0.799
1.55,0.847
1.6,0.896
1.65,0.943
1.7,0.991
1.75,1.039
1.8,1.087
1.85,1.135
1.9,1.183
1.95,1.231
2.0,1.278
2.05,1.329
2.1,1.378
2.15,1.427
2.2,1.475
2.25,1.523
2.3,1.571
2.35,1.619
2.4,1.668
2.45,1.717
2.5,1.765
2.55,1.813
2.6,1.861
2.65,1.91
2.7,1.958
2.75,2.014
2.8,2.062
2.85,2.11
2.9,2.158
2.95,2.206
3.0,2.256
3.05,2.304
3.1,2.354
3.15,2.404
3.2,2.452
3.25,2.5
3.3,2.548
3.35,2.596
3.4,2.646
3.45,2.694
3.5,2.742
3.55,2.79
3.6,2.84
3.65,2.888
3.7,2.936
3.75,2.984
3.8,3.032
3.85,3.08
3.9,3.13
3.95,3.178
4.0,3.226
4.05,3.28
4.1,3.33
4.15,3.378
4.2,3.426
4.25,3.474
4.3,3.522
4.35,3.57
4.4,3.618
4.45,3.666
4.5,3.714
4.55,3.762
4.6,3.81
4.65,3.86
4.7,3.908
4.75,3.956
4.8,4.004
4.85,4.052
4.9,4.098
4.95,4.108
5.0,4.108
