"Vin","Vout"
0.0,0.001
0.05,0.001
0.1,0.001
0.15,0.001
0.2,0.001
0.25,0.001
0.3,0.002
0.35,0.002
0.4,0.002
0.45,0.002
0.5,0.002
0.55,0.005
0.6,0.014
0.65,0.037
0.7,0.069
0.75,0.105
0.8,0.146
0.85,0.187
0.9,0.23
0.95,0.273
1.0,0.317
1.05,0.362
1.1,0.406
1.15,0.45
1.2,0.492
1.25,0.512
1.3,0.555
1.35,0.598
1.4,0.641
1.45,0.684
1.5,0.727
1.55,0.77
1.6,0.807
1.65,0.85
1.7,0.892
1.75,0.939
1.8,0.986
1.85,1.033
1.9,1.081
1.95,1.134
2.0,1.183
2.05,1.235
2.1,1.285
2.15,1.333
2.2,1.38
2.25,1.417
2.3,1.465
2.35,1.516
2.4,1.565
2.45,1.611
2.5,1.659
2.55,1.705
2.6,1.755
2.65,1.802
2.7,1.848
2.75,1.875
2.8,1.933
2.85,1.98
2.9,2.036
2.95,2.082
3.0,2.128
3.05,2.176
3.1,2.228
3.15,2.276
3.2,2.324
3.25,2.368
3.3,2.414
3.35,2.46
3.4,2.508
3.45,2.564
3.5,2.612
3.55,2.658
3.6,2.704
3.65,2.75
3.7,2.8
3.75,2.848
3.8,2.894
3.85,2.942
3.9,2.992
3.95,3.042
4.0,3.088
4.05,3.142
4.1,3.18
4.15,3.234
4.2,3.292
4.25,3.34
4.3,3.39
4.35,3.442
4.4,3.496
4.45,3.542
4.5,3.592
4.55,3.646
4.6,3.7
4.65,3.748
4.7,3.79
4.75,3.836
4.8,3.884
4.85,3.932
4.9,3.98
4.95,4.038
5.0,4.086
