Vin,Vout
0,-0.15
0.05,-0.137
0.1,-0.124
0.15,-0.099
0.2,-0.056
0.25,-0.008
0.3,0.042
0.35,0.092
0.4,0.141
0.45,0.191
0.5,0.241
0.55,0.292
0.6,0.343
0.65,0.393
0.7,0.443
0.75,0.494
0.8,0.544
0.85,0.594
0.9,0.644
0.95,0.695
1,0.745
1.05,0.795
1.1,0.845
1.15,0.896
1.2,0.945
1.25,0.995
1.3,1.045
1.35,1.095
1.4,1.145
1.45,1.195
1.5,1.245
1.55,1.295
1.6,1.345
1.65,1.395
1.7,1.445
1.75,1.495
1.8,1.544
1.85,1.593
1.9,1.643
1.95,1.692
2,1.742
2.05,1.791
2.1,1.859
2.15,1.909
2.2,1.959
2.25,2.007
2.3,2.068
2.35,2.114
2.4,2.164
2.45,2.214
2.5,2.264
2.55,2.314
2.6,2.364
2.65,2.414
2.7,2.464
2.75,2.514
2.8,2.562
2.85,2.614
2.9,2.664
2.95,2.712
3,2.764
3.05,2.814
3.1,2.864
3.15,2.916
3.2,2.966
3.25,3.014
3.3,3.064
3.35,3.114
3.4,3.164
3.45,3.214
3.5,3.264
3.55,3.312
3.6,3.362
3.65,3.412
3.7,3.462
3.75,3.51
3.8,3.56
3.85,3.608
3.9,3.658
3.95,3.708
4,3.756
4.05,3.814
4.1,3.866
4.15,3.914
4.2,3.964
4.25,4.018
4.3,4.066
4.35,4.108
4.4,4.108
4.45,4.108
4.5,4.108
4.55,4.108
4.6,4.385
4.65,4.108
4.7,4.485
4.75,4.108
4.8,4.59
4.85,4.108
4.9,4.69
4.95,4.108
5,4.79
