"Vin","VoutR1","VoutR2","VoutR3","VoutR4"
0.0,5.035,5.035,5.035,5.035
0.05,4.108,4.108,4.108,4.108
0.1,5.035,5.03,5.03,5.03
0.15,4.108,4.108,4.108,4.108
0.2,5.035,5.035,5.03,5.035
0.25,4.108,4.108,4.108,4.108
0.3,5.035,5.035,5.035,5.035
0.35,4.108,4.108,4.108,4.108
0.4,5.035,5.035,5.035,5.035
0.45,4.108,4.108,4.108,4.108
0.5,5.035,5.035,5.035,5.035
0.55,4.108,4.108,4.108,4.108
0.6,5.025,5.01,4.995,4.98
0.65,4.108,4.108,4.108,4.108
0.7,4.965,4.895,4.82,4.75
0.75,4.108,4.108,4.108,4.108
0.8,4.89,4.735,4.585,4.435
0.85,4.108,4.108,4.108,4.108
0.9,4.805,4.565,4.108,4.076
0.95,4.108,4.108,4.108,3.9
1.0,4.715,4.385,4.038,3.722
1.05,4.108,4.108,3.904,3.542
1.1,4.625,4.108,3.768,3.36
1.15,4.108,4.088,3.632,3.182
1.2,4.525,3.992,3.488,2.992
1.25,4.108,3.9,3.35,2.808
1.3,4.43,3.808,3.21,2.622
1.35,4.108,3.714,3.07,2.438
1.4,4.108,3.622,2.932,2.254
1.45,4.108,3.528,2.79,2.066
1.5,4.108,3.434,2.65,1.88
1.55,4.108,3.338,2.508,1.692
1.6,4.108,3.242,2.364,1.501
1.65,4.082,3.148,2.224,1.319
1.7,4.036,3.054,2.084,1.163
1.75,3.99,2.958,1.942,1.12
1.8,3.942,2.864,1.802,1.133
1.85,3.896,2.768,1.66,1.163
1.9,3.85,2.674,1.523,1.198
1.95,3.802,2.58,1.408,1.237
2.0,3.756,2.486,1.373,1.278
2.05,3.706,2.386,1.386,1.322
2.1,3.658,2.288,1.416,1.366
2.15,3.61,2.192,1.452,1.411
2.2,3.562,2.096,1.491,1.456
2.25,3.516,1.978,1.531,1.501
2.3,3.468,1.91,1.573,1.546
2.35,3.42,1.828,1.617,1.592
2.4,3.372,1.792,1.661,1.639
2.45,3.324,1.8,1.706,1.685
2.5,3.278,1.818,1.751,1.732
2.55,3.23,1.862,1.796,1.778
2.6,3.182,1.898,1.842,1.825
2.65,3.134,1.938,1.888,1.872
2.7,3.086,1.98,1.934,1.919
2.75,3.038,2.024,1.98,1.965
2.8,2.992,2.066,2.032,2.02
2.85,2.944,2.11,2.078,2.066
2.9,2.898,2.156,2.126,2.114
2.95,2.85,2.202,2.174,2.16
3.0,2.806,2.248,2.22,2.208
3.05,2.76,2.294,2.268,2.256
3.1,2.716,2.34,2.316,2.306
3.15,2.674,2.386,2.364,2.354
3.2,2.638,2.434,2.412,2.402
3.25,2.632,2.48,2.46,2.45
3.3,2.648,2.526,2.506,2.496
3.35,2.676,2.574,2.554,2.544
3.4,2.71,2.62,2.602,2.556
3.45,2.748,2.666,2.648,2.558
3.5,2.788,2.708,2.676,2.56
3.55,2.83,2.758,2.678,2.56
3.6,2.87,2.806,2.678,2.558
3.65,2.914,2.852,2.68,2.56
3.7,2.958,2.874,2.68,2.56
3.75,3.002,2.872,2.68,2.56
3.8,3.046,2.834,2.68,2.56
3.85,3.09,2.866,2.68,2.558
3.9,3.136,2.854,2.68,2.558
3.95,3.18,2.846,2.68,2.558
4.0,3.226,2.87,2.68,2.558
4.05,3.272,2.88,2.68,2.56
4.1,3.318,2.878,2.68,2.56
4.15,3.354,2.88,2.68,2.56
4.2,3.356,2.878,2.68,2.56
4.25,3.356,2.878,2.68,2.56
4.3,3.356,2.878,2.68,2.56
4.35,3.356,2.878,2.68,2.56
4.4,3.356,2.878,2.68,2.56
4.45,3.356,2.878,2.68,2.56
4.5,3.356,2.878,2.68,2.56
4.55,3.356,2.878,2.68,2.56
4.6,3.358,2.878,2.68,2.56
4.65,3.358,2.878,2.68,2.56
4.7,3.358,2.876,2.68,2.558
4.75,3.358,2.876,2.68,2.56
4.8,3.358,2.876,2.68,2.56
4.85,3.358,2.876,2.68,2.56
4.9,3.358,2.878,2.68,2.56
4.95,3.358,2.878,2.68,2.558
5.0,3.358,2.876,2.68,2.558
