Vin,Vout
0,5.035
0.05,4.108
0.1,5.035
0.15,4.108
0.2,5.035
0.25,4.108
0.3,5.035
0.35,4.108
0.4,5.035
0.45,4.108
0.5,5.035
0.55,4.108
0.6,5.02
0.65,4.108
0.7,4.965
0.75,4.108
0.8,4.885
0.85,4.108
0.9,4.805
0.95,4.108
1,4.715
1.05,4.108
1.1,4.625
1.15,4.108
1.2,4.525
1.25,4.108
1.3,4.435
1.35,4.108
1.4,4.108
1.45,4.108
1.5,4.108
1.55,4.108
1.6,4.108
1.65,4.084
1.7,4.038
1.75,3.99
1.8,3.944
1.85,3.898
1.9,3.852
1.95,3.804
2,3.756
2.05,3.708
2.1,3.66
2.15,3.612
2.2,3.564
2.25,3.518
2.3,3.47
2.35,3.422
2.4,3.374
2.45,3.326
2.5,3.28
2.55,3.232
2.6,3.184
2.65,3.136
2.7,3.088
2.75,3.046
2.8,3.002
2.85,2.956
2.9,2.91
2.95,2.864
3,2.82
3.05,2.776
3.1,2.732
3.15,2.69
3.2,2.656
3.25,2.644
3.3,2.656
3.35,2.682
3.4,2.714
3.45,2.752
3.5,2.79
3.55,2.832
3.6,2.874
3.65,2.918
3.7,2.96
3.75,3.004
3.8,3.048
3.85,3.092
3.9,3.138
3.95,3.182
4,3.226
4.05,3.274
4.1,3.318
4.15,3.36
4.2,3.364
4.25,3.364
4.3,3.364
4.35,3.364
4.4,3.364
4.45,3.366
4.5,3.366
4.55,3.366
4.6,3.364
4.65,3.364
4.7,3.364
4.75,3.364
4.8,3.362
4.85,3.362
4.9,3.362
4.95,3.36
5,3.36
