time	V(vz)
0.000000000000000e+00	2.999995e+00
2.285714312425366e-07	2.999995e+00
4.571428624850733e-07	2.999995e+00
6.857142937276099e-07	2.999995e+00
9.142857249701465e-07	2.999995e+00
1.142857156212683e-06	2.999995e+00
1.371428587455220e-06	2.999995e+00
1.600000018697756e-06	2.999995e+00
3.200000037395512e-06	2.999997e+00
6.400000074791024e-06	3.000008e+00
7.200000084139901e-06	3.000014e+00
8.800000102837657e-06	3.000029e+00
1.200000014023317e-05	3.000061e+00
1.840000021502419e-05	3.000156e+00
3.120000036460624e-05	3.000462e+00
5.073125036460624e-05	3.001172e+00
7.026250036460625e-05	3.002175e+00
8.979375036460625e-05	3.003499e+00
1.093250003646063e-04	3.005154e+00
1.288562503646062e-04	3.007140e+00
1.483875003646062e-04	3.009448e+00
1.679187503646062e-04	3.012075e+00
1.874500003646062e-04	3.015024e+00
2.069812503646062e-04	3.018293e+00
2.265125003646062e-04	3.021881e+00
2.460437503646062e-04	3.025788e+00
2.655750003646062e-04	3.030012e+00
2.851062503646062e-04	3.034552e+00
3.046375003646063e-04	3.039406e+00
3.241687503646063e-04	3.044574e+00
3.437000003646063e-04	3.050052e+00
3.632312503646063e-04	3.055841e+00
4.022937503646064e-04	3.068340e+00
4.413562503646064e-04	3.082056e+00
4.804187503646064e-04	3.096972e+00
5.194812503646065e-04	3.113072e+00
5.780750003646065e-04	3.139401e+00
6.366687503646066e-04	3.168286e+00
7.036330360788923e-04	3.204627e+00
7.705973217931782e-04	3.243821e+00
8.375616075074639e-04	3.285868e+00
9.045258932217498e-04	3.330769e+00
9.714901789360356e-04	3.378522e+00
1.038454464650321e-03	3.429129e+00
1.105418750364607e-03	3.482588e+00
1.217025893221750e-03	3.577719e+00
1.328633036078893e-03	3.677962e+00
1.440240178936036e-03	3.783318e+00
1.551847321793179e-03	3.893786e+00
1.663454464650322e-03	4.009367e+00
1.775061607507465e-03	4.130060e+00
1.886668750364608e-03	4.255866e+00
2.185217857507465e-03	4.614666e+00
2.483766964650322e-03	4.986167e+00
2.782316071793180e-03	5.370371e+00
3.080865178936037e-03	5.767276e+00
3.379414286078894e-03	6.176884e+00
3.677963393221751e-03	6.599193e+00
3.976512500364608e-03	7.034204e+00
4.300173214650316e-03	7.507619e+00
4.623833928936023e-03	7.984850e+00
4.947494643221730e-03	8.465895e+00
5.271155357507438e-03	8.950754e+00
5.594816071793145e-03	9.439429e+00
5.918476786078853e-03	9.931918e+00
6.242137500364560e-03	1.042822e+01
6.454191071793127e-03	1.075376e+01
6.666244643221694e-03	1.107997e+01
6.878298214650261e-03	1.140686e+01
7.090351786078828e-03	1.173443e+01
7.302405357507395e-03	1.206266e+01
7.514458928935961e-03	1.239158e+01
7.726512500364528e-03	1.272116e+01
7.765575000364527e-03	1.278189e+01
7.785106250364527e-03	1.281222e+01
7.804637500364526e-03	1.284211e+01
7.824168750364527e-03	1.286561e+01
7.843700000364526e-03	1.287601e+01
7.863231250364526e-03	1.287775e+01
7.882762500364526e-03	1.287790e+01
7.902293750364525e-03	1.287793e+01
7.921825000364525e-03	1.287801e+01
7.930369922239526e-03	1.287795e+01
7.944887570118990e-03	1.287795e+01
7.959405217998454e-03	1.287795e+01
7.973922865877918e-03	1.287796e+01
7.988440513757382e-03	1.287796e+01
8.002958161636846e-03	1.287796e+01
8.017475809516309e-03	1.287796e+01
8.031993457395773e-03	1.287795e+01
1.000195312500000e-02	1.287795e+01
1.934570312499980e-02	1.287795e+01
1.999023437499979e-02	1.287795e+01
2.000000000000000e-02	1.287795e+01
