v3	V(vx)	V(vz)	V(vy)
Step Information: V4=800m  (Run: 1/5)
0.000000000000000e+00	0.000000e+00	7.999976e-01	8.000000e-01
6.000000000000001e-01	6.000000e-01	9.999968e-01	8.000000e-01
1.200000000000000e+00	1.200000e+00	1.442217e+00	8.000000e-01
1.800000000000000e+00	1.800000e+00	1.969764e+00	8.000000e-01
2.400000000000000e+00	2.400000e+00	2.529772e+00	8.000000e-01
3.000000000000000e+00	3.000000e+00	3.104094e+00	8.000000e-01
Step Information: V4=1.6  (Run: 2/5)
0.000000000000000e+00	0.000000e+00	1.599997e+00	1.600000e+00
6.000000000000001e-01	6.000000e-01	1.708797e+00	1.600000e+00
1.200000000000000e+00	1.200000e+00	1.999996e+00	1.600000e+00
1.800000000000000e+00	1.800000e+00	2.408311e+00	1.600000e+00
2.400000000000000e+00	2.400000e+00	2.884303e+00	1.600000e+00
3.000000000000000e+00	3.000000e+00	3.396724e+00	1.600000e+00
Step Information: V4=2.4  (Run: 3/5)
0.000000000000000e+00	0.000000e+00	2.399996e+00	2.400000e+00
6.000000000000001e-01	6.000000e-01	2.473859e+00	2.400000e+00
1.200000000000000e+00	1.200000e+00	2.683277e+00	2.400000e+00
1.800000000000000e+00	1.800000e+00	2.997585e+00	2.400000e+00
2.400000000000000e+00	2.400000e+00	3.393977e+00	2.400000e+00
3.000000000000000e+00	3.000000e+00	3.841855e+00	2.400000e+00
Step Information: V4=3.2  (Run: 4/5)
0.000000000000000e+00	0.000000e+00	3.199995e+00	3.200000e+00
6.000000000000001e-01	6.000000e-01	3.255759e+00	3.200000e+00
1.200000000000000e+00	1.200000e+00	3.417596e+00	3.200000e+00
1.800000000000000e+00	1.800000e+00	3.669980e+00	3.200000e+00
2.400000000000000e+00	2.400000e+00	3.999901e+00	3.200000e+00
3.000000000000000e+00	3.000000e+00	4.386323e+00	3.200000e+00
Step Information: V4=4  (Run: 5/5)
0.000000000000000e+00	0.000000e+00	3.999994e+00	4.000000e+00
6.000000000000001e-01	6.000000e-01	4.044744e+00	4.000000e+00
1.200000000000000e+00	1.200000e+00	4.176116e+00	4.000000e+00
1.800000000000000e+00	1.800000e+00	4.385289e+00	4.000000e+00
2.400000000000000e+00	2.400000e+00	4.664690e+00	4.000000e+00
3.000000000000000e+00	3.000000e+00	4.995102e+00	4.000000e+00
