"Vbase","IbaseT1","IemitterT1"
0.0,1.12e-07,4.9e-07
0.01,1.3e-07,1.45e-07
0.02,1.8e-07,1.8e-07
0.03,1.53e-07,1.44e-07
0.04,1.28e-07,1.22e-07
0.05,1.2e-07,1.38e-07
0.06,1.71e-07,1.33e-07
0.07,2.7e-08,-1.53e-08
0.08,7.9e-09,-4.29e-08
0.09,1.28e-08,-7e-09
0.1,4.37e-08,3.11e-08
0.11,6.47e-08,5.04e-08
0.12,6.51e-08,4.73e-08
0.13,6.35e-08,4.7e-08
0.14,7.3e-08,5.64e-08
0.15,6.89e-08,5.24e-08
0.16,7.11e-08,5.8e-08
0.17,8.19e-08,6.71e-08
0.18,8.27e-08,6.62e-08
0.19,6.54e-08,4.81e-08
0.2,4.4e-08,2.56e-08
0.21,1.7e-08,-7.1e-09
0.22,-2.85e-08,-5.45e-08
0.23,-6.66e-08,-8.41e-08
0.24,-8.95e-08,-1.224e-07
0.25,-9.89e-08,-1.173e-07
0.26,-6.35e-08,-6.18e-08
0.27,-7e-09,-1.38e-08
0.28,1.23e-08,-3e-10
0.29,2.72e-08,1.24e-08
0.3,3.31e-08,1.49e-08
0.31,3.67e-08,2.07e-08
0.32,6.04e-08,5.26e-08
0.33,1.003e-07,8.99e-08
0.34,2.048e-07,2.05e-07
0.35,4e-07,7.8e-09
0.36,8.8e-09,-4.5e-09
0.37,1.4e-09,1.03e-08
0.38,7.21e-08,2.05e-07
0.39,2.32e-06,-2.44e-08
0.4,-3.94e-07,-2.03e-07
0.41,-8.3e-08,-4.94e-08
0.42,-1.63e-08,-4.4e-09
0.43,4.83e-08,4.96e-08
0.44,2.048e-07,2.05e-07
0.45,-1.208e-07,-1.9e-07
0.46,7.66e-08,-9.2e-09
0.47,5.35e-08,-1e-08
0.48,7.74e-08,2.3e-09
0.49,5.18e-08,-2.44e-08
0.5,6.84e-08,-1.35e-08
0.51,8.67e-08,-2.02e-08
0.52,9.03e-08,-2.63e-08
0.53,1.062e-07,-3.86e-08
0.54,8.75e-08,-6.23e-08
0.55,8.32e-08,-7.83e-08
0.56,8.92e-08,-9.2e-08
0.57,9.19e-08,-1.08e-07
0.58,9.56e-08,-1.2e-07
0.59,1.023e-07,-1.355e-07
0.6,9.42e-08,-1.847e-07
0.61,1.247e-07,-1.728e-07
0.62,2.06e-06,-1.84e-06
0.63,1.946e-05,-1.625e-05
0.64,1.975e-05,-1.655e-05
0.65,0.000206,-0.000441
0.66,0.000597,-0.000592
0.67,0.000767,-0.000762
0.68,0.000983,-0.000977
0.69,0.001254,-0.00125
0.7,0.001596,-0.001591
0.71,0.002035,-0.002
0.72,0.00267,-0.00259
0.73,0.00334,-0.00327
0.74,0.00417,-0.00409
0.75,0.00515,-0.00508
0.76,0.00633,-0.00626
0.77,0.00772,-0.00765
0.78,0.00933,-0.00927
0.79,0.01115,-0.01109
0.8,0.01319,-0.01314
0.81,0.01543,-0.01537
0.82,0.01786,-0.0178
0.83,0.02043,-0.02036
0.84,0.02062,-0.02036
0.85,0.02062,-0.02036
0.86,0.02062,-0.02036
0.87,0.02062,-0.02036
0.88,0.02062,-0.02036
0.89,0.02062,-0.02036
0.9,0.02062,-0.02036
0.91,0.02062,-0.02036
0.92,0.02062,-0.02036
0.93,0.02062,-0.02036
0.94,0.02062,-0.02036
0.95,0.02062,-0.02036
0.96,0.02062,-0.02036
0.97,0.02062,-0.02036
0.98,0.02062,-0.02036
0.99,0.02062,-0.02036
1.0,0.02062,-0.02036
