"Ix","Iz1","Iz2","Iz3"
1e-08,-0.000357,-0.000357,-0.000357
1.07189131921e-08,-0.000357,-0.000357,-0.000357
1.14895100019e-08,-0.000357,-0.000357,-0.000357
1.23155060329e-08,-0.000357,-0.000357,-0.000357
1.32008840083e-08,-0.000357,-0.000357,-0.000357
1.41499129743e-08,-0.000357,-0.000357,-0.000357
1.51671688847e-08,-0.000357,-0.000357,-0.000357
1.62575566644e-08,-0.000357,-0.000357,-0.000357
1.74263338601e-08,-0.000357,-0.000357,-0.000357
1.86791359902e-08,-0.000357,-0.000357,-0.000357
2.00220037182e-08,-0.000357,-0.000357,-0.000357
2.14614119786e-08,-0.000357,-0.000357,-0.000357
2.30043011977e-08,-0.000357,-0.000357,-0.000357
2.46581107582e-08,-0.000357,-0.000357,-0.000357
2.64308148697e-08,-0.000357,-0.000357,-0.000357
2.83309610184e-08,-0.000357,-0.000357,-0.000357
3.03677111804e-08,-0.000357,-0.000357,-0.000357
3.25508859984e-08,-0.000357,-0.000357,-0.000357
3.48910121341e-08,-0.000357,-0.000357,-0.000357
3.73993730248e-08,-0.000357,-0.000357,-0.000357
4.0088063289e-08,-0.000357,-0.000357,-0.000358
4.29700470432e-08,-0.000357,-0.000357,-0.000357
4.60592204115e-08,-0.000357,-0.000357,-0.000357
4.93704785284e-08,-0.000357,-0.000357,-0.000357
5.29197873596e-08,-0.000357,-0.000357,-0.000357
5.67242606849e-08,-0.000357,-0.000357,-0.000358
6.08022426165e-08,-0.000357,-0.000357,-0.000357
6.51733960488e-08,-0.000357,-0.000357,-0.000357
6.98587974679e-08,-0.000357,-0.000357,-0.000357
7.48810385759e-08,-0.000357,-0.000357,-0.000357
8.02643352226e-08,-0.000357,-0.000357,-0.000357
8.60346441668e-08,-0.000357,-0.000357,-0.000358
9.22197882333e-08,-0.000357,-0.000357,-0.000358
9.88495904663e-08,-0.000357,-0.000357,-0.000357
1.05956017928e-07,-0.000357,-0.000357,-0.000357
1.13573335834e-07,-0.000357,-0.000357,-0.000357
1.21738272774e-07,-0.000357,-0.000357,-0.000357
1.30490197801e-07,-0.000357,-0.000357,-0.000357
1.39871310265e-07,-0.000357,-0.000357,-0.000357
1.49926843279e-07,-0.000357,-0.000357,-0.000357
1.60705281826e-07,-0.000357,-0.000357,-0.000357
1.7225859654e-07,-0.000357,-0.000357,-0.000357
1.8464249429e-07,-0.000357,-0.000357,-0.000357
1.97916686785e-07,-0.000357,-0.000357,-0.000357
2.12145178491e-07,-0.000357,-0.000357,-0.000357
2.27396575236e-07,-0.000357,-0.000357,-0.000357
2.43744415012e-07,-0.000357,-0.000357,-0.000357
2.61267522556e-07,-0.000357,-0.000357,-0.000357
2.80050389418e-07,-0.000357,-0.000357,-0.000357
3.00183581358e-07,-0.000357,-0.000357,-0.000357
3.21764175025e-07,-0.000357,-0.000357,-0.000357
3.44896226041e-07,-0.000357,-0.000357,-0.000358
3.6969127072e-07,-0.000357,-0.000357,-0.000357
3.9626886387e-07,-0.000357,-0.000357,-0.000357
4.24757155254e-07,-0.000357,-0.000357,-0.000357
4.55293507487e-07,-0.000357,-0.000357,-0.000357
4.88025158365e-07,-0.000357,-0.000357,-0.000357
5.23109930806e-07,-0.000357,-0.000357,-0.000357
5.60716993821e-07,-0.000357,-0.000357,-0.000357
6.01027678207e-07,-0.000357,-0.000357,-0.000357
6.44236350872e-07,-0.000357,-0.000357,-0.000357
6.90551352016e-07,-0.000357,-0.000357,-0.000357
7.40195999692e-07,-0.000357,-0.000357,-0.000357
