"Ix","Iz"
-1e-08,-8.29e-05
-1.07189131921e-08,-8.28e-05
-1.14895100019e-08,-8.29e-05
-1.23155060329e-08,-8.3e-05
-1.32008840083e-08,-8.3e-05
-1.41499129743e-08,-8.31e-05
-1.51671688847e-08,-8.32e-05
-1.62575566644e-08,-8.32e-05
-1.74263338601e-08,-8.32e-05
-1.86791359902e-08,-8.33e-05
-2.00220037182e-08,-8.34e-05
-2.14614119786e-08,-8.34e-05
-2.30043011977e-08,-8.35e-05
-2.46581107582e-08,-8.35e-05
-2.64308148697e-08,-8.36e-05
-2.83309610184e-08,-8.36e-05
-3.03677111804e-08,-8.36e-05
-3.25508859984e-08,-8.37e-05
-3.48910121341e-08,-8.38e-05
-3.73993730248e-08,-8.38e-05
-4.0088063289e-08,-8.39e-05
-4.29700470432e-08,-8.39e-05
-4.60592204115e-08,-8.4e-05
-4.93704785284e-08,-8.41e-05
-5.29197873596e-08,-8.41e-05
-5.67242606849e-08,-8.42e-05
-6.08022426165e-08,-8.43e-05
-6.51733960488e-08,-8.44e-05
-6.98587974679e-08,-8.44e-05
-7.48810385759e-08,-8.45e-05
-8.02643352226e-08,-8.46e-05
-8.60346441668e-08,-8.47e-05
-9.22197882333e-08,-8.48e-05
-9.88495904663e-08,-8.5e-05
-1.05956017928e-07,-8.51e-05
-1.13573335834e-07,-8.52e-05
-1.21738272774e-07,-8.53e-05
-1.30490197801e-07,-8.54e-05
-1.39871310265e-07,-8.56e-05
-1.49926843279e-07,-8.57e-05
-1.60705281826e-07,-8.59e-05
-1.7225859654e-07,-8.61e-05
-1.8464249429e-07,-8.63e-05
-1.97916686785e-07,-8.65e-05
-2.12145178491e-07,-8.68e-05
-2.27396575236e-07,-8.7e-05
-2.43744415012e-07,-8.72e-05
-2.61267522556e-07,-8.75e-05
-2.80050389418e-07,-8.78e-05
-3.00183581358e-07,-8.81e-05
-3.21764175025e-07,-8.84e-05
-3.44896226041e-07,-8.88e-05
-3.6969127072e-07,-8.91e-05
-3.9626886387e-07,-8.95e-05
-4.24757155254e-07,-9e-05
-4.55293507487e-07,-9.04e-05
-4.88025158365e-07,-9.08e-05
-5.23109930806e-07,-9.13e-05
-5.60716993821e-07,-9.18e-05
-6.01027678207e-07,-9.24e-05
-6.44236350872e-07,-9.3e-05
-6.90551352016e-07,-9.37e-05
-7.40195999692e-07,-9.44e-05
-7.9340966658e-07,-9.51e-05
-8.5044893418e-07,-9.58e-05
-9.11588829975e-07,-9.66e-05
-9.77124153535e-07,-9.75e-05
-1.04737089796e-06,-9.85e-05
-1.12266777351e-06,-9.94e-05
-1.20337784078e-06,-0.0001005
-1.28989026125e-06,-0.0001016
-1.38262217376e-06,-0.0001027
-1.4820207058e-06,-0.0001039
-1.58856512943e-06,-0.0001052
-1.70276917223e-06,-0.0001067
-1.82518349432e-06,-0.0001081
-1.95639834352e-06,-0.0001097
-2.09704640132e-06,-0.0001115
-2.24780583355e-06,-0.0001133
-2.40940356024e-06,-0.000115
-2.58261876068e-06,-0.000117
-2.76828663039e-06,-0.000119
-2.96730240819e-06,-0.000121
-3.18062569279e-06,-0.0001232
-3.40928506975e-06,-0.0001256
-3.65438307096e-06,-0.0001281
-3.91710149081e-06,-0.0001306
-4.19870708444e-06,-0.0001333
-4.5005576757e-06,-0.0001362
-4.82410870417e-06,-0.0001392
-5.1709202429e-06,-0.0001424
-5.54266452066e-06,-0.0001456
-5.94113398497e-06,-0.000149
-6.36824994472e-06,-0.0001526
-6.82607183427e-06,-0.0001563
-7.31680714343e-06,-0.0001602
-7.84282206134e-06,-0.0001644
-8.40665288562e-06,-0.0001686
-9.01101825167e-06,-0.0001729
-9.65883224116e-06,-0.0001776
-1.0353218433e-05,-0.0001825
-1.10975249641e-05,-0.0001875
-1.18953406737e-05,-0.0001927
-1.27505124071e-05,-0.0001982
-1.36671635646e-05,-0.000206
-1.46497139831e-05,-0.000211
-1.57029012473e-05,-0.000217
-1.68318035333e-05,-0.000224
-1.80418640939e-05,-0.00023
-1.93389175046e-05,-0.000238
-2.0729217796e-05,-0.000246
-2.22194686094e-05,-0.000253
-2.38168555198e-05,-0.000261
-2.55290806824e-05,-0.000269
-2.73643999707e-05,-0.000278
-2.93316627839e-05,-0.000286
-3.14403547159e-05,-0.000295
-3.37006432927e-05,-0.000305
-3.61234269971e-05,-0.000315
-3.87203878181e-05,-0.000325
-4.15040475785e-05,-0.000336
-4.44878283113e-05,-0.000347
-4.76861169771e-05,-0.000358
-5.11143348344e-05,-0.00037
-5.47890117959e-05,-0.000383
-5.87278661319e-05,-0.000395
-6.29498899022e-05,-0.000409
-6.74754405311e-05,-0.000422
-7.23263389648e-05,-0.000436
-7.75259748863e-05,-0.000451
-8.30994194935e-05,-0.000466
-8.90735463861e-05,-0.000482
-9.54771611421e-05,-0.000498
-0.000102341140211,-0.000515
-0.000109698579789,-0.000532
-0.000117584955405,-0.000549
-0.000126038292968,-0.000567
-0.00013509935212,-0.000585
-0.000144811822767,-0.0006
-0.000155222535743,-0.000606
-0.000166381688608,-0.000609
-0.000178343087693,-0.00061
-0.000191164407539,-0.000615
-0.000204907468982,-0.000626
-0.000219638537242,-0.000628
-0.000235428641432,-0.000634
-0.000252353917043,-0.000638
-0.000270495973046,-0.000643
-0.000289942285388,-0.000649
-0.000310786618778,-0.000654
-0.000333129478793,-0.000663
-0.00035707859649,-0.000669
-0.000382749447852,-0.000677
-0.000410265810583,-0.000686
-0.00043976036093,-0.000694
-0.000471375313412,-0.000705
-0.000505263106534,-0.000714
-0.000541587137808,-0.000726
-0.000580522551609,-0.000738
-0.000622257083673,-0.000749
-0.000666991966303,-0.000764
-0.00071494289866,-0.000777
-0.000766341086801,-0.000792
-0.000821434358492,-0.000806
-0.000880488358164,-0.000821
-0.000943787827778,-0.000836
-0.00101163797977,-0.000851
-0.00108436596869,-0.000863
-0.00116232246868,-0.000878
-0.0012458833643,-0.000889
-0.00133545156293,-0.0009
-0.00143145893752,-0.000907
-0.00153436840893,-0.000914
-0.00164467617799,-0.000917
-0.0017629141181,-0.000918
-0.00188965233969,-0.000916
-0.00202550193923,-0.000793
-0.00217111794569,-0.000822
-0.00232720247896,-0.000857
-0.00249450813523,-0.000904
-0.00267384161584,-0.000953
-0.00286606761695,-0.001005
-0.00307211299886,-0.001056
-0.0032929712551,-0.001101
-0.00352970730273,-0.001145
-0.00378346261713,-0.00119
-0.00405546073584,-0.001233
-0.00434701315813,-0.001276
-0.00465952566866,-0.001317
-0.00499450511586,-0.001356
-0.00535356667741,-0.001379
-0.0057384416483,-0.001313
-0.00615098578858,-0.001271
-0.00659318827133,-0.001257
-0.00706718127393,-0.001233
-0.00757525025877,-0.00121
-0.00811984499318,-0.001191
-0.00870359136149,-0.001161
-0.00932930402628,-0.001109
-0.01,-0.001049
