"Ix","Iz"
-1e-08,2
-1.07189131921e-08,2
-1.14895100019e-08,2
-1.23155060329e-08,2
-1.32008840083e-08,2
-1.41499129743e-08,2
-1.51671688847e-08,2
-1.62575566644e-08,2
-1.74263338601e-08,2
-1.86791359902e-08,2
-2.00220037182e-08,2
-2.14614119786e-08,2
-2.30043011977e-08,2
-2.46581107582e-08,2
-2.64308148697e-08,2
-2.83309610184e-08,2
-3.03677111804e-08,2
-3.25508859984e-08,2
-3.48910121341e-08,2
-3.73993730248e-08,2
-4.0088063289e-08,2
-4.29700470432e-08,2
-4.60592204115e-08,2
-4.93704785284e-08,2
-5.29197873596e-08,2
-5.67242606849e-08,2
-6.08022426165e-08,2
-6.51733960488e-08,2
-6.98587974679e-08,2
-7.48810385759e-08,2
-8.02643352226e-08,2
-8.60346441668e-08,2
-9.22197882333e-08,2
-9.88495904663e-08,2
-1.05956017928e-07,2
-1.13573335834e-07,2
-1.21738272774e-07,2
-1.30490197801e-07,2
-1.39871310265e-07,2
-1.49926843279e-07,2
-1.60705281826e-07,2
-1.7225859654e-07,2
-1.8464249429e-07,2
-1.97916686785e-07,2
-2.12145178491e-07,2
-2.27396575236e-07,2
-2.43744415012e-07,2
-2.61267522556e-07,2
-2.80050389418e-07,2
-3.00183581358e-07,2
-3.21764175025e-07,2
-3.44896226041e-07,2
-3.6969127072e-07,2
-3.9626886387e-07,2
-4.24757155254e-07,2
-4.55293507487e-07,2
-4.88025158365e-07,2
-5.23109930806e-07,2
-5.60716993821e-07,2
-6.01027678207e-07,2
-6.44236350872e-07,2
-6.90551352016e-07,2
-7.40195999692e-07,2
-7.9340966658e-07,2
-8.5044893418e-07,2
-9.11588829975e-07,2
-9.77124153535e-07,2
-1.04737089796e-06,2
-1.12266777351e-06,2
-1.20337784078e-06,2
-1.28989026125e-06,2
-1.38262217376e-06,2
-1.4820207058e-06,2
-1.58856512943e-06,2
-1.70276917223e-06,2
-1.82518349432e-06,2
-1.95639834352e-06,2
-2.09704640132e-06,2
-2.24780583355e-06,2
-2.40940356024e-06,2
-2.58261876068e-06,2
-2.76828663039e-06,2
-2.96730240819e-06,2
-3.18062569279e-06,2
-3.40928506975e-06,2
-3.65438307096e-06,2
-3.91710149081e-06,2
-4.19870708444e-06,2
-4.5005576757e-06,2
-4.82410870417e-06,2
-5.1709202429e-06,2
-5.54266452066e-06,2
-5.94113398497e-06,2
-6.36824994472e-06,2
-6.82607183427e-06,2
-7.31680714343e-06,2
-7.84282206134e-06,2
-8.40665288562e-06,2
-9.01101825167e-06,2
-9.65883224116e-06,2
-1.0353218433e-05,2
-1.10975249641e-05,2
-1.18953406737e-05,2
-1.27505124071e-05,2
-1.36671635646e-05,2
-1.46497139831e-05,2
-1.57029012473e-05,2
-1.68318035333e-05,2
-1.80418640939e-05,2
-1.93389175046e-05,2
-2.0729217796e-05,2
-2.22194686094e-05,2
-2.38168555198e-05,2
-2.55290806824e-05,2
-2.73643999707e-05,2
-2.93316627839e-05,2
-3.14403547159e-05,2
-3.37006432927e-05,2
-3.61234269971e-05,2
-3.87203878181e-05,2
-4.15040475785e-05,2
-4.44878283113e-05,2
-4.76861169771e-05,2
-5.11143348344e-05,2
-5.47890117959e-05,2
-5.87278661319e-05,2
-6.29498899022e-05,2
-6.74754405311e-05,2
-7.23263389648e-05,2
-7.75259748863e-05,2
-8.30994194935e-05,2
-8.90735463861e-05,2
-9.54771611421e-05,2
-0.000102341140211,2
-0.000109698579789,2
-0.000117584955405,2
-0.000126038292968,2
-0.00013509935212,2
-0.000144811822767,2
-0.000155222535743,2
-0.000166381688608,2
-0.000178343087693,2
-0.000191164407539,2
-0.000204907468982,2
-0.000219638537242,2
-0.000235428641432,2
-0.000252353917043,2
-0.000270495973046,2
-0.000289942285388,2
-0.000310786618778,2
-0.000333129478793,2
-0.00035707859649,2
-0.000382749447852,2
-0.000410265810583,2
-0.00043976036093,2
-0.000471375313412,2
-0.000505263106534,2
-0.000541587137808,2
-0.000580522551609,2
-0.000622257083673,2
-0.000666991966303,2
-0.00071494289866,2
-0.000766341086801,2
-0.000821434358492,2
-0.000880488358164,2
-0.000943787827778,2
-0.00101163797977,2
-0.00108436596869,2
-0.00116232246868,2
-0.0012458833643,2
-0.00133545156293,2
-0.00143145893752,2
-0.00153436840893,2
-0.00164467617799,2
-0.0017629141181,2
-0.00188965233969,2
-0.00202550193923,2
-0.00217111794569,2
-0.00232720247896,2
-0.00249450813523,2
-0.00267384161584,2
-0.00286606761695,2
-0.00307211299886,2
-0.0032929712551,2
-0.00352970730273,2
-0.00378346261713,2
-0.00405546073584,2
-0.00434701315813,2
-0.00465952566866,2
-0.00499450511586,2
-0.00535356667741,2
-0.0057384416483,2
-0.00615098578858,2
-0.00659318827133,2
-0.00706718127393,2
-0.00757525025877,2
-0.00811984499318,2
-0.00870359136149,2
-0.00932930402628,2
-0.01,2
