"Ix","Iz"
1e-08,-8.81e-08
1.07189131921e-08,-9.19e-08
1.14895100019e-08,-9.53e-08
1.23155060329e-08,-9.89e-08
1.32008840083e-08,-1.03e-07
1.41499129743e-08,-1.067e-07
1.51671688847e-08,-1.108e-07
1.62575566644e-08,-1.15e-07
1.74263338601e-08,-1.191e-07
1.86791359902e-08,-1.237e-07
2.00220037182e-08,-1.285e-07
2.14614119786e-08,-1.331e-07
2.30043011977e-08,-1.381e-07
2.46581107582e-08,-1.431e-07
2.64308148697e-08,-1.49e-07
2.83309610184e-08,-1.544e-07
3.03677111804e-08,-1.601e-07
3.25508859984e-08,-1.665e-07
3.48910121341e-08,-1.726e-07
3.73993730248e-08,-1.79e-07
4.0088063289e-08,-1.853e-07
4.29700470432e-08,-1.921e-07
4.60592204115e-08,-1.993e-07
4.93704785284e-08,-2.1e-07
5.29197873596e-08,-2.17e-07
5.67242606849e-08,-2.26e-07
6.08022426165e-08,-2.35e-07
6.51733960488e-08,-2.44e-07
6.98587974679e-08,-2.54e-07
7.48810385759e-08,-2.65e-07
8.02643352226e-08,-2.77e-07
8.60346441668e-08,-2.89e-07
9.22197882333e-08,-3.01e-07
9.88495904663e-08,-3.16e-07
1.05956017928e-07,-3.32e-07
1.13573335834e-07,-3.49e-07
1.21738272774e-07,-3.68e-07
1.30490197801e-07,-3.91e-07
1.39871310265e-07,-4.16e-07
1.49926843279e-07,-4.49e-07
1.60705281826e-07,-4.91e-07
1.7225859654e-07,-5.47e-07
1.8464249429e-07,-6.32e-07
1.97916686785e-07,-7.79e-07
2.12145178491e-07,-1.052e-06
2.27396575236e-07,-1.651e-06
2.43744415012e-07,-2.39e-06
2.61267522556e-07,-3.1e-06
2.80050389418e-07,-3.72e-06
3.00183581358e-07,-4.3e-06
3.21764175025e-07,-4.87e-06
3.44896226041e-07,-5.39e-06
3.6969127072e-07,-5.9e-06
3.9626886387e-07,-6.41e-06
4.24757155254e-07,-6.92e-06
4.55293507487e-07,-7.43e-06
4.88025158365e-07,-7.93e-06
5.23109930806e-07,-8.44e-06
5.60716993821e-07,-8.97e-06
6.01027678207e-07,-9.5e-06
6.44236350872e-07,-1.002e-05
6.90551352016e-07,-1.056e-05
7.40195999692e-07,-1.111e-05
7.9340966658e-07,-1.166e-05
8.5044893418e-07,-1.223e-05
9.11588829975e-07,-1.281e-05
9.77124153535e-07,-1.341e-05
1.04737089796e-06,-1.402e-05
1.12266777351e-06,-1.464e-05
1.20337784078e-06,-1.528e-05
1.28989026125e-06,-1.593e-05
1.38262217376e-06,-1.66e-05
1.4820207058e-06,-1.729e-05
1.58856512943e-06,-1.8e-05
1.70276917223e-06,-1.873e-05
1.82518349432e-06,-1.946e-05
1.95639834352e-06,-2.06e-05
2.09704640132e-06,-2.12e-05
2.24780583355e-06,-2.2e-05
2.40940356024e-06,-2.29e-05
