"Ix","Iz"
-1e-08,-9.89e-05
-1.07189131921e-08,-9.91e-05
-1.14895100019e-08,-9.92e-05
-1.23155060329e-08,-9.92e-05
-1.32008840083e-08,-9.93e-05
-1.41499129743e-08,-9.94e-05
-1.51671688847e-08,-9.95e-05
-1.62575566644e-08,-9.95e-05
-1.74263338601e-08,-9.96e-05
-1.86791359902e-08,-9.97e-05
-2.00220037182e-08,-9.97e-05
-2.14614119786e-08,-9.98e-05
-2.30043011977e-08,-9.98e-05
-2.46581107582e-08,-9.99e-05
-2.64308148697e-08,-9.99e-05
-2.83309610184e-08,-0.0001
-3.03677111804e-08,-0.0001
-3.25508859984e-08,-0.0001001
-3.48910121341e-08,-0.0001002
-3.73993730248e-08,-0.0001002
-4.0088063289e-08,-0.0001003
-4.29700470432e-08,-0.0001004
-4.60592204115e-08,-0.0001004
-4.93704785284e-08,-0.0001005
-5.29197873596e-08,-0.0001006
-5.67242606849e-08,-0.0001006
-6.08022426165e-08,-0.0001007
-6.51733960488e-08,-0.0001008
-6.98587974679e-08,-0.0001009
-7.48810385759e-08,-0.0001009
-8.02643352226e-08,-0.000101
-8.60346441668e-08,-0.0001012
-9.22197882333e-08,-0.0001013
-9.88495904663e-08,-0.0001014
-1.05956017928e-07,-0.0001015
-1.13573335834e-07,-0.0001016
-1.21738272774e-07,-0.0001017
-1.30490197801e-07,-0.0001019
-1.39871310265e-07,-0.000102
-1.49926843279e-07,-0.0001022
-1.60705281826e-07,-0.0001024
-1.7225859654e-07,-0.0001025
-1.8464249429e-07,-0.0001027
-1.97916686785e-07,-0.0001029
-2.12145178491e-07,-0.0001032
-2.27396575236e-07,-0.0001034
-2.43744415012e-07,-0.0001036
-2.61267522556e-07,-0.0001039
-2.80050389418e-07,-0.0001042
-3.00183581358e-07,-0.0001045
-3.21764175025e-07,-0.0001048
-3.44896226041e-07,-0.0001051
-3.6969127072e-07,-0.0001054
-3.9626886387e-07,-0.0001058
-4.24757155254e-07,-0.0001062
-4.55293507487e-07,-0.0001067
-4.88025158365e-07,-0.0001071
-5.23109930806e-07,-0.0001077
-5.60716993821e-07,-0.0001082
-6.01027678207e-07,-0.0001087
-6.44236350872e-07,-0.0001093
-6.90551352016e-07,-0.00011
-7.40195999692e-07,-0.0001106
-7.9340966658e-07,-0.0001114
-8.5044893418e-07,-0.0001121
-9.11588829975e-07,-0.0001129
-9.77124153535e-07,-0.0001138
-1.04737089796e-06,-0.0001147
-1.12266777351e-06,-0.0001157
-1.20337784078e-06,-0.0001167
-1.28989026125e-06,-0.0001178
-1.38262217376e-06,-0.0001189
-1.4820207058e-06,-0.0001202
-1.58856512943e-06,-0.0001215
-1.70276917223e-06,-0.0001229
-1.82518349432e-06,-0.0001244
-1.95639834352e-06,-0.0001259
-2.09704640132e-06,-0.0001278
-2.24780583355e-06,-0.0001296
-2.40940356024e-06,-0.0001314
-2.58261876068e-06,-0.0001334
-2.76828663039e-06,-0.0001354
-2.96730240819e-06,-0.0001374
-3.18062569279e-06,-0.0001397
-3.40928506975e-06,-0.0001421
-3.65438307096e-06,-0.0001446
-3.91710149081e-06,-0.0001472
-4.19870708444e-06,-0.00015
