"Ix","Iz"
1e-08,-3.5e-07
1.07189131921e-08,-3.83e-07
1.14895100019e-08,-4.06e-07
1.23155060329e-08,-4.35e-07
1.32008840083e-08,-4.59e-07
1.41499129743e-08,-4.87e-07
1.51671688847e-08,-5.15e-07
1.62575566644e-08,-5.52e-07
1.74263338601e-08,-5.94e-07
1.86791359902e-08,-6.36e-07
2.00220037182e-08,-6.68e-07
2.14614119786e-08,-7.18e-07
2.30043011977e-08,-7.93e-07
2.46581107582e-08,-8.55e-07
2.64308148697e-08,-9.5e-07
2.83309610184e-08,-1.029e-06
3.03677111804e-08,-1.039e-06
3.25508859984e-08,-1.211e-06
3.48910121341e-08,-1.274e-06
3.73993730248e-08,-1.292e-06
4.0088063289e-08,-1.31e-06
4.29700470432e-08,-1.422e-06
4.60592204115e-08,-1.503e-06
4.93704785284e-08,-1.592e-06
5.29197873596e-08,-1.722e-06
5.67242606849e-08,-1.879e-06
6.08022426165e-08,-1.977e-06
6.51733960488e-08,-2.19e-06
6.98587974679e-08,-2.39e-06
7.48810385759e-08,-2.56e-06
8.02643352226e-08,-2.74e-06
8.60346441668e-08,-2.93e-06
9.22197882333e-08,-3.14e-06
9.88495904663e-08,-3.37e-06
1.05956017928e-07,-3.61e-06
1.13573335834e-07,-3.86e-06
1.21738272774e-07,-4.14e-06
1.30490197801e-07,-4.44e-06
1.39871310265e-07,-4.76e-06
1.49926843279e-07,-5.1e-06
1.60705281826e-07,-5.48e-06
1.7225859654e-07,-5.87e-06
1.8464249429e-07,-6.3e-06
1.97916686785e-07,-6.75e-06
2.12145178491e-07,-7.19e-06
2.27396575236e-07,-7.7e-06
2.43744415012e-07,-8.23e-06
2.61267522556e-07,-8.84e-06
2.80050389418e-07,-9.46e-06
3.00183581358e-07,-1.013e-05
3.21764175025e-07,-1.088e-05
3.44896226041e-07,-1.164e-05
3.6969127072e-07,-1.246e-05
3.9626886387e-07,-1.337e-05
4.24757155254e-07,-1.432e-05
4.55293507487e-07,-1.534e-05
4.88025158365e-07,-1.643e-05
5.23109930806e-07,-1.76e-05
5.60716993821e-07,-1.886e-05
6.01027678207e-07,-2.06e-05
6.44236350872e-07,-2.2e-05
6.90551352016e-07,-2.36e-05
7.40195999692e-07,-2.52e-05
7.9340966658e-07,-2.7e-05
8.5044893418e-07,-2.89e-05
9.11588829975e-07,-3.09e-05
9.77124153535e-07,-3.32e-05
1.04737089796e-06,-3.56e-05
1.12266777351e-06,-3.82e-05
1.20337784078e-06,-4.09e-05
1.28989026125e-06,-4.39e-05
1.38262217376e-06,-4.69e-05
1.4820207058e-06,-5.03e-05
1.58856512943e-06,-5.39e-05
1.70276917223e-06,-5.77e-05
1.82518349432e-06,-6.18e-05
1.95639834352e-06,-6.62e-05
2.09704640132e-06,-7.02e-05
2.24780583355e-06,-7.53e-05
2.40940356024e-06,-8.06e-05
2.58261876068e-06,-8.64e-05
2.76828663039e-06,-9.26e-05
2.96730240819e-06,-9.91e-05
3.18062569279e-06,-0.0001063
3.40928506975e-06,-0.0001138
3.65438307096e-06,-0.0001218
3.91710149081e-06,-0.0001304
4.19870708444e-06,-0.0001398
4.5005576757e-06,-0.0001496
4.82410870417e-06,-0.0001603
5.1709202429e-06,-0.0001718
5.54266452066e-06,-0.0001843
5.94113398497e-06,-0.0001972
6.36824994472e-06,-0.000213
6.82607183427e-06,-0.000227
7.31680714343e-06,-0.000244
7.84282206134e-06,-0.000261
8.40665288562e-06,-0.00028
9.01101825167e-06,-0.0003
9.65883224116e-06,-0.000322
1.0353218433e-05,-0.000345
1.10975249641e-05,-0.00037
1.18953406737e-05,-0.000396
1.27505124071e-05,-0.000425
1.36671635646e-05,-0.000455
1.46497139831e-05,-0.000487
1.57029012473e-05,-0.000522
1.68318035333e-05,-0.000559
1.80418640939e-05,-0.000599
1.93389175046e-05,-0.000641
2.0729217796e-05,-0.000678
2.22194686094e-05,-0.000724
2.38168555198e-05,-0.000776
2.55290806824e-05,-0.000832
2.73643999707e-05,-0.000891
2.93316627839e-05,-0.000956
3.14403547159e-05,-0.001024
3.37006432927e-05,-0.001096
3.61234269971e-05,-0.001172
3.87203878181e-05,-0.001254
4.15040475785e-05,-0.001343
4.44878283113e-05,-0.001439
4.76861169771e-05,-0.00154
5.11143348344e-05,-0.001648
5.47890117959e-05,-0.001767
5.87278661319e-05,-0.001892
6.29498899022e-05,-0.00204
6.74754405311e-05,-0.00218
7.23263389648e-05,-0.00233
7.75259748863e-05,-0.00249
8.30994194935e-05,-0.00267
8.90735463861e-05,-0.00286
9.54771611421e-05,-0.00306
0.000102341140211,-0.00327
0.000109698579789,-0.0035
0.000117584955405,-0.00375
0.000126038292968,-0.00401
0.00013509935212,-0.00429
0.000144811822767,-0.00458
0.000155222535743,-0.0049
0.000166381688608,-0.00524
0.000178343087693,-0.0056
0.000191164407539,-0.00598
0.000204907468982,-0.00635
0.000219638537242,-0.00678
0.000235428641432,-0.00724
0.000252353917043,-0.00773
0.000270495973046,-0.00826
0.000289942285388,-0.00882
0.000310786618778,-0.00942
0.000333129478793,-0.01004
0.00035707859649,-0.0107
0.000382749447852,-0.01139
0.000410265810583,-0.01216
0.00043976036093,-0.01295
0.000471375313412,-0.01379
0.000505263106534,-0.01469
0.000541587137808,-0.01564
0.000580522551609,-0.01665
0.000622257083673,-0.01769
0.000666991966303,-0.01879
0.00071494289866,-0.01995
0.000766341086801,-0.02042
0.000821434358492,-0.02042
0.000880488358164,-0.02042
0.000943787827778,-0.02042
0.00101163797977,-0.02042
