"Ix","Iz"
-1e-08,-0.000419
-1.07189131921e-08,-0.000418
-1.14895100019e-08,-0.000417
-1.23155060329e-08,-0.000416
-1.32008840083e-08,-0.000415
-1.41499129743e-08,-0.000415
-1.51671688847e-08,-0.000414
-1.62575566644e-08,-0.000414
-1.74263338601e-08,-0.000413
-1.86791359902e-08,-0.000412
-2.00220037182e-08,-0.000412
-2.14614119786e-08,-0.00041
-2.30043011977e-08,-0.00041
-2.46581107582e-08,-0.000409
-2.64308148697e-08,-0.000408
-2.83309610184e-08,-0.000407
-3.03677111804e-08,-0.000406
-3.25508859984e-08,-0.000405
-3.48910121341e-08,-0.000404
-3.73993730248e-08,-0.000403
-4.0088063289e-08,-0.000402
-4.29700470432e-08,-0.0004
-4.60592204115e-08,-0.000399
-4.93704785284e-08,-0.000397
-5.29197873596e-08,-0.000396
-5.67242606849e-08,-0.000394
-6.08022426165e-08,-0.000392
-6.51733960488e-08,-0.00039
-6.98587974679e-08,-0.000388
-7.48810385759e-08,-0.000386
-8.02643352226e-08,-0.000383
-8.60346441668e-08,-0.000381
-9.22197882333e-08,-0.000379
-9.88495904663e-08,-0.000376
-1.05956017928e-07,-0.000373
-1.13573335834e-07,-0.00037
-1.21738272774e-07,-0.000366
-1.30490197801e-07,-0.000363
-1.39871310265e-07,-0.000359
-1.49926843279e-07,-0.000355
-1.60705281826e-07,-0.00035
-1.7225859654e-07,-0.000346
-1.8464249429e-07,-0.000341
-1.97916686785e-07,-0.000337
-2.12145178491e-07,-0.00033
-2.27396575236e-07,-0.000324
-2.43744415012e-07,-0.000319
-2.61267522556e-07,-0.000313
-2.80050389418e-07,-0.000307
-3.00183581358e-07,-0.0003
-3.21764175025e-07,-0.000294
-3.44896226041e-07,-0.000286
-3.6969127072e-07,-0.000279
-3.9626886387e-07,-0.000271
-4.24757155254e-07,-0.000264
-4.55293507487e-07,-0.000255
-4.88025158365e-07,-0.000247
-5.23109930806e-07,-0.000239
-5.60716993821e-07,-0.000231
-6.01027678207e-07,-0.000222
-6.44236350872e-07,-0.000213
-6.90551352016e-07,-0.000204
-7.40195999692e-07,-0.000196
-7.9340966658e-07,-0.000187
-8.5044893418e-07,-0.000178
-9.11588829975e-07,-0.00017
-9.77124153535e-07,-0.000162
-1.04737089796e-06,-0.000153
-1.12266777351e-06,-0.000145
-1.20337784078e-06,-0.000137
-1.28989026125e-06,-0.00013
-1.38262217376e-06,-0.000122
-1.4820207058e-06,-0.000115
-1.58856512943e-06,-0.000108
-1.70276917223e-06,-0.000102
-1.82518349432e-06,-9.64e-05
-1.95639834352e-06,-9.07e-05
-2.09704640132e-06,-8.44e-05
-2.24780583355e-06,-7.91e-05
-2.40940356024e-06,-7.43e-05
-2.58261876068e-06,-6.96e-05
-2.76828663039e-06,-6.54e-05
-2.96730240819e-06,-6.13e-05
-3.18062569279e-06,-5.74e-05
-3.40928506975e-06,-5.37e-05
-3.65438307096e-06,-5.03e-05
-3.91710149081e-06,-4.7e-05
-4.19870708444e-06,-4.4e-05
-4.5005576757e-06,-4.12e-05
-4.82410870417e-06,-3.84e-05
-5.1709202429e-06,-3.59e-05
-5.54266452066e-06,-3.35e-05
-5.94113398497e-06,-3.13e-05
-6.36824994472e-06,-2.93e-05
-6.82607183427e-06,-2.74e-05
