"Ix","Iz"
1e-08,-1.32e-07
1.07189131921e-08,-1.38e-07
1.14895100019e-08,-1.45e-07
1.23155060329e-08,-1.51e-07
1.32008840083e-08,-1.59e-07
1.41499129743e-08,-1.66e-07
1.51671688847e-08,-1.73e-07
1.62575566644e-08,-1.82e-07
1.74263338601e-08,-1.9e-07
1.86791359902e-08,-1.97e-07
2.00220037182e-08,-2.03e-07
2.14614119786e-08,-2.11e-07
2.30043011977e-08,-2.2e-07
2.46581107582e-08,-2.29e-07
2.64308148697e-08,-2.39e-07
2.83309610184e-08,-2.48e-07
3.03677111804e-08,-2.58e-07
3.25508859984e-08,-2.68e-07
3.48910121341e-08,-2.79e-07
3.73993730248e-08,-2.89e-07
4.0088063289e-08,-3e-07
4.29700470432e-08,-3.09e-07
4.60592204115e-08,-3.22e-07
4.93704785284e-08,-3.34e-07
5.29197873596e-08,-3.46e-07
5.67242606849e-08,-3.61e-07
6.08022426165e-08,-3.73e-07
6.51733960488e-08,-3.87e-07
6.98587974679e-08,-4.01e-07
7.48810385759e-08,-4.16e-07
8.02643352226e-08,-4.31e-07
8.60346441668e-08,-4.47e-07
9.22197882333e-08,-4.63e-07
9.88495904663e-08,-4.81e-07
1.05956017928e-07,-4.99e-07
1.13573335834e-07,-5.17e-07
1.21738272774e-07,-5.36e-07
1.30490197801e-07,-5.54e-07
1.39871310265e-07,-5.74e-07
1.49926843279e-07,-5.96e-07
1.60705281826e-07,-6.16e-07
1.7225859654e-07,-6.38e-07
1.8464249429e-07,-6.61e-07
1.97916686785e-07,-6.84e-07
2.12145178491e-07,-7.06e-07
2.27396575236e-07,-7.33e-07
2.43744415012e-07,-7.58e-07
2.61267522556e-07,-7.86e-07
2.80050389418e-07,-8.14e-07
3.00183581358e-07,-8.43e-07
3.21764175025e-07,-8.74e-07
3.44896226041e-07,-9.04e-07
3.6969127072e-07,-9.36e-07
3.9626886387e-07,-9.69e-07
4.24757155254e-07,-1.004e-06
4.55293507487e-07,-1.039e-06
4.88025158365e-07,-1.076e-06
5.23109930806e-07,-1.114e-06
5.60716993821e-07,-1.155e-06
6.01027678207e-07,-1.197e-06
6.44236350872e-07,-1.238e-06
6.90551352016e-07,-1.283e-06
7.40195999692e-07,-1.328e-06
7.9340966658e-07,-1.375e-06
8.5044893418e-07,-1.423e-06
9.11588829975e-07,-1.473e-06
9.77124153535e-07,-1.525e-06
1.04737089796e-06,-1.579e-06
1.12266777351e-06,-1.634e-06
1.20337784078e-06,-1.691e-06
1.28989026125e-06,-1.751e-06
1.38262217376e-06,-1.811e-06
1.4820207058e-06,-1.874e-06
1.58856512943e-06,-1.94e-06
1.70276917223e-06,-2.02e-06
1.82518349432e-06,-2.09e-06
1.95639834352e-06,-2.16e-06
2.09704640132e-06,-2.22e-06
2.24780583355e-06,-2.31e-06
2.40940356024e-06,-2.38e-06
2.58261876068e-06,-2.47e-06
2.76828663039e-06,-2.56e-06
2.96730240819e-06,-2.65e-06
3.18062569279e-06,-2.75e-06
3.40928506975e-06,-2.84e-06
3.65438307096e-06,-2.95e-06
3.91710149081e-06,-3.05e-06
4.19870708444e-06,-3.16e-06
4.5005576757e-06,-3.27e-06
4.82410870417e-06,-3.39e-06
5.1709202429e-06,-3.51e-06
5.54266452066e-06,-3.64e-06
5.94113398497e-06,-3.77e-06
6.36824994472e-06,-3.91e-06
6.82607183427e-06,-4.05e-06
7.31680714343e-06,-4.19e-06
7.84282206134e-06,-4.35e-06
8.40665288562e-06,-4.5e-06
9.01101825167e-06,-4.66e-06
9.65883224116e-06,-4.83e-06
1.0353218433e-05,-5e-06
1.10975249641e-05,-5.18e-06
1.18953406737e-05,-5.36e-06
1.27505124071e-05,-5.55e-06
1.36671635646e-05,-5.75e-06
1.46497139831e-05,-5.95e-06
1.57029012473e-05,-6.17e-06
1.68318035333e-05,-6.38e-06
1.80418640939e-05,-6.61e-06
1.93389175046e-05,-6.85e-06
2.0729217796e-05,-7.05e-06
2.22194686094e-05,-7.29e-06
2.38168555198e-05,-7.55e-06
2.55290806824e-05,-7.82e-06
2.73643999707e-05,-8.11e-06
2.93316627839e-05,-8.41e-06
3.14403547159e-05,-8.71e-06
3.37006432927e-05,-9.02e-06
3.61234269971e-05,-9.34e-06
3.87203878181e-05,-9.68e-06
4.15040475785e-05,-1.003e-05
4.44878283113e-05,-1.04e-05
4.76861169771e-05,-1.078e-05
