"Vg","Ic"
0.0,4.66e-06
0.025,4.58e-06
0.05,4.5e-06
0.075,4.41e-06
0.1,4.34e-06
0.125,4.27e-06
0.15,4.2e-06
0.175,4.12e-06
0.2,4.05e-06
0.225,3.99e-06
0.25,3.92e-06
0.275,3.84e-06
0.3,3.78e-06
0.325,3.7e-06
0.35,3.64e-06
0.375,3.58e-06
0.4,3.52e-06
0.425,3.47e-06
0.45,3.43e-06
0.475,3.41e-06
0.5,3.44e-06
0.525,3.54e-06
0.55,3.77e-06
0.575,4.16e-06
0.6,4.76e-06
0.625,5.67e-06
0.65,6.95e-06
0.675,8.65e-06
0.7,1.081e-05
0.725,1.341e-05
0.75,1.65e-05
0.775,2.04e-05
0.8,2.47e-05
0.825,2.95e-05
0.85,3.49e-05
0.875,4.08e-05
0.9,4.72e-05
0.925,5.42e-05
0.95,6.18e-05
0.975,7.01e-05
1.0,7.89e-05
1.025,8.86e-05
1.05,9.84e-05
1.075,0.0001087
1.1,0.0001196
1.125,0.000131
1.15,0.000143
1.175,0.0001554
1.2,0.0001682
1.225,0.0001815
1.25,0.0001955
1.275,0.000213
1.3,0.000227
1.325,0.000242
1.35,0.000258
1.375,0.000274
1.4,0.000291
1.425,0.000308
1.45,0.000326
1.475,0.000344
1.5,0.000363
1.525,0.000382
1.55,0.000402
1.575,0.000422
1.6,0.000441
1.625,0.000462
1.65,0.000484
1.675,0.000505
1.7,0.000526
1.725,0.000548
1.75,0.000571
1.775,0.000594
1.8,0.000618
1.825,0.000641
1.85,0.000665
1.875,0.00069
1.9,0.000715
1.925,0.00074
1.95,0.000765
1.975,0.00079
2.0,0.000816
2.025,0.000842
2.05,0.000869
2.075,0.000897
2.1,0.000925
2.125,0.000953
2.15,0.000981
2.175,0.00101
2.2,0.001039
2.225,0.001068
2.25,0.001098
2.275,0.001128
2.3,0.001158
2.325,0.001189
2.35,0.001219
2.375,0.00125
2.4,0.001281
2.425,0.001312
2.45,0.001343
2.475,0.001375
2.5,0.001408
