"Vg","Ic"
-2.5,-0.000344
-2.475,-0.000332
-2.45,-0.000322
-2.425,-0.000311
-2.4,-0.000301
-2.375,-0.000292
-2.35,-0.000281
-2.325,-0.000272
-2.3,-0.000262
-2.275,-0.000252
-2.25,-0.000243
-2.225,-0.000234
-2.2,-0.000224
-2.175,-0.000215
-2.15,-0.000206
-2.125,-0.000197
-2.1,-0.000188
-2.075,-0.00018
-2.05,-0.000172
-2.025,-0.000163
-2.0,-0.000154
-1.975,-0.000146
-1.95,-0.000139
-1.925,-0.000131
-1.9,-0.000124
-1.875,-0.000116
-1.85,-0.000109
-1.825,-0.000102
-1.8,-9.91e-05
-1.775,-9.27e-05
-1.75,-8.64e-05
-1.725,-8.03e-05
-1.7,-7.46e-05
-1.675,-6.91e-05
-1.65,-6.37e-05
-1.625,-5.85e-05
-1.6,-5.35e-05
-1.575,-4.88e-05
-1.55,-4.43e-05
-1.525,-3.99e-05
-1.5,-3.58e-05
-1.475,-3.19e-05
-1.45,-2.84e-05
-1.425,-2.51e-05
-1.4,-2.2e-05
-1.375,-1.91e-05
-1.35,-1.64e-05
-1.325,-1.4e-05
-1.3,-1.18e-05
-1.275,-9.78e-06
-1.25,-8.05e-06
-1.225,-6.55e-06
-1.2,-5.27e-06
-1.175,-4.2e-06
-1.15,-3.3e-06
-1.125,-2.58e-06
-1.1,-2.01e-06
-1.075,-1.57e-06
-1.05,-1.23e-06
-1.025,-1.004e-06
-1.0,-8.34e-07
-0.975,-7.21e-07
-0.95,-6.49e-07
-0.925,-6.03e-07
-0.9,-5.74e-07
-0.875,-5.63e-07
-0.85,-5.61e-07
-0.825,-5.64e-07
-0.8,-5.69e-07
-0.775,-5.77e-07
-0.75,-5.88e-07
-0.725,-6.01e-07
-0.7,-6.09e-07
-0.675,-6.25e-07
-0.65,-6.37e-07
-0.625,-6.52e-07
-0.6,-6.65e-07
-0.575,-6.81e-07
-0.55,-6.94e-07
-0.525,-7.08e-07
-0.5,-7.21e-07
-0.475,-7.35e-07
-0.45,-7.48e-07
-0.425,-7.62e-07
-0.4,-7.8e-07
-0.375,-7.93e-07
-0.35,-8.1e-07
-0.325,-8.25e-07
-0.3,-8.37e-07
-0.275,-8.54e-07
-0.25,-8.67e-07
-0.225,-8.82e-07
-0.2,-8.98e-07
-0.175,-9.13e-07
-0.15,-9.27e-07
-0.125,-9.43e-07
-0.1,-9.58e-07
-0.075,-9.75e-07
-0.05,-9.92e-07
-0.025,-1.008e-06
0.0,-1.021e-06
