"Vg","Ic"
-5.0,0.000603
-4.975,0.000608
-4.95,0.000614
-4.925,0.00062
-4.9,0.000628
-4.875,0.000637
-4.85,0.000644
-4.825,0.000652
-4.8,0.00066
-4.775,0.000666
-4.75,0.000672
-4.725,0.000678
-4.7,0.000684
-4.675,0.000691
-4.65,0.000696
-4.625,0.000702
-4.6,0.000707
-4.575,0.000713
-4.55,0.000717
-4.525,0.000722
-4.5,0.000726
-4.475,0.00073
-4.45,0.000733
-4.425,0.000737
-4.4,0.000741
-4.375,0.000744
-4.35,0.000746
-4.325,0.000749
-4.3,0.000751
-4.275,0.000753
-4.25,0.000755
-4.225,0.000756
-4.2,0.000757
-4.175,0.000759
-4.15,0.000759
-4.125,0.00076
-4.1,0.00076
-4.075,0.00076
-4.05,0.00076
-4.025,0.00076
-4.0,0.000758
-3.975,0.000756
-3.95,0.000754
-3.925,0.000753
-3.9,0.000751
-3.875,0.000749
-3.85,0.000747
-3.825,0.000744
-3.8,0.000742
-3.775,0.000738
-3.75,0.000735
-3.725,0.000731
-3.7,0.000728
-3.675,0.000724
-3.65,0.00072
-3.625,0.000716
-3.6,0.000711
-3.575,0.000706
-3.55,0.000701
-3.525,0.000696
-3.5,0.00069
-3.475,0.000684
-3.45,0.000678
-3.425,0.000673
-3.4,0.000667
-3.375,0.00066
-3.35,0.000654
-3.325,0.000648
-3.3,0.000641
-3.275,0.000634
-3.25,0.000626
-3.225,0.000619
-3.2,0.000612
-3.175,0.000604
-3.15,0.000596
-3.125,0.000589
-3.1,0.00058
-3.075,0.000572
-3.05,0.000564
-3.025,0.000556
-3.0,0.000547
-2.975,0.000539
-2.95,0.00053
-2.925,0.000522
-2.9,0.000513
-2.875,0.000504
-2.85,0.000496
-2.825,0.000487
-2.8,0.000478
-2.775,0.00047
-2.75,0.000461
-2.725,0.000452
-2.7,0.000443
-2.675,0.000434
-2.65,0.000425
-2.625,0.000417
-2.6,0.000408
-2.575,0.0004
-2.55,0.000391
-2.525,0.000382
-2.5,0.000373
-2.475,0.000364
-2.45,0.000355
-2.425,0.000347
-2.4,0.000338
-2.375,0.000329
-2.35,0.000321
-2.325,0.000312
-2.3,0.000304
-2.275,0.000296
-2.25,0.000287
-2.225,0.000279
-2.2,0.000271
-2.175,0.000262
-2.15,0.000254
-2.125,0.000246
-2.1,0.000238
-2.075,0.000231
-2.05,0.000223
-2.025,0.000215
-2.0,0.000207
-1.975,0.000199
-1.95,0.000192
-1.925,0.000185
-1.9,0.000177
-1.875,0.00017
-1.85,0.000163
-1.825,0.000156
-1.8,0.000149
-1.775,0.000142
-1.75,0.000135
-1.725,0.000129
-1.7,0.000122
-1.675,0.000116
-1.65,0.000109
-1.625,0.000103
-1.6,0.0001001
-1.575,9.43e-05
-1.55,8.85e-05
-1.525,8.29e-05
-1.5,7.74e-05
-1.475,7.21e-05
-1.45,6.71e-05
-1.425,6.23e-05
-1.4,5.78e-05
-1.375,5.33e-05
-1.35,4.91e-05
-1.325,4.52e-05
-1.3,4.17e-05
-1.275,3.83e-05
-1.25,3.5e-05
-1.225,3.21e-05
-1.2,2.94e-05
-1.175,2.7e-05
-1.15,2.48e-05
-1.125,2.28e-05
-1.1,2.1e-05
-1.075,1.94e-05
-1.05,1.8e-05
-1.025,1.68e-05
-1.0,1.57e-05
-0.975,1.48e-05
-0.95,1.42e-05
-0.925,1.36e-05
-0.9,1.33e-05
-0.875,1.3e-05
-0.85,1.28e-05
-0.825,1.29e-05
-0.8,1.29e-05
-0.775,1.31e-05
-0.75,1.34e-05
-0.725,1.37e-05
-0.7,1.41e-05
-0.675,1.45e-05
-0.65,1.49e-05
-0.625,1.54e-05
-0.6,1.58e-05
-0.575,1.63e-05
-0.55,1.68e-05
-0.525,1.74e-05
-0.5,1.79e-05
-0.475,1.84e-05
-0.45,1.9e-05
-0.425,1.95e-05
-0.4,2.01e-05
-0.375,2.06e-05
-0.35,2.14e-05
-0.325,2.19e-05
-0.3,2.26e-05
-0.275,2.32e-05
-0.25,2.38e-05
-0.225,2.44e-05
-0.2,2.5e-05
-0.175,2.57e-05
-0.15,2.64e-05
-0.125,2.7e-05
-0.1,2.77e-05
-0.075,2.84e-05
-0.05,2.91e-05
-0.025,2.98e-05
0.0,3.05e-05
