"Vs","Ic"
0.0,-0.00503
0.05,-0.00488
0.1,-0.00475
0.15,-0.00463
0.2,-0.00451
0.25,-0.00439
0.3,-0.00427
0.35,-0.00414
0.4,-0.00403
0.45,-0.00392
0.5,-0.0038
0.55,-0.00368
0.6,-0.00357
0.65,-0.00347
0.7,-0.00336
0.75,-0.00325
0.8,-0.00315
0.85,-0.00304
0.9,-0.00293
0.95,-0.00284
1.0,-0.00274
1.05,-0.00264
1.1,-0.00253
1.15,-0.00243
1.2,-0.00233
1.25,-0.00224
1.3,-0.00214
1.35,-0.00205
1.4,-0.00197
1.45,-0.00188
1.5,-0.00179
1.55,-0.00171
1.6,-0.00164
1.65,-0.00156
1.7,-0.00148
1.75,-0.0014
1.8,-0.00132
1.85,-0.00125
1.9,-0.00118
1.95,-0.0011
2.0,-0.00103
2.05,-0.000999
2.1,-0.000932
2.15,-0.000864
2.2,-0.000808
2.25,-0.000745
2.3,-0.000693
2.35,-0.000633
2.4,-0.000579
2.45,-0.000531
2.5,-0.000478
2.55,-0.000429
2.6,-0.000377
2.65,-0.000333
2.7,-0.000293
2.75,-0.000254
2.8,-0.000217
2.85,-0.000184
2.9,-0.000154
2.95,-0.000125
3.0,-0.0001044
3.05,-8.16e-05
3.1,-6.12e-05
3.15,-4.39e-05
3.2,-3.02e-05
3.25,-1.89e-05
3.3,-1.14e-05
3.35,-6.41e-06
3.4,-3.7e-06
3.45,-2.58e-06
3.5,-2.2e-06
3.55,-2.05e-06
3.6,-1.95e-06
3.65,-1.86e-06
3.7,-1.83e-06
3.75,-1.737e-06
3.8,-1.648e-06
3.85,-1.564e-06
3.9,-1.486e-06
3.95,-1.417e-06
4.0,-1.33e-06
4.05,-1.239e-06
4.1,-1.173e-06
4.15,-2.047e-07
4.2,-2.047e-07
4.25,-2.027e-07
4.3,-1.908e-07
4.35,-1.666e-07
4.4,-1.415e-07
4.45,-9.49e-08
4.5,-3.88e-08
4.55,1.67e-08
4.6,9.02e-08
4.65,1.542e-07
4.7,1.9e-07
4.75,2.048e-07
4.8,-2.22e-07
4.85,-1.43e-07
4.9,-7.5e-08
4.95,-1.8e-08
5.0,5.4e-08
