"Vs","Ic"
0.0,-0.00561
0.05,-0.00546
0.1,-0.00533
0.15,-0.0052
0.2,-0.00506
0.25,-0.00493
0.3,-0.0048
0.35,-0.00467
0.4,-0.00454
0.45,-0.00441
0.5,-0.00429
0.55,-0.00416
0.6,-0.00404
0.65,-0.00392
0.7,-0.00379
0.75,-0.00367
0.8,-0.00356
0.85,-0.00344
0.9,-0.00333
0.95,-0.00321
1.0,-0.0031
1.05,-0.00299
1.1,-0.00288
1.15,-0.00277
1.2,-0.00267
1.25,-0.00257
1.3,-0.00247
1.35,-0.00237
1.4,-0.00227
1.45,-0.00217
1.5,-0.00207
1.55,-0.00198
1.6,-0.00189
1.65,-0.00179
1.7,-0.00171
1.75,-0.00162
1.8,-0.00153
1.85,-0.00145
1.9,-0.00137
1.95,-0.00129
2.0,-0.00122
2.05,-0.00114
2.1,-0.00106
2.15,-0.00099
2.2,-0.000963
2.25,-0.000896
2.3,-0.00083
2.35,-0.000767
2.4,-0.000706
2.45,-0.000648
2.5,-0.00059
2.55,-0.000535
2.6,-0.000483
2.65,-0.000434
2.7,-0.000387
2.75,-0.000341
2.8,-0.000298
2.85,-0.000258
2.9,-0.000221
2.95,-0.000187
3.0,-0.000154
3.05,-0.000124
3.1,-0.0001016
3.15,-7.86e-05
3.2,-5.85e-05
3.25,-4.1e-05
3.3,-2.68e-05
3.35,-1.59e-05
3.4,-8.35e-06
3.45,-3.53e-06
3.5,-1.043e-06
3.55,-1.48e-07
3.6,5.6e-08
3.65,9.2e-08
3.7,9.8e-08
3.75,1e-07
3.8,1.12e-07
3.85,1.03e-07
3.9,1.04e-07
3.95,1.04e-07
4.0,1.02e-07
4.05,1.13e-07
4.1,1.12e-07
4.15,1.14e-07
4.2,1.15e-07
4.25,1.15e-07
4.3,1.13e-07
4.35,1.1e-07
4.4,1.11e-07
4.45,1.15e-07
4.5,1.14e-07
4.55,1.13e-07
4.6,1.11e-07
4.65,1.12e-07
4.7,1.17e-07
4.75,1.14e-07
4.8,1.17e-07
4.85,1.15e-07
4.9,1.11e-07
4.95,1.18e-07
5.0,1.14e-07
