"Vs","Ic"
-5.0,-1.66e-07
-4.95,-6.3e-08
-4.9,-1.4e-08
-4.85,2.3e-08
-4.8,6.8e-08
-4.75,9.5e-08
-4.7,1.23e-07
-4.65,1.54e-07
-4.6,1.77e-07
-4.55,2.01e-07
-4.5,2.27e-07
-4.45,2.56e-07
-4.4,2.81e-07
-4.35,3.13e-07
-4.3,3.38e-07
-4.25,3.66e-07
-4.2,3.93e-07
-4.15,4.2e-07
-4.1,4.44e-07
-4.05,4.77e-07
-4.0,5.26e-07
-3.95,5.53e-07
-3.9,5.93e-07
-3.85,6.89e-07
-3.8,9.4e-07
-3.75,1.478e-06
-3.7,2.55e-06
-3.65,4.03e-06
-3.6,6.08e-06
-3.55,8.79e-06
-3.5,1.219e-05
-3.45,1.631e-05
-3.4,2.22e-05
-3.35,2.8e-05
-3.3,3.45e-05
-3.25,4.17e-05
-3.2,4.98e-05
-3.15,5.88e-05
-3.1,6.83e-05
-3.05,7.88e-05
-3.0,8.99e-05
-2.95,0.0001016
-2.9,0.0001141
-2.85,0.0001269
-2.8,0.0001404
-2.75,0.000155
-2.7,0.00017
-2.65,0.0001854
-2.6,0.000212
-2.55,0.000228
-2.5,0.000246
-2.45,0.000263
-2.4,0.000283
-2.35,0.000301
-2.3,0.000322
-2.25,0.000341
-2.2,0.000364
-2.15,0.000384
-2.1,0.000408
-2.05,0.000429
-2.0,0.000454
-1.95,0.000478
-1.9,0.000501
-1.85,0.000527
-1.8,0.00055
-1.75,0.000579
-1.7,0.000605
-1.65,0.000629
-1.6,0.000657
-1.55,0.000685
-1.5,0.000713
-1.45,0.000742
-1.4,0.000771
-1.35,0.000803
-1.3,0.00083
-1.25,0.000864
-1.2,0.000894
-1.15,0.000925
-1.1,0.000957
-1.05,0.000989
-1.0,0.001023
-0.95,0.001058
-0.9,0.001091
-0.85,0.001126
-0.8,0.001161
-0.75,0.001198
-0.7,0.001232
-0.65,0.00127
-0.6,0.001305
-0.55,0.001344
-0.5,0.001381
-0.45,0.00142
-0.4,0.00146
-0.35,0.001497
-0.3,0.001538
-0.25,0.001577
-0.2,0.001618
-0.15,0.001658
-0.1,0.001701
-0.05,0.001742
0.0,0.001785
