"Vs","Ic"
0.0,-1.23e-05
0.05,6.61e-05
0.1,0.0001408
0.15,0.000217
0.2,0.000286
0.25,0.000354
0.3,0.00042
0.35,0.000484
0.4,0.000545
0.45,0.000603
0.5,0.000661
0.55,0.000716
0.6,0.000767
0.65,0.000817
0.7,0.000864
0.75,0.000908
0.8,0.000951
0.85,0.000991
0.9,0.001029
0.95,0.001064
1.0,0.001097
1.05,0.001128
1.1,0.001157
1.15,0.001183
1.2,0.001207
1.25,0.001229
1.3,0.001249
1.35,0.001266
1.4,0.001282
1.45,0.001295
1.5,0.001308
1.55,0.001318
1.6,0.001326
1.65,0.001334
1.7,0.00134
1.75,0.001345
1.8,0.001349
1.85,0.001353
1.9,0.001355
1.95,0.001358
2.0,0.00136
2.05,0.001361
2.1,0.001363
2.15,0.001364
2.2,0.001365
2.25,0.001366
2.3,0.001367
2.35,0.001368
2.4,0.001369
2.45,0.001369
2.5,0.00137
2.55,0.001371
2.6,0.001371
2.65,0.001372
2.7,0.001372
2.75,0.001373
2.8,0.001373
2.85,0.001373
2.9,0.001374
2.95,0.001374
3.0,0.001375
3.05,0.001375
3.1,0.001376
3.15,0.001376
3.2,0.001377
3.25,0.001377
3.3,0.001377
3.35,0.001378
3.4,0.001378
3.45,0.001378
3.5,0.001379
3.55,0.001379
3.6,0.00138
3.65,0.00138
3.7,0.00138
3.75,0.001381
3.8,0.001381
3.85,0.001382
3.9,0.001382
3.95,0.001382
4.0,0.001383
4.05,0.001383
4.1,0.001383
4.15,0.001384
4.2,0.001384
4.25,0.001384
4.3,0.001385
4.35,0.001385
4.4,0.001386
4.45,0.001386
4.5,0.001386
4.55,0.001387
4.6,0.001387
4.65,0.001388
4.7,0.001388
4.75,0.001388
4.8,0.001389
4.85,0.001389
4.9,0.00139
4.95,0.00139
5.0,0.00139
