"Vd","Ic"
0.0,-1.39e-05
0.05,0.0001444
0.1,0.000303
0.15,0.000454
0.2,0.000602
0.25,0.00075
0.3,0.000896
0.35,0.001039
0.4,0.00118
0.45,0.001318
0.5,0.001456
0.55,0.001592
0.6,0.001725
0.65,0.001853
0.7,0.001981
0.75,0.00216
0.8,0.00228
0.85,0.0024
0.9,0.00252
0.95,0.00264
1.0,0.00275
1.05,0.00286
1.1,0.00297
1.15,0.00308
1.2,0.00319
1.25,0.00329
1.3,0.00338
1.35,0.00348
1.4,0.00358
1.45,0.00367
1.5,0.00376
1.55,0.00385
1.6,0.00394
1.65,0.00402
1.7,0.00411
1.75,0.00418
1.8,0.00426
1.85,0.00433
1.9,0.0044
1.95,0.00447
2.0,0.00454
2.05,0.0046
2.1,0.00466
2.15,0.00472
2.2,0.00478
2.25,0.00484
2.3,0.00489
2.35,0.00494
2.4,0.00499
2.45,0.00503
2.5,0.00507
2.55,0.00512
2.6,0.00516
2.65,0.00519
2.7,0.00523
2.75,0.00526
2.8,0.00529
2.85,0.00532
2.9,0.00534
2.95,0.00537
3.0,0.00539
3.05,0.00541
3.1,0.00543
3.15,0.00545
3.2,0.00546
3.25,0.00548
3.3,0.00549
3.35,0.0055
3.4,0.00551
3.45,0.00552
3.5,0.00553
3.55,0.00554
3.6,0.00555
3.65,0.00555
3.7,0.00556
3.75,0.00557
3.8,0.00557
3.85,0.00558
3.9,0.00558
3.95,0.00559
4.0,0.00559
4.05,0.0056
4.1,0.0056
4.15,0.00561
4.2,0.00561
4.25,0.00561
4.3,0.00562
4.35,0.00562
4.4,0.00563
4.45,0.00563
4.5,0.00563
4.55,0.00564
4.6,0.00564
4.65,0.00564
4.7,0.00565
4.75,0.00565
4.8,0.00565
4.85,0.00566
4.9,0.00566
4.95,0.00566
5.0,0.00566
