"Vd","Ic"
0.0,-1.1e-09
0.05,1.824e-07
0.1,1.814e-07
0.15,1.847e-07
0.2,1.905e-07
0.25,1.968e-07
0.3,5.5e-08
0.35,5.8e-08
0.4,6.1e-08
0.45,6.2e-08
0.5,6.5e-08
0.55,6.7e-08
0.6,6.8e-08
0.65,7.1e-08
0.7,7.3e-08
0.75,7.4e-08
0.8,7.6e-08
0.85,7.7e-08
0.9,7.7e-08
0.95,8e-08
1.0,8.2e-08
1.05,8.2e-08
1.1,8.5e-08
1.15,8.5e-08
1.2,8.6e-08
1.25,8.8e-08
1.3,9.1e-08
1.35,9.1e-08
1.4,9.1e-08
1.45,9.2e-08
1.5,9.4e-08
1.55,9.5e-08
1.6,9.7e-08
1.65,9.5e-08
1.7,9.8e-08
1.75,9.7e-08
1.8,1e-07
1.85,9.7e-08
1.9,1.02e-07
1.95,1.02e-07
2.0,1.02e-07
2.05,1.03e-07
2.1,1.06e-07
2.15,1.07e-07
2.2,1.05e-07
2.25,1.11e-07
2.3,1.09e-07
2.35,1.11e-07
2.4,1.12e-07
2.45,1.11e-07
2.5,1.15e-07
2.55,1.13e-07
2.6,1.13e-07
2.65,1.16e-07
2.7,1.15e-07
2.75,1.16e-07
2.8,1.19e-07
2.85,1.21e-07
2.9,1.17e-07
2.95,1.18e-07
3.0,1.24e-07
3.05,1.22e-07
3.1,1.23e-07
3.15,1.25e-07
3.2,1.16e-07
3.25,1.25e-07
3.3,1.27e-07
3.35,1.28e-07
3.4,1.28e-07
3.45,1.28e-07
3.5,1.26e-07
3.55,1.31e-07
3.6,1.32e-07
3.65,1.31e-07
3.7,1.28e-07
3.75,1.3e-07
3.8,1.35e-07
3.85,1.31e-07
3.9,1.34e-07
3.95,1.37e-07
4.0,1.37e-07
4.05,1.37e-07
4.1,1.39e-07
4.15,1.37e-07
4.2,1.4e-07
4.25,1.42e-07
4.3,1.42e-07
4.35,1.42e-07
4.4,1.45e-07
4.45,1.41e-07
4.5,1.48e-07
4.55,1.46e-07
4.6,1.45e-07
4.65,1.48e-07
4.7,1.43e-07
4.75,1.45e-07
4.8,1.49e-07
4.85,1.47e-07
4.9,1.48e-07
4.95,1.58e-07
5.0,1.46e-07
