"Vd","Ic"
-5.0,-0.001944
-4.95,-0.001941
-4.9,-0.001938
-4.85,-0.001935
-4.8,-0.001932
-4.75,-0.001929
-4.7,-0.001926
-4.65,-0.001922
-4.6,-0.001919
-4.55,-0.001914
-4.5,-0.001909
-4.45,-0.001901
-4.4,-0.00189
-4.35,-0.001872
-4.3,-0.001847
-4.25,-0.001811
-4.2,-0.001765
-4.15,-0.001707
-4.1,-0.001639
-4.05,-0.001561
-4.0,-0.001435
-3.95,-0.001342
-3.9,-0.001244
-3.85,-0.001141
-3.8,-0.001032
-3.75,-0.000919
-3.7,-0.000803
-3.65,-0.000685
-3.6,-0.000565
-3.55,-0.00044
-3.5,-0.000313
-3.45,-0.000185
-3.4,-5.86e-05
-3.35,7.06e-05
-3.3,0.000203
-3.25,0.000346
-3.2,0.000484
-3.15,0.000625
-3.1,0.000768
-3.05,0.000913
-3.0,0.00106
-2.95,0.001208
-2.9,0.001355
-2.85,0.001502
-2.8,0.001652
-2.75,0.001804
-2.7,0.001958
-2.65,0.00217
-2.6,0.00232
-2.55,0.00247
-2.5,0.00263
-2.45,0.00279
-2.4,0.00295
-2.35,0.00311
-2.3,0.00327
-2.25,0.00343
-2.2,0.0036
-2.15,0.00376
-2.1,0.00393
-2.05,0.00409
-2.0,0.00427
-1.95,0.00443
-1.9,0.00459
-1.85,0.00476
-1.8,0.00492
-1.75,0.00508
-1.7,0.00525
-1.65,0.0054
-1.6,0.00556
-1.55,0.00573
-1.5,0.00589
-1.45,0.00606
-1.4,0.00622
-1.35,0.00639
-1.3,0.00655
-1.25,0.00672
-1.2,0.00688
-1.15,0.00705
-1.1,0.00721
-1.05,0.00738
-1.0,0.00755
-0.95,0.00773
-0.9,0.00789
-0.85,0.00806
-0.8,0.00824
-0.75,0.00841
-0.7,0.00858
-0.65,0.00875
-0.6,0.00892
-0.55,0.0091
-0.5,0.00928
-0.45,0.00945
-0.4,0.00963
-0.35,0.00982
-0.3,0.01
-0.25,0.01019
-0.2,0.01039
-0.15,0.01059
-0.1,0.01077
-0.05,0.011
0.0,0.01124
