"Vd","Ic"
-5.0,-0.000299
-4.95,-0.000275
-4.9,-0.000255
-4.85,-0.000235
-4.8,-0.000218
-4.75,-0.000202
-4.7,-0.000187
-4.65,-0.000174
-4.6,-0.000162
-4.55,-0.00015
-4.5,-0.00014
-4.45,-0.00013
-4.4,-0.000121
-4.35,-0.000112
-4.3,-0.000105
-4.25,-0.0001027
-4.2,-9.63e-05
-4.15,-9.03e-05
-4.1,-8.48e-05
-4.05,-7.95e-05
-4.0,-7.26e-05
-3.95,-6.83e-05
-3.9,-6.42e-05
-3.85,-6.04e-05
-3.8,-5.66e-05
-3.75,-5.31e-05
-3.7,-5e-05
-3.65,-4.69e-05
-3.6,-4.4e-05
-3.55,-4.12e-05
-3.5,-3.86e-05
-3.45,-3.61e-05
-3.4,-3.39e-05
-3.35,-3.16e-05
-3.3,-2.96e-05
-3.25,-2.76e-05
-3.2,-2.57e-05
-3.15,-2.4e-05
-3.1,-2.23e-05
-3.05,-2.07e-05
-3.0,-1.92e-05
-2.95,-1.77e-05
-2.9,-1.64e-05
-2.85,-1.51e-05
-2.8,-1.4e-05
-2.75,-1.29e-05
-2.7,-1.18e-05
-2.65,-1.105e-05
-2.6,-1.016e-05
-2.55,-9.32e-06
-2.5,-8.51e-06
-2.45,-7.75e-06
-2.4,-7.07e-06
-2.35,-6.42e-06
-2.3,-5.85e-06
-2.25,-5.3e-06
-2.2,-4.78e-06
-2.15,-4.33e-06
-2.1,-3.9e-06
-2.05,-3.5e-06
-2.0,-3.11e-06
-1.95,-2.78e-06
-1.9,-2.48e-06
-1.85,-2.21e-06
-1.8,-1.96e-06
-1.75,-1.784e-06
-1.7,-1.559e-06
-1.65,-1.371e-06
-1.6,-1.202e-06
-1.55,-1.044e-06
-1.5,-2.047e-07
-1.45,-1.443e-07
-1.4,-9.8e-08
-1.35,-3.82e-08
-1.3,3e-10
-1.25,6.52e-08
-1.2,1.162e-07
-1.15,1.677e-07
-1.1,2.002e-07
-1.05,2.048e-07
-1.0,-1.42e-07
-0.95,-9.9e-08
-0.9,-6.9e-08
-0.85,-3.9e-08
-0.8,-1.3e-08
-0.75,9e-09
-0.7,2.8e-08
-0.65,4.5e-08
-0.6,6.1e-08
-0.55,7.5e-08
-0.5,9.2e-08
-0.45,1.09e-07
-0.4,1.31e-07
-0.35,1.67e-07
-0.3,2.31e-07
-0.25,3.44e-07
-0.2,5.58e-07
-0.15,9.73e-07
-0.1,1.759e-06
-0.05,3.27e-06
0.0,5.99e-06
