"Vd","Ic"
0.0,1.323e-05
0.05,-2.061e-05
0.1,-0.000294
0.15,-0.00044
0.2,-0.000585
0.25,-0.000729
0.3,-0.000871
0.35,-0.001011
0.4,-0.001148
0.45,-0.001284
0.5,-0.001418
0.55,-0.001551
0.6,-0.001681
0.65,-0.001807
0.7,-0.001932
0.75,-0.00211
0.8,-0.00223
0.85,-0.00235
0.9,-0.00246
0.95,-0.00258
1.0,-0.00269
1.05,-0.0028
1.1,-0.00291
1.15,-0.00301
1.2,-0.00311
1.25,-0.00322
1.3,-0.00331
1.35,-0.00341
1.4,-0.0035
1.45,-0.0036
1.5,-0.00369
1.55,-0.00378
1.6,-0.00386
1.65,-0.00395
1.7,-0.00403
1.75,-0.00411
1.8,-0.00418
1.85,-0.00426
1.9,-0.00433
1.95,-0.00439
2.0,-0.00446
2.05,-0.00452
2.1,-0.00459
2.15,-0.00465
2.2,-0.0047
2.25,-0.00476
2.3,-0.00481
2.35,-0.00486
2.4,-0.00491
2.45,-0.00495
2.5,-0.005
2.55,-0.00504
2.6,-0.00508
2.65,-0.00512
2.7,-0.00515
2.75,-0.00519
2.8,-0.00522
2.85,-0.00525
2.9,-0.00528
2.95,-0.00532
3.0,-0.00535
3.05,-0.00538
3.1,-0.0054
3.15,-0.00542
3.2,-0.00544
3.25,-0.00546
3.3,-0.00547
3.35,-0.00549
3.4,-0.0055
3.45,-0.00551
3.5,-0.00552
3.55,-0.00553
3.6,-0.00554
3.65,-0.00554
3.7,-0.00555
3.75,-0.00558
3.8,-0.0056
3.85,-0.0056
3.9,-0.0056
3.95,-0.00561
4.0,-0.00561
4.05,-0.00561
4.1,-0.00562
4.15,-0.00562
4.2,-0.00562
4.25,-0.00562
4.3,-0.00563
4.35,-0.00563
4.4,-0.00563
4.45,-0.00563
4.5,-0.00564
4.55,-0.00564
4.6,-0.00564
4.65,-0.00565
4.7,-0.00565
4.75,-0.00565
4.8,-0.00565
4.85,-0.00565
4.9,-0.00566
4.95,-0.00566
5.0,-0.00566
