"Vd","Ic"
0.0,5.3e-09
0.05,-1.775e-07
0.1,-1.763e-07
0.15,-1.801e-07
0.2,-1.894e-07
0.25,-1.996e-07
0.3,-3.68e-07
0.35,-1.247e-06
0.4,-1.762e-06
0.45,-1.772e-06
0.5,-1.78e-06
0.55,-1.784e-06
0.6,-1.786e-06
0.65,-1.789e-06
0.7,-1.793e-06
0.75,-1.793e-06
0.8,-1.796e-06
0.85,-1.799e-06
0.9,-1.801e-06
0.95,-1.803e-06
1.0,-1.807e-06
1.05,-1.812e-06
1.1,-1.811e-06
1.15,-1.814e-06
1.2,-1.818e-06
1.25,-1.823e-06
1.3,-1.825e-06
1.35,-1.827e-06
1.4,-1.831e-06
1.45,-1.835e-06
1.5,-1.838e-06
1.55,-1.843e-06
1.6,-1.847e-06
1.65,-1.852e-06
1.7,-1.856e-06
1.75,-1.859e-06
1.8,-1.863e-06
1.85,-1.868e-06
1.9,-1.872e-06
1.95,-1.876e-06
2.0,-1.881e-06
2.05,-1.888e-06
2.1,-1.91e-06
2.15,-1.92e-06
2.2,-1.93e-06
2.25,-1.93e-06
2.3,-1.94e-06
2.35,-1.94e-06
2.4,-1.95e-06
2.45,-1.95e-06
2.5,-1.96e-06
2.55,-1.97e-06
2.6,-1.97e-06
2.65,-1.98e-06
2.7,-1.99e-06
2.75,-1.99e-06
2.8,-2e-06
2.85,-2.01e-06
2.9,-2.01e-06
2.95,-2.02e-06
3.0,-2.03e-06
3.05,-2.04e-06
3.1,-2.05e-06
3.15,-2.05e-06
3.2,-2.06e-06
3.25,-2.06e-06
3.3,-2.08e-06
3.35,-2.08e-06
3.4,-2.09e-06
3.45,-2.1e-06
3.5,-2.11e-06
3.55,-2.12e-06
3.6,-2.13e-06
3.65,-2.14e-06
3.7,-2.15e-06
3.75,-2.16e-06
3.8,-2.17e-06
3.85,-2.18e-06
3.9,-2.19e-06
3.95,-2.2e-06
4.0,-2.21e-06
4.05,-2.22e-06
4.1,-2.24e-06
4.15,-2.25e-06
4.2,-2.26e-06
4.25,-2.27e-06
4.3,-2.28e-06
4.35,-2.3e-06
4.4,-2.31e-06
4.45,-2.32e-06
4.5,-2.34e-06
4.55,-2.35e-06
4.6,-2.37e-06
4.65,-2.38e-06
4.7,-2.39e-06
4.75,-2.4e-06
4.8,-2.42e-06
4.85,-2.43e-06
4.9,-2.45e-06
4.95,-2.46e-06
5.0,-2.48e-06
