"Vd","Ic"
0.0,0.00067
0.05,0.000589
0.1,0.00051
0.15,0.000433
0.2,0.000357
0.25,0.000282
0.3,0.000209
0.35,0.000137
0.4,7.03e-05
0.45,2.29e-07
0.5,-2.06e-06
0.55,-0.0001428
0.6,-0.000218
0.65,-0.000291
0.7,-0.000365
0.75,-0.00044
0.8,-0.000517
0.85,-0.000595
0.9,-0.000674
0.95,-0.000754
1.0,-0.000836
1.05,-0.000919
1.1,-0.001003
1.15,-0.001086
1.2,-0.00117
1.25,-0.001255
1.3,-0.001341
1.35,-0.001426
1.4,-0.001512
1.45,-0.001598
1.5,-0.001686
1.55,-0.001775
1.6,-0.001861
1.65,-0.001949
1.7,-0.00208
1.75,-0.00216
1.8,-0.00225
1.85,-0.00234
1.9,-0.00242
1.95,-0.00251
2.0,-0.0026
2.05,-0.00269
2.1,-0.00278
2.15,-0.00286
2.2,-0.00295
2.25,-0.00304
2.3,-0.00313
2.35,-0.00321
2.4,-0.0033
2.45,-0.00339
2.5,-0.00348
2.55,-0.00356
2.6,-0.00365
2.65,-0.00373
2.7,-0.00382
2.75,-0.00391
2.8,-0.004
2.85,-0.00408
2.9,-0.00416
2.95,-0.00424
3.0,-0.00433
3.05,-0.00442
3.1,-0.0045
3.15,-0.00458
3.2,-0.00466
3.25,-0.00475
3.3,-0.00483
3.35,-0.00491
3.4,-0.00499
3.45,-0.00507
3.5,-0.00515
3.55,-0.00523
3.6,-0.00531
3.65,-0.00539
3.7,-0.00547
3.75,-0.00555
3.8,-0.00563
3.85,-0.00571
3.9,-0.00578
3.95,-0.00586
4.0,-0.00594
4.05,-0.00602
4.1,-0.0061
4.15,-0.00619
4.2,-0.00627
4.25,-0.00635
4.3,-0.00644
4.35,-0.00653
4.4,-0.00662
4.45,-0.00671
4.5,-0.0068
4.55,-0.00689
4.6,-0.00699
4.65,-0.00709
4.7,-0.00719
4.75,-0.0073
4.8,-0.00741
4.85,-0.00753
4.9,-0.00765
4.95,-0.00778
5.0,-0.00791
