"Vd","Ic"
0.0,1.84e-08
0.05,-1.789e-07
0.1,-1.827e-07
0.15,-1.822e-07
0.2,-1.877e-07
0.25,-1.908e-07
0.3,-1.967e-07
0.35,-1.967e-07
0.4,-2.9e-08
0.45,-3.3e-08
0.5,-3.7e-08
0.55,-4e-08
0.6,-4.2e-08
0.65,-4.6e-08
0.7,-4.9e-08
0.75,-5.2e-08
0.8,-5.5e-08
0.85,-5.7e-08
0.9,-5.9e-08
0.95,-6.4e-08
1.0,-6.9e-08
1.05,-7.3e-08
1.1,-7.5e-08
1.15,-7.9e-08
1.2,-8.1e-08
1.25,-8.6e-08
1.3,-9.2e-08
1.35,-9.5e-08
1.4,-9.8e-08
1.45,-1.03e-07
1.5,-1.08e-07
1.55,-1.13e-07
1.6,-1.18e-07
1.65,-1.24e-07
1.7,-1.28e-07
1.75,-1.33e-07
1.8,-1.39e-07
1.85,-1.45e-07
1.9,-1.49e-07
1.95,-1.55e-07
2.0,-1.6e-07
2.05,-1.68e-07
2.1,-1.74e-07
2.15,-1.78e-07
2.2,-1.89e-07
2.25,-1.94e-07
2.3,-2.03e-07
2.35,-2.05e-07
2.4,-2.14e-07
2.45,-2.24e-07
2.5,-2.29e-07
2.55,-2.39e-07
2.6,-2.43e-07
2.65,-2.52e-07
2.7,-2.62e-07
2.75,-2.72e-07
2.8,-2.76e-07
2.85,-2.84e-07
2.9,-2.92e-07
2.95,-3.04e-07
3.0,-3.12e-07
3.05,-3.24e-07
3.1,-3.3e-07
3.15,-3.4e-07
3.2,-3.48e-07
3.25,-3.58e-07
3.3,-3.73e-07
3.35,-3.81e-07
3.4,-3.83e-07
3.45,-3.94e-07
3.5,-4.02e-07
3.55,-4.18e-07
3.6,-4.25e-07
3.65,-4.33e-07
3.7,-4.47e-07
3.75,-4.6e-07
3.8,-4.7e-07
3.85,-4.82e-07
3.9,-4.82e-07
3.95,-4.97e-07
4.0,-5.11e-07
4.05,-5.31e-07
4.1,-5.41e-07
4.15,-5.52e-07
4.2,-5.65e-07
4.25,-5.73e-07
4.3,-5.9e-07
4.35,-6.01e-07
4.4,-6.12e-07
4.45,-6.25e-07
4.5,-6.36e-07
4.55,-6.51e-07
4.6,-6.69e-07
4.65,-6.84e-07
4.7,-6.97e-07
4.75,-7.14e-07
4.8,-7.24e-07
4.85,-7.33e-07
4.9,-7.57e-07
4.95,-7.81e-07
5.0,-7.82e-07
