"Vd","Ic"
-5.0,-0.000186
-4.95,-0.000182
-4.9,-0.000178
-4.85,-0.000174
-4.8,-0.00017
-4.75,-0.000166
-4.7,-0.000163
-4.65,-0.000159
-4.6,-0.000155
-4.55,-0.000151
-4.5,-0.000148
-4.45,-0.000144
-4.4,-0.00014
-4.35,-0.000137
-4.3,-0.000134
-4.25,-0.00013
-4.2,-0.000127
-4.15,-0.000124
-4.1,-0.000121
-4.05,-0.000117
-4.0,-0.000113
-3.95,-0.00011
-3.9,-0.000107
-3.85,-0.000104
-3.8,-0.000101
-3.75,-0.0001028
-3.7,-0.0001
-3.65,-9.72e-05
-3.6,-9.45e-05
-3.55,-9.2e-05
-3.5,-8.93e-05
-3.45,-8.68e-05
-3.4,-8.44e-05
-3.35,-8.2e-05
-3.3,-7.96e-05
-3.25,-7.73e-05
-3.2,-7.5e-05
-3.15,-7.28e-05
-3.1,-7.07e-05
-3.05,-6.85e-05
-3.0,-6.65e-05
-2.95,-6.46e-05
-2.9,-6.27e-05
-2.85,-6.09e-05
-2.8,-5.91e-05
-2.75,-5.75e-05
-2.7,-5.58e-05
-2.65,-5.43e-05
-2.6,-5.28e-05
-2.55,-5.14e-05
-2.5,-5e-05
-2.45,-4.87e-05
-2.4,-4.75e-05
-2.35,-4.63e-05
-2.3,-4.51e-05
-2.25,-4.4e-05
-2.2,-4.3e-05
-2.15,-4.2e-05
-2.1,-4.11e-05
-2.05,-4.01e-05
-2.0,-3.92e-05
-1.95,-3.84e-05
-1.9,-3.76e-05
-1.85,-3.68e-05
-1.8,-3.6e-05
-1.75,-3.53e-05
-1.7,-3.46e-05
-1.65,-3.39e-05
-1.6,-3.32e-05
-1.55,-3.25e-05
-1.5,-3.17e-05
-1.45,-3.1e-05
-1.4,-3.03e-05
-1.35,-2.96e-05
-1.3,-2.88e-05
-1.25,-2.81e-05
-1.2,-2.73e-05
-1.15,-2.64e-05
-1.1,-2.56e-05
-1.05,-2.47e-05
-1.0,-2.38e-05
-0.95,-2.28e-05
-0.9,-2.18e-05
-0.85,-2.08e-05
-0.8,-1.96e-05
-0.75,-1.84e-05
-0.7,-1.71e-05
-0.65,-1.56e-05
-0.6,-1.38e-05
-0.55,-1.17e-05
-0.5,-9.47e-06
-0.45,-6.61e-06
-0.4,-3.41e-06
-0.35,1.52e-07
-0.3,2.06e-06
-0.25,8.59e-06
-0.2,1.337e-05
-0.15,1.851e-05
-0.1,2.45e-05
-0.05,3.08e-05
0.0,3.79e-05
