VGate,IChannel1,IChannel2,,IChannel3,IChannel4
0,7.00E-10,-6.40E-09,6.40E-09,-6.40E-09,-1.24E-08
0.01,0,9.30E-09,-9.30E-09,9.30E-09,-8.90E-09
0.02,7.00E-10,2.21E-08,-2.21E-08,2.21E-08,-7.40E-09
0.03,4.00E-10,3.47E-08,-3.47E-08,3.47E-08,-6.40E-09
0.04,5.00E-10,4.71E-08,-4.71E-08,4.71E-08,-5.70E-09
0.05,7.00E-10,5.91E-08,-5.91E-08,5.91E-08,-5.30E-09
0.06,2.00E-10,7.11E-08,-7.11E-08,7.11E-08,-4.80E-09
0.07,8.00E-10,8.36E-08,-8.36E-08,8.36E-08,-4.30E-09
0.08,2.00E-10,9.58E-08,-9.58E-08,9.58E-08,-4.00E-09
0.09,5.00E-10,1.07E-07,-1.07E-07,1.07E-07,-3.40E-09
0.1,0,1.19E-07,-1.19E-07,1.19E-07,-3.60E-09
0.11,5.00E-10,1.31E-07,-1.31E-07,1.31E-07,-3.00E-09
0.12,6.00E-10,1.42E-07,-1.42E-07,1.42E-07,-2.80E-09
0.13,7.00E-10,1.54E-07,-1.54E-07,1.54E-07,-2.50E-09
0.14,2.00E-10,1.66E-07,-1.66E-07,1.66E-07,-2.80E-09
0.15,4.00E-10,1.77E-07,-1.77E-07,1.77E-07,-2.60E-09
0.16,8.00E-10,1.89E-07,-1.89E-07,1.89E-07,-2.30E-09
0.17,5.00E-10,2.02E-07,-2.02E-07,2.02E-07,-2.30E-09
0.18,7.00E-10,2.13E-07,-2.13E-07,2.13E-07,-2.00E-09
0.19,7.00E-10,2.24E-07,-2.24E-07,2.24E-07,-2.50E-09
0.2,8.00E-10,2.36E-07,-2.36E-07,2.36E-07,-3.30E-09
0.21,9.00E-10,2.48E-07,-2.48E-07,2.48E-07,-2.70E-09
0.22,5.00E-10,2.59E-07,-2.59E-07,2.59E-07,-1.00E-09
0.23,6.00E-10,2.71E-07,-2.71E-07,2.71E-07,4.00E-10
0.24,1.30E-09,2.83E-07,-2.83E-07,2.83E-07,2.70E-09
0.25,1.30E-09,2.95E-07,-2.95E-07,2.95E-07,-1.50E-09
0.26,1.20E-09,3.07E-07,-3.07E-07,3.07E-07,-1.20E-09
0.27,2.00E-09,3.19E-07,-3.19E-07,3.19E-07,-2.00E-10
0.28,2.30E-09,3.31E-07,-3.31E-07,3.31E-07,1.00E-10
0.29,2.50E-09,3.43E-07,-3.43E-07,3.43E-07,8.00E-10
0.3,3.20E-09,3.55E-07,-3.55E-07,3.55E-07,1.50E-09
0.31,4.00E-09,3.68E-07,-3.68E-07,3.68E-07,2.40E-09
0.32,5.50E-09,3.81E-07,-3.81E-07,3.81E-07,3.20E-09
0.33,6.10E-09,3.94E-07,-3.94E-07,3.94E-07,4.80E-09
0.34,7.80E-09,4.07E-07,-4.07E-07,4.07E-07,6.20E-09
0.35,9.90E-09,4.21E-07,-4.21E-07,4.21E-07,8.30E-09
0.36,1.24E-08,4.35E-07,-4.35E-07,4.35E-07,1.10E-08
0.37,1.55E-08,4.50E-07,-4.50E-07,4.50E-07,1.41E-08
0.38,1.99E-08,4.66E-07,-4.66E-07,4.66E-07,1.90E-08
0.39,2.55E-08,4.82E-07,-4.82E-07,4.82E-07,2.43E-08
0.4,3.24E-08,5.01E-07,-5.01E-07,5.01E-07,3.12E-08
0.41,4.12E-08,5.21E-07,-5.21E-07,5.21E-07,3.99E-08
0.42,5.24E-08,5.44E-07,-5.44E-07,5.44E-07,5.12E-08
0.43,6.61E-08,5.68E-07,-5.68E-07,5.68E-07,6.57E-08
