"VGate","I_10_Single","I_dd_Single","I_10_Series","I_dd_Series","I_10_Paralle","I_dd_Parallel"
0.0,-1.3e-09,-69,-2.8e-09,-69,5.18e-08,-69
0.01,8e-10,-69,2.6e-09,-69,3.05e-08,-69
0.02,3.5e-09,-69,7.7e-09,-69,2.86e-08,-69
0.03,6e-09,-69,1.24e-08,-69,2.79e-08,-69
0.04,8.8e-09,-69,1.83e-08,-69,2.79e-08,-69
0.05,1.14e-08,-69,2.4e-08,-69,2.89e-08,-69
0.06,1.44e-08,-69,2.9e-08,-69,3.02e-08,-69
0.07,1.68e-08,-69,3.44e-08,-69,3.16e-08,-69
0.08,1.99e-08,-69,4.01e-08,-69,3.3e-08,-69
0.09,2.26e-08,-69,4.53e-08,-69,3.49e-08,-69
0.1,2.55e-08,-69,5.14e-08,-69,3.71e-08,-69
0.11,2.86e-08,-69,5.73e-08,-69,3.94e-08,-69
0.12,3.16e-08,-69,6.02e-08,-69,4.12e-08,-69
0.13,3.46e-08,-69,6.97e-08,-69,4.4e-08,-69
0.14,3.71e-08,-69,7.56e-08,-69,4.66e-08,-69
0.15,4.1e-08,-69,8.16e-08,-69,4.84e-08,-69
0.16,4.41e-08,-69,8.69e-08,-69,5.13e-08,-69
0.17,4.72e-08,-69,9.34e-08,-69,5.34e-08,-69
0.18,5.1e-08,-69,9.95e-08,-69,5.62e-08,-69
0.19,5.41e-08,-69,1.061e-07,-69,5.85e-08,-69
0.2,5.84e-08,-69,1.127e-07,-69,6.07e-08,-69
0.21,6.17e-08,-69,1.191e-07,-69,6.36e-08,-69
0.22,6.57e-08,-69,1.261e-07,-69,6.64e-08,-69
0.23,6.96e-08,-69,1.328e-07,-69,6.9e-08,-69
0.24,7.41e-08,-69,1.398e-07,-69,7.18e-08,-69
0.25,7.78e-08,-69,1.464e-07,-69,7.45e-08,-69
0.26,8.21e-08,-69,1.537e-07,-69,7.73e-08,-69
0.27,8.68e-08,-69,1.606e-07,-69,8.03e-08,-69
0.28,9.15e-08,-69,1.68e-07,-69,8.31e-08,-69
0.29,9.52e-08,-69,1.751e-07,-69,8.6e-08,-69
0.3,1.003e-07,-69,1.825e-07,-69,8.93e-08,-69
0.31,1.044e-07,-69,1.9e-07,-69,9.23e-08,-69
0.32,1.092e-07,-69,1.973e-07,-69,9.62e-08,-69
0.33,1.138e-07,-69,2.06e-07,-69,9.94e-08,-69
0.34,1.189e-07,-69,2.13e-07,-69,1.033e-07,-69
0.35,1.23e-07,-69,2.19e-07,-69,1.07e-07,-69
0.36,1.279e-07,-69,2.26e-07,-69,1.112e-07,-69
0.37,1.325e-07,-69,2.33e-07,-69,1.158e-07,-69
0.38,1.371e-07,-69,2.39e-07,-69,1.215e-07,-69
0.39,1.42e-07,-69,2.46e-07,-69,1.276e-07,-69
0.4,1.463e-07,-69,2.51e-07,-69,1.34e-07,-69
0.41,1.497e-07,-69,2.55e-07,-69,1.429e-07,-69
0.42,1.532e-07,-69,2.6e-07,-69,1.527e-07,-69
0.43,1.558e-07,-69,2.62e-07,-69,1.641e-07,-69
0.44,1.578e-07,-69,2.63e-07,-69,1.777e-07,-69
0.45,1.596e-07,-69,2.63e-07,-69,1.946e-07,-69
0.46,1.597e-07,-69,2.58e-07,-69,2.18e-07,-69
0.47,1.58e-07,-69,2.52e-07,-69,2.43e-07,-69
0.48,1.547e-07,-69,2.41e-07,-69,2.74e-07,-69
0.49,1.5e-07,-69,2.27e-07,-69,3.14e-07,-69
0.5,1.421e-07,-69,2.04e-07,-69,3.62e-07,-69
0.51,1.318e-07,-69,1.81e-07,-69,4.16e-07,-69
