"Vgate","Ichannel"
0.0,3.7e-06
0.01,3.01e-06
0.02,2.93e-06
0.03,2.89e-06
0.04,2.85e-06
0.05,2.82e-06
0.06,2.81e-06
0.07,2.79e-06
0.08,2.78e-06
0.09,2.76e-06
0.1,2.75e-06
0.11,2.74e-06
0.12,2.72e-06
0.13,2.72e-06
0.14,2.71e-06
0.15,2.7e-06
0.16,2.68e-06
0.17,2.67e-06
0.18,2.66e-06
0.19,2.67e-06
0.2,2.65e-06
0.21,2.65e-06
0.22,2.64e-06
0.23,2.62e-06
0.24,2.62e-06
0.25,2.61e-06
0.26,2.6e-06
0.27,2.59e-06
0.28,2.58e-06
0.29,2.57e-06
0.3,2.56e-06
0.31,2.55e-06
0.32,2.54e-06
0.33,2.52e-06
0.34,2.52e-06
0.35,2.51e-06
0.36,2.5e-06
0.37,2.5e-06
0.38,2.48e-06
0.39,2.48e-06
0.4,2.46e-06
0.41,2.45e-06
0.42,2.44e-06
0.43,2.43e-06
0.44,2.43e-06
0.45,2.41e-06
0.46,2.41e-06
0.47,2.4e-06
0.48,2.39e-06
0.49,2.38e-06
0.5,2.37e-06
0.51,2.36e-06
0.52,2.35e-06
0.53,2.35e-06
0.54,2.36e-06
0.55,2.39e-06
0.56,2.47e-06
0.57,2.56e-06
0.58,2.68e-06
0.59,2.83e-06
0.6,2.99e-06
0.61,3.19e-06
0.62,3.41e-06
0.63,3.67e-06
0.64,3.96e-06
0.65,4.29e-06
0.66,4.67e-06
0.67,5.08e-06
0.68,5.53e-06
0.69,6.02e-06
0.7,6.56e-06
0.71,7.13e-06
0.72,7.75e-06
0.73,8.4e-06
0.74,9.1e-06
0.75,9.86e-06
0.76,1.064e-05
0.77,1.148e-05
0.78,1.236e-05
0.79,1.329e-05
0.8,1.425e-05
0.81,1.527e-05
0.82,1.634e-05
0.83,1.745e-05
0.84,1.861e-05
0.85,1.982e-05
0.86,2.11e-05
0.87,2.23e-05
0.88,2.37e-05
0.89,2.51e-05
0.9,2.65e-05
0.91,2.8e-05
0.92,2.96e-05
0.93,3.11e-05
0.94,3.28e-05
0.95,3.44e-05
0.96,3.61e-05
0.97,3.79e-05
0.98,3.98e-05
0.99,4.17e-05
1.0,4.36e-05
1.01,4.56e-05
1.02,4.76e-05
1.03,4.97e-05
1.04,5.17e-05
1.05,5.38e-05
1.06,5.6e-05
1.07,5.83e-05
1.08,6.06e-05
1.09,6.29e-05
1.1,6.53e-05
1.11,6.77e-05
1.12,7.02e-05
1.13,7.27e-05
1.14,7.53e-05
1.15,7.79e-05
1.16,8.05e-05
1.17,8.32e-05
1.18,8.59e-05
1.19,8.86e-05
1.2,9.14e-05
1.21,9.42e-05
1.22,9.72e-05
1.23,0.0001001
1.24,0.000103
1.25,0.0001061
1.26,0.0001091
1.27,0.0001122
1.28,0.0001154
1.29,0.0001186
1.3,0.0001218
1.31,0.000125
1.32,0.0001283
1.33,0.0001316
1.34,0.000135
1.35,0.0001384
1.36,0.0001419
1.37,0.0001454
1.38,0.000149
1.39,0.0001526
1.4,0.0001562
1.41,0.0001599
1.42,0.0001636
1.43,0.0001673
1.44,0.0001711
1.45,0.0001748
1.46,0.0001787
1.47,0.0001825
1.48,0.0001865
1.49,0.0001905
1.5,0.0001945
1.51,0.0001986
1.52,0.000205
1.53,0.000208
1.54,0.000212
1.55,0.000216
1.56,0.000221
1.57,0.000225
1.58,0.000229
1.59,0.000234
1.6,0.000238
1.61,0.000243
1.62,0.000247
1.63,0.000252
1.64,0.000256
1.65,0.000261
1.66,0.000265
1.67,0.00027
1.68,0.000274
1.69,0.000279
1.7,0.000284
1.71,0.000288
1.72,0.000293
1.73,0.000298
1.74,0.000303
1.75,0.000308
1.76,0.000313
1.77,0.000318
1.78,0.000323
1.79,0.000328
1.8,0.000333
1.81,0.000338
1.82,0.000343
1.83,0.000349
1.84,0.000354
1.85,0.000359
1.86,0.000364
1.87,0.00037
1.88,0.000375
1.89,0.000381
1.9,0.000385
1.91,0.000391
1.92,0.000396
1.93,0.000402
1.94,0.000407
1.95,0.000413
1.96,0.000419
1.97,0.000424
1.98,0.00043
1.99,0.000436
2.0,0.000441
2.01,0.00045
