"Iin","I1","I2"
0.0,8.32e-05,0.000341
4e-05,8.99e-05,0.000368
8e-05,9.65e-05,0.000396
0.00012,0.000103,0.000423
0.00016,0.0001095,0.00045
0.0002,0.000116,0.000477
0.00024,0.0001229,0.000506
0.00028,0.0001294,0.000534
0.00032,0.0001358,0.000561
0.00036,0.0001422,0.000589
0.0004,0.0001485,0.000616
0.00044,0.0001548,0.000643
0.00048,0.0001612,0.000671
0.00052,0.0001675,0.000699
0.00056,0.0001738,0.000726
0.0006,0.00018,0.000754
0.00064,0.0001862,0.000781
0.00068,0.0001924,0.000809
0.00072,0.0001986,0.000836
0.00076,0.000203,0.000864
0.0008,0.000209,0.000891
0.00084,0.000215,0.000918
0.00088,0.000221,0.000946
0.00092,0.000227,0.000973
0.00096,0.000233,0.001001
0.001,0.000239,0.001029
0.00104,0.000246,0.001056
0.00108,0.000252,0.001084
0.00112,0.000258,0.001112
0.00116,0.000264,0.00114
0.0012,0.000271,0.001167
0.00124,0.000277,0.001195
0.00128,0.000283,0.001223
0.00132,0.000289,0.00125
0.00136,0.000296,0.001278
0.0014,0.000302,0.001305
0.00144,0.000309,0.001333
0.00148,0.000315,0.001361
0.00152,0.000321,0.001389
0.00156,0.000328,0.001417
0.0016,0.000334,0.001445
0.00164,0.000341,0.001473
0.00168,0.000347,0.0015
0.00172,0.000353,0.001528
0.00176,0.00036,0.001556
0.0018,0.000366,0.001584
0.00184,0.000373,0.001612
0.00188,0.000379,0.00164
0.00192,0.000386,0.001668
0.00196,0.000392,0.001695
0.002,0.000399,0.001723
0.00204,0.000408,0.001761
0.00208,0.000414,0.001789
0.00212,0.000421,0.001817
0.00216,0.000427,0.001845
0.0022,0.000434,0.001873
0.00224,0.00044,0.001901
0.00228,0.000447,0.001929
0.00232,0.000454,0.001958
0.00236,0.000461,0.001986
0.0024,0.000467,0.002
0.00244,0.000474,0.00202
0.00248,0.00048,0.00205
0.00252,0.000487,0.00208
0.00256,0.000494,0.0021
0.0026,0.0005,0.00213
0.00264,0.000507,0.00216
0.00268,0.000514,0.00219
0.00272,0.00052,0.00222
0.00276,0.000527,0.00225
0.0028,0.000534,0.00228
0.00284,0.00054,0.0023
0.00288,0.000547,0.00233
0.00292,0.000554,0.00236
0.00296,0.000561,0.00239
0.003,0.000567,0.00242
0.00304,0.000574,0.00245
0.00308,0.000581,0.00247
0.00312,0.000588,0.0025
0.00316,0.000594,0.00253
0.0032,0.000601,0.00256
0.00324,0.000608,0.00259
0.00328,0.000615,0.00262
0.00332,0.000621,0.00265
0.00336,0.000628,0.00267
0.0034,0.000635,0.0027
0.00344,0.000642,0.00273
0.00348,0.000648,0.00276
0.00352,0.000655,0.00279
0.00356,0.000662,0.00282
0.0036,0.000669,0.00284
0.00364,0.000676,0.00287
0.00368,0.000682,0.0029
0.00372,0.000689,0.00293
0.00376,0.000696,0.00296
0.0038,0.000703,0.00299
0.00384,0.00071,0.00302
0.00388,0.000716,0.00305
0.00392,0.000723,0.00308
0.00396,0.00073,0.0031
0.004,0.000737,0.00313
0.00404,0.000744,0.00316
0.00408,0.000751,0.00319
0.00412,0.000757,0.00322
0.00416,0.000764,0.00325
0.0042,0.000771,0.00327
0.00424,0.000778,0.0033
0.00428,0.000785,0.00333
0.00432,0.000792,0.00336
0.00436,0.000798,0.00339
0.0044,0.000805,0.00342
0.00444,0.000812,0.00345
