"V1","V2","I1","I2","V"
3.0,3.5,2.61e-06,2.75e-06,4.114
3.00333333333,3.5,2.6e-06,2.75e-06,3.9
3.00666666667,3.5,2.59e-06,2.75e-06,3.678
3.01,3.5,2.6e-06,2.76e-06,3.468
3.01333333333,3.5,2.58e-06,2.75e-06,3.268
3.01666666667,3.5,2.57e-06,2.75e-06,3.078
3.02,3.5,2.57e-06,2.76e-06,2.896
3.02333333333,3.5,2.56e-06,2.75e-06,2.722
3.02666666667,3.5,2.56e-06,2.75e-06,2.558
3.03,3.5,2.54e-06,2.76e-06,2.406
3.03333333333,3.5,2.54e-06,2.75e-06,2.3
3.03666666667,3.5,2.54e-06,2.75e-06,2.28
3.04,3.5,2.53e-06,2.76e-06,2.276
3.04333333333,3.5,2.53e-06,2.75e-06,2.274
3.04666666667,3.5,2.51e-06,2.75e-06,2.272
3.05,3.5,2.51e-06,2.75e-06,2.272
3.05333333333,3.5,2.5e-06,2.75e-06,2.272
3.05666666667,3.5,2.49e-06,2.75e-06,2.272
3.06,3.5,2.5e-06,2.75e-06,2.272
3.06333333333,3.5,2.49e-06,2.76e-06,2.272
3.06666666667,3.5,2.49e-06,2.75e-06,2.272
3.07,3.5,2.48e-06,2.76e-06,2.272
3.07333333333,3.5,2.47e-06,2.76e-06,2.272
3.07666666667,3.5,2.47e-06,2.76e-06,2.272
3.08,3.5,2.47e-06,2.76e-06,2.27
3.08333333333,3.5,2.46e-06,2.76e-06,2.27
3.08666666667,3.5,2.45e-06,2.75e-06,2.27
3.09,3.5,2.45e-06,2.76e-06,2.27
3.09333333333,3.5,2.44e-06,2.76e-06,2.27
3.09666666667,3.5,2.43e-06,2.75e-06,2.27
3.1,3.5,2.43e-06,2.75e-06,2.27
3.10333333333,3.5,2.43e-06,2.76e-06,2.27
3.10666666667,3.5,2.42e-06,2.76e-06,2.27
3.11,3.5,2.42e-06,2.76e-06,2.27
3.11333333333,3.5,2.41e-06,2.76e-06,2.27
3.11666666667,3.5,2.41e-06,2.76e-06,2.27
3.12,3.5,2.4e-06,2.76e-06,2.27
3.12333333333,3.5,2.4e-06,2.75e-06,2.27
3.12666666667,3.5,2.38e-06,2.76e-06,2.27
3.13,3.5,2.38e-06,2.76e-06,2.27
3.13333333333,3.5,2.38e-06,2.76e-06,2.27
3.13666666667,3.5,2.38e-06,2.75e-06,2.27
3.14,3.5,2.37e-06,2.75e-06,2.27
3.14333333333,3.5,2.36e-06,2.76e-06,2.27
3.14666666667,3.5,2.35e-06,2.75e-06,2.27
3.15,3.5,2.35e-06,2.75e-06,2.27
3.15333333333,3.5,2.35e-06,2.75e-06,2.27
3.15666666667,3.5,2.34e-06,2.76e-06,2.27
3.16,3.5,2.34e-06,2.76e-06,2.27
3.16333333333,3.5,2.33e-06,2.76e-06,2.27
3.16666666667,3.5,2.33e-06,2.75e-06,2.27
3.17,3.5,2.33e-06,2.76e-06,2.27
3.17333333333,3.5,2.32e-06,2.76e-06,2.27
3.17666666667,3.5,2.32e-06,2.75e-06,2.27
3.18,3.5,2.31e-06,2.76e-06,2.27
3.18333333333,3.5,2.3e-06,2.75e-06,2.27
3.18666666667,3.5,2.3e-06,2.76e-06,2.27
