"V1","V2","I1","I2","V"
1.5,2.5,1.62e-08,0.001402,0.734
1.505,2.5,1.92e-08,0.001401,0.734
1.51,2.5,1.45e-08,0.001401,0.734
1.515,2.5,1.45e-08,0.001401,0.734
1.52,2.5,1.66e-08,0.001401,0.734
1.525,2.5,1.53e-08,0.001401,0.734
1.53,2.5,9.9e-09,0.001401,0.734
1.535,2.5,1.06e-08,0.001401,0.733
1.54,2.5,1.78e-08,0.001401,0.734
1.545,2.5,9.6e-09,0.001401,0.734
1.55,2.5,8.2e-09,0.001401,0.734
1.555,2.5,1.4e-08,0.001401,0.734
1.56,2.5,9.7e-09,0.001401,0.734
1.565,2.5,9.5e-09,0.001401,0.734
1.57,2.5,6.7e-09,0.001401,0.734
1.575,2.5,1.09e-08,0.001401,0.734
1.58,2.5,8.3e-09,0.001401,0.734
1.585,2.5,1.26e-08,0.001401,0.734
1.59,2.5,7.8e-09,0.001401,0.734
1.595,2.5,5.4e-09,0.0014,0.734
1.6,2.5,5.5e-09,0.0014,0.734
1.605,2.5,7.4e-09,0.0014,0.734
1.61,2.5,6.8e-09,0.0014,0.734
1.615,2.5,7.4e-09,0.0014,0.734
1.62,2.5,9.9e-09,0.0014,0.734
1.625,2.5,7e-09,0.0014,0.734
1.63,2.5,9.7e-09,0.0014,0.734
1.635,2.5,3.6e-09,0.0014,0.734
1.64,2.5,5.2e-09,0.0014,0.735
1.645,2.5,3.4e-09,0.0014,0.735
1.65,2.5,7.7e-09,0.001399,0.735
1.655,2.5,6.3e-09,0.001399,0.735
1.66,2.5,6.9e-09,0.001399,0.735
1.665,2.5,5.1e-09,0.001399,0.735
1.67,2.5,6e-09,0.001398,0.735
1.675,2.5,4.7e-09,0.001398,0.735
1.68,2.5,4.1e-09,0.001398,0.736
1.685,2.5,3e-09,0.001398,0.736
1.69,2.5,5.8e-09,0.001398,0.736
1.695,2.5,6.4e-09,0.001397,0.736
1.7,2.5,4.2e-09,0.001397,0.736
1.705,2.5,7.2e-09,0.001397,0.736
1.71,2.5,2.7e-09,0.001396,0.736
1.715,2.5,6.2e-09,0.001396,0.736
1.72,2.5,6e-09,0.001396,0.736
1.725,2.5,4.6e-09,0.001396,0.737
1.73,2.5,3.7e-09,0.001395,0.737
1.735,2.5,2.4e-09,0.001395,0.737
1.74,2.5,3.8e-09,0.001395,0.737
1.745,2.5,3.9e-09,0.001394,0.738
1.75,2.5,4.7e-09,0.001394,0.738
1.755,2.5,5.5e-09,0.001393,0.738
1.76,2.5,4.2e-09,0.001393,0.738
1.765,2.5,3.8e-09,0.001393,0.739
1.77,2.5,4.7e-09,0.001392,0.739
1.775,2.5,4.5e-09,0.001392,0.739
1.78,2.5,5.4e-09,0.001391,0.739
1.785,2.5,1.5e-09,0.001391,0.74
1.79,2.5,3.9e-09,0.00139,0.74
1.795,2.5,5.6e-09,0.00139,0.74
1.8,2.5,4.9e-09,0.00139,0.74
1.805,2.5,3.6e-09,0.001389,0.741
1.81,2.5,3e-09,0.001388,0.741
1.815,2.5,3.6e-09,0.001388,0.741
1.82,2.5,3.6e-09,0.001387,0.742
1.825,2.5,2.5e-09,0.001387,0.742
1.83,2.5,5.3e-09,0.001386,0.742
1.835,2.5,3.7e-09,0.001386,0.743
1.84,2.5,3e-09,0.001385,0.743
1.845,2.5,2.2e-09,0.001385,0.744
1.85,2.5,2e-09,0.001384,0.744
1.855,2.5,5.7e-09,0.001384,0.744
1.86,2.5,4e-09,0.001383,0.744
1.865,2.5,5.2e-09,0.001383,0.745
1.87,2.5,2.2e-09,0.001382,0.745
1.875,2.5,2.3e-09,0.001381,0.745
1.88,2.5,2e-09,0.001381,0.746
1.885,2.5,3.7e-09,0.00138,0.746
1.89,2.5,3e-10,0.001379,0.747
1.895,2.5,4.1e-09,0.001379,0.747
1.9,2.5,2.6e-09,0.001378,0.747
1.905,2.5,2.3e-09,0.001377,0.748
1.91,2.5,1.3e-09,0.001376,0.748
1.915,2.5,4.8e-09,0.001376,0.749
1.92,2.5,6.1e-09,0.001375,0.749
1.925,2.5,5e-09,0.001375,0.75
1.93,2.5,9e-10,0.001374,0.75
1.935,2.5,7.8e-09,0.001373,0.75
1.94,2.5,2.7e-09,0.001372,0.751
1.945,2.5,3.1e-09,0.001371,0.751
1.95,2.5,2e-09,0.001371,0.752
1.955,2.5,1.9e-09,0.00137,0.752
1.96,2.5,7.1e-09,0.001369,0.753
1.965,2.5,8e-10,0.001368,0.753
1.97,2.5,3.1e-09,0.001367,0.754
1.975,2.5,4.5e-09,0.001367,0.754
1.98,2.5,1.9e-09,0.001366,0.755
1.985,2.5,2.5e-09,0.001365,0.755
1.99,2.5,3.3e-09,0.001364,0.756
1.995,2.5,0.0,0.001364,0.756
2.0,2.5,5e-09,0.001363,0.757
2.005,2.5,5e-10,0.001361,0.758
2.01,2.5,5e-09,0.00136,0.758
2.015,2.5,2.4e-09,0.001359,0.759
2.02,2.5,4.3e-09,0.001358,0.759
2.025,2.5,1.4e-09,0.001357,0.76
2.03,2.5,4e-10,0.001356,0.76
2.035,2.5,1.8e-09,0.001356,0.761
2.04,2.5,1.5e-09,0.001355,0.762
2.045,2.5,1.6e-09,0.001354,0.762
2.05,2.5,2.1e-09,0.001353,0.763
2.055,2.5,2.1e-09,0.001352,0.763
2.06,2.5,1e-09,0.001351,0.764
2.065,2.5,2.9e-09,0.00135,0.765
2.07,2.5,-7e-10,0.001349,0.765
2.075,2.5,4.7e-09,0.001348,0.766
2.08,2.5,2.7e-09,0.001347,0.766
2.085,2.5,4e-10,0.001346,0.767
2.09,2.5,4.4e-09,0.001345,0.768
2.095,2.5,2.5e-09,0.001344,0.768
2.1,2.5,-9e-10,0.001343,0.769
2.105,2.5,1.4e-09,0.001342,0.769
2.11,2.5,1.2e-09,0.001341,0.77
2.115,2.5,1.9e-09,0.00134,0.771
2.12,2.5,2.8e-09,0.001339,0.771
2.125,2.5,1.4e-09,0.001338,0.772
2.13,2.5,1.1e-09,0.001337,0.773
2.135,2.5,4e-10,0.001336,0.773
2.14,2.5,2.3e-09,0.001335,0.774
2.145,2.5,1.3e-09,0.001334,0.775
2.15,2.5,2.9e-09,0.001332,0.775
2.155,2.5,3.5e-09,0.001331,0.776
2.16,2.5,6e-10,0.00133,0.776
2.165,2.5,1.1e-09,0.001329,0.777
2.17,2.5,1.9e-09,0.001328,0.778
2.175,2.5,3.2e-09,0.001327,0.779
2.18,2.5,2.8e-09,0.001326,0.779
2.185,2.5,1.3e-09,0.001324,0.78
2.19,2.5,1.8e-09,0.001323,0.781
2.195,2.5,4.2e-09,0.001322,0.781
2.2,2.5,3.6e-09,0.001321,0.782
2.205,2.5,2.6e-09,0.00132,0.783
2.21,2.5,3.5e-09,0.001319,0.784
2.215,2.5,2.4e-09,0.001317,0.784
2.22,2.5,2.7e-09,0.001316,0.785
2.225,2.5,2.5e-09,0.001315,0.786
2.23,2.5,4e-09,0.001314,0.787
2.235,2.5,1.2e-09,0.001313,0.787
2.24,2.5,2.1e-09,0.001312,0.788
2.245,2.5,-2e-10,0.00131,0.789
2.25,2.5,2.8e-09,0.001309,0.79
2.255,2.5,3.5e-09,0.001308,0.79
2.26,2.5,2.2e-09,0.001306,0.791
2.265,2.5,1e-09,0.001305,0.792
2.27,2.5,2.3e-09,0.001304,0.793
2.275,2.5,3e-10,0.001303,0.793
2.28,2.5,2.9e-09,0.001301,0.794
2.285,2.5,-8e-10,0.0013,0.795
2.29,2.5,6e-10,0.001299,0.796
2.295,2.5,-6e-10,0.001298,0.797
2.3,2.5,1e-10,0.001296,0.798
2.305,2.5,0.0,0.001295,0.798
2.31,2.5,2.9e-09,0.001294,0.799
2.315,2.5,1.7e-09,0.001292,0.8
2.32,2.5,-1e-10,0.001291,0.801
2.325,2.5,3.3e-09,0.00129,0.802
2.33,2.5,-1.7e-09,0.001288,0.802
2.335,2.5,-2e-10,0.001287,0.803
2.34,2.5,1.2e-09,0.001286,0.804
2.345,2.5,6e-10,0.001285,0.805
2.35,2.5,4e-10,0.001283,0.806
2.355,2.5,2.2e-09,0.001282,0.807
2.36,2.5,1.9e-09,0.001281,0.807
2.365,2.5,-1.6e-09,0.001279,0.808
2.37,2.5,7e-10,0.001278,0.809
2.375,2.5,2.9e-09,0.001277,0.81
2.38,2.5,5e-10,0.001275,0.811
2.385,2.5,-3e-10,0.001274,0.812
2.39,2.5,-1.5e-09,0.001273,0.812
2.395,2.5,2.5e-09,0.001271,0.813
2.4,2.5,1.6e-09,0.00127,0.814
2.405,2.5,1.3e-09,0.001268,0.815
2.41,2.5,2.3e-09,0.001267,0.816
2.415,2.5,-8e-10,0.001266,0.817
2.42,2.5,1.6e-09,0.001264,0.818
2.425,2.5,3.2e-09,0.001263,0.819
2.43,2.5,-6e-10,0.001261,0.82
2.435,2.5,1.3e-09,0.00126,0.82
2.44,2.5,1.6e-09,0.001259,0.821
2.445,2.5,1e-10,0.001257,0.822
2.45,2.5,1.6e-09,0.001256,0.823
2.455,2.5,0.0,0.001254,0.824
2.46,2.5,2.8e-09,0.001253,0.825
2.465,2.5,-4e-10,0.001251,0.826
2.47,2.5,2.6e-09,0.00125,0.827
2.475,2.5,2e-09,0.001248,0.828
2.48,2.5,3.9e-09,0.001247,0.829
2.485,2.5,2.8e-09,0.001245,0.83
2.49,2.5,9e-10,0.001244,0.831
2.495,2.5,2.5e-09,0.001242,0.832
2.5,2.5,-2.4e-09,0.001241,0.832
2.505,2.5,9e-10,0.001239,0.833
2.51,2.5,0.0,0.001238,0.834
2.515,2.5,2e-09,0.001236,0.835
2.52,2.5,-1.1e-09,0.001235,0.836
2.525,2.5,1.9e-09,0.001233,0.837
2.53,2.5,6e-10,0.001232,0.838
2.535,2.5,-1e-10,0.00123,0.839
2.54,2.5,4.6e-09,0.001229,0.84
2.545,2.5,-1.3e-09,0.001227,0.841
2.55,2.5,1.9e-09,0.001226,0.842
