"V1","V2","I1","I2","V"
4.0,4.5,0.001163,2.02e-07,4.114
4.00333333333,4.5,0.0032,1.99e-07,4.114
4.00666666667,4.5,0.00317,2.04e-07,4.114
4.01,4.5,0.00316,2.05e-07,4.114
4.01333333333,4.5,0.00315,2.04e-07,4.114
4.01666666667,4.5,0.00313,2.08e-07,4.114
4.02,4.5,0.00313,1.98e-07,4.114
4.02333333333,4.5,0.00312,1.98e-07,4.114
4.02666666667,4.5,0.0031,1.99e-07,4.114
4.03,4.5,0.00309,2.02e-07,4.114
4.03333333333,4.5,0.00308,2.04e-07,4.114
4.03666666667,4.5,0.00306,2e-07,4.114
4.04,4.5,0.00305,2.02e-07,4.114
4.04333333333,4.5,0.00305,2.02e-07,4.114
4.04666666667,4.5,0.00303,1.97e-07,4.114
4.05,4.5,0.00302,2e-07,4.114
4.05333333333,4.5,0.00301,1.99e-07,4.114
4.05666666667,4.5,0.003,1.98e-07,4.114
4.06,4.5,0.00298,1.99e-07,4.114
4.06333333333,4.5,0.00298,2e-07,4.114
4.06666666667,4.5,0.00296,2.02e-07,4.114
4.07,4.5,0.00295,1.98e-07,4.114
4.07333333333,4.5,0.00294,2.03e-07,4.114
4.07666666667,4.5,0.00293,2e-07,4.114
4.08,4.5,0.00292,1.96e-07,4.114
4.08333333333,4.5,0.00291,2.08e-07,4.114
4.08666666667,4.5,0.00289,1.97e-07,4.114
4.09,4.5,0.00288,2.01e-07,4.114
4.09333333333,4.5,0.00287,1.98e-07,4.114
4.09666666667,4.5,0.00286,2.02e-07,4.114
4.1,4.5,0.00285,1.97e-07,4.114
4.10333333333,4.5,0.00284,2.01e-07,4.114
4.10666666667,4.5,0.00282,2.03e-07,4.114
4.11,4.5,0.00281,1.99e-07,4.114
4.11333333333,4.5,0.0028,1.99e-07,4.114
4.11666666667,4.5,0.00279,1.96e-07,4.114
4.12,4.5,0.00278,2.09e-07,4.114
4.12333333333,4.5,0.00277,2.07e-07,4.114
4.12666666667,4.5,0.00275,2.05e-07,4.114
4.13,4.5,0.00274,2.08e-07,4.114
4.13333333333,4.5,0.00274,2.01e-07,4.114
4.13666666667,4.5,0.00272,2.01e-07,4.114
4.14,4.5,0.00271,2.03e-07,4.114
4.14333333333,4.5,0.0027,2e-07,4.114
4.14666666667,4.5,0.00268,2.03e-07,4.114
4.15,4.5,0.00268,2.01e-07,4.114
4.15333333333,4.5,0.00267,2.01e-07,4.114
4.15666666667,4.5,0.00265,2.05e-07,4.114
4.16,4.5,0.00264,2.03e-07,4.114
4.16333333333,4.5,0.00263,2.02e-07,4.114
4.16666666667,4.5,0.00262,1.99e-07,4.114
4.17,4.5,0.00261,1.99e-07,4.114
4.17333333333,4.5,0.0026,2.02e-07,4.114
4.17666666667,4.5,0.00258,2e-07,4.114
4.18,4.5,0.00257,1.96e-07,4.114
4.18333333333,4.5,0.00257,2.02e-07,4.114
4.18666666667,4.5,0.00255,2.06e-07,4.114
4.19,4.5,0.00254,1.99e-07,4.114
4.19333333333,4.5,0.00253,1.95e-07,4.114
4.19666666667,4.5,0.00251,2.02e-07,4.114
4.2,4.5,0.00251,2.02e-07,4.114
4.20333333333,4.5,0.0025,2.01e-07,4.114
4.20666666667,4.5,0.00248,1.98e-07,4.114
4.21,4.5,0.00247,2.02e-07,4.114
4.21333333333,4.5,0.00246,2.06e-07,4.114
4.21666666667,4.5,0.00245,2.03e-07,4.114
4.22,4.5,0.00244,1.96e-07,4.114
4.22333333333,4.5,0.00243,1.98e-07,4.114
4.22666666667,4.5,0.00241,2.04e-07,4.114
4.23,4.5,0.0024,2e-07,4.114
4.23333333333,4.5,0.0024,2.03e-07,4.114
4.23666666667,4.5,0.00238,1.99e-07,4.114
4.24,4.5,0.00237,2e-07,4.114
4.24333333333,4.5,0.00236,2.01e-07,4.37
4.24666666667,4.5,0.00234,2.07e-07,4.114
4.25,4.5,0.00234,2.04e-07,4.38
4.25333333333,4.5,0.00233,2.02e-07,4.114
4.25666666667,4.5,0.00231,1.99e-07,4.385
4.26,4.5,0.0023,2e-07,4.114
4.26333333333,4.5,0.00229,2.01e-07,4.114
4.26666666667,4.5,0.00228,1.97e-07,4.114
4.27,4.5,0.00227,2e-07,4.395
4.27333333333,4.5,0.00226,2e-07,4.114
4.27666666667,4.5,0.00225,2.03e-07,4.114
4.28,4.5,0.00224,1.98e-07,4.405
4.28333333333,4.5,0.00223,1.98e-07,4.114
4.28666666667,4.5,0.00221,2.03e-07,4.41
4.29,4.5,0.0022,2.03e-07,4.114
4.29333333333,4.5,0.00219,2.06e-07,4.114
4.29666666667,4.5,0.00218,2.01e-07,4.415
4.3,4.5,0.00217,2e-07,4.114
4.30333333333,4.5,0.00216,2.04e-07,4.42
4.30666666667,4.5,0.00215,2.04e-07,4.114
4.31,4.5,0.00213,1.93e-07,4.425
4.31333333333,4.5,0.00213,1.99e-07,4.114
4.31666666667,4.5,0.00211,2.07e-07,4.435
4.32,4.5,0.0021,1.99e-07,4.114
4.32333333333,4.5,0.00209,2e-07,4.435
4.32666666667,4.5,0.00208,2.01e-07,4.114
4.33,4.5,0.00207,2e-07,4.445
4.33333333333,4.5,0.00206,2.01e-07,4.114
4.33666666667,4.5,0.00204,1.98e-07,4.45
4.34,4.5,0.00204,1.95e-07,4.114
4.34333333333,4.5,0.00203,1.97e-07,4.455
4.34666666667,4.5,0.00201,1.98e-07,4.114
4.35,4.5,0.002,1.94e-07,4.46
4.35333333333,4.5,0.00199,1.95e-07,4.114
4.35666666667,4.5,0.00198,2.05e-07,4.465
4.36,4.5,0.00197,2.09e-07,4.114
4.36333333333,4.5,0.00196,2.01e-07,4.47
4.36666666667,4.5,0.00194,2e-07,4.114
4.37,4.5,0.00193,2e-07,4.475
4.37333333333,4.5,0.00193,2.03e-07,4.114
4.37666666667,4.5,0.00191,2e-07,4.48
4.38,4.5,0.0019,1.97e-07,4.114
4.38333333333,4.5,0.00189,1.99e-07,4.485
4.38666666667,4.5,0.00188,1.94e-07,4.114
4.39,4.5,0.00187,1.99e-07,4.49
4.39333333333,4.5,0.00186,1.97e-07,4.114
4.39666666667,4.5,0.00185,1.96e-07,4.5
