v3	Is(M3)	Is(M2)
3.000000000000000e+00	-1.287295e-05	-4.027049e-06
3.010000000000000e+00	-1.279169e-05	-4.108854e-06
3.020000000000000e+00	-1.270931e-05	-4.190694e-06
3.029999999999999e+00	-1.262686e-05	-4.273144e-06
3.039999999999999e+00	-1.254400e-05	-4.356000e-06
3.049999999999999e+00	-1.246075e-05	-4.439253e-06
3.059999999999999e+00	-1.237711e-05	-4.522893e-06
3.069999999999999e+00	-1.229309e-05	-4.606909e-06
3.079999999999998e+00	-1.220871e-05	-4.691294e-06
3.089999999999998e+00	-1.212396e-05	-4.776037e-06
3.099999999999998e+00	-1.203887e-05	-4.861129e-06
3.109999999999998e+00	-1.195344e-05	-4.946561e-06
3.119999999999997e+00	-1.186768e-05	-5.032323e-06
3.129999999999997e+00	-1.178159e-05	-5.118408e-06
3.139999999999997e+00	-1.169520e-05	-5.204804e-06
3.149999999999997e+00	-1.160849e-05	-5.291505e-06
3.159999999999997e+00	-1.152150e-05	-5.378500e-06
3.169999999999996e+00	-1.143422e-05	-5.465780e-06
3.179999999999996e+00	-1.134666e-05	-5.553337e-06
3.189999999999996e+00	-1.125884e-05	-5.641163e-06
3.199999999999996e+00	-1.117075e-05	-5.729247e-06
3.209999999999996e+00	-1.108242e-05	-5.817581e-06
3.219999999999995e+00	-1.099384e-05	-5.906158e-06
3.229999999999995e+00	-1.090503e-05	-5.994967e-06
3.239999999999995e+00	-1.081600e-05	-6.084000e-06
3.249999999999995e+00	-1.072675e-05	-6.173249e-06
3.259999999999994e+00	-1.063729e-05	-6.262706e-06
3.269999999999994e+00	-1.054764e-05	-6.352361e-06
3.279999999999994e+00	-1.045779e-05	-6.442207e-06
3.289999999999994e+00	-1.036777e-05	-6.532233e-06
3.299999999999994e+00	-1.027757e-05	-6.622433e-06
3.309999999999993e+00	-1.018720e-05	-6.712798e-06
3.319999999999993e+00	-1.009668e-05	-6.803320e-06
3.329999999999993e+00	-1.000601e-05	-6.893989e-06
3.339999999999993e+00	-9.915201e-06	-6.984798e-06
3.349999999999993e+00	-9.824261e-06	-7.075739e-06
3.359999999999992e+00	-9.733198e-06	-7.166803e-06
3.369999999999992e+00	-9.642019e-06	-7.257981e-06
3.379999999999992e+00	-9.550734e-06	-7.349266e-06
3.389999999999992e+00	-9.459351e-06	-7.440649e-06
3.399999999999991e+00	-9.367878e-06	-7.532122e-06
3.409999999999991e+00	-9.276323e-06	-7.623677e-06
3.419999999999991e+00	-9.184694e-06	-7.715305e-06
3.429999999999991e+00	-9.093001e-06	-7.807000e-06
3.439999999999991e+00	-9.001250e-06	-7.898750e-06
3.449999999999990e+00	-8.909449e-06	-7.990550e-06
3.459999999999990e+00	-8.817608e-06	-8.082392e-06
3.469999999999990e+00	-8.725735e-06	-8.174266e-06
3.479999999999990e+00	-8.633837e-06	-8.266164e-06
3.489999999999990e+00	-8.541922e-06	-8.358078e-06
3.499999999999989e+00	-8.450000e-06	-8.450000e-06
3.509999999999989e+00	-8.358078e-06	-8.541922e-06
3.519999999999989e+00	-8.266164e-06	-8.633837e-06
3.529999999999989e+00	-8.174266e-06	-8.725735e-06
3.539999999999988e+00	-8.082392e-06	-8.817608e-06
3.549999999999988e+00	-7.990551e-06	-8.909449e-06
3.559999999999988e+00	-7.898750e-06	-9.001250e-06
3.569999999999988e+00	-7.807000e-06	-9.093001e-06
3.579999999999988e+00	-7.715305e-06	-9.184695e-06
3.589999999999987e+00	-7.623677e-06	-9.276323e-06
3.599999999999987e+00	-7.532122e-06	-9.367878e-06
3.609999999999987e+00	-7.440649e-06	-9.459352e-06
3.619999999999987e+00	-7.349266e-06	-9.550735e-06
3.629999999999987e+00	-7.257981e-06	-9.642019e-06
3.639999999999986e+00	-7.166803e-06	-9.733198e-06
3.649999999999986e+00	-7.075739e-06	-9.824262e-06
3.659999999999986e+00	-6.984799e-06	-9.915202e-06
3.669999999999986e+00	-6.893990e-06	-1.000601e-05
3.679999999999986e+00	-6.803320e-06	-1.009668e-05
3.689999999999985e+00	-6.712799e-06	-1.018720e-05
3.699999999999985e+00	-6.622434e-06	-1.027757e-05
3.709999999999985e+00	-6.532234e-06	-1.036777e-05
3.719999999999985e+00	-6.442207e-06	-1.045779e-05
3.729999999999984e+00	-6.352362e-06	-1.054764e-05
3.739999999999984e+00	-6.262706e-06	-1.063729e-05
3.749999999999984e+00	-6.173250e-06	-1.072675e-05
3.759999999999984e+00	-6.084001e-06	-1.081600e-05
3.769999999999984e+00	-5.994967e-06	-1.090503e-05
3.779999999999983e+00	-5.906158e-06	-1.099384e-05
3.789999999999983e+00	-5.817582e-06	-1.108242e-05
3.799999999999983e+00	-5.729247e-06	-1.117075e-05
3.809999999999983e+00	-5.641163e-06	-1.125884e-05
3.819999999999983e+00	-5.553338e-06	-1.134666e-05
3.829999999999982e+00	-5.465781e-06	-1.143422e-05
3.839999999999982e+00	-5.378500e-06	-1.152150e-05
3.849999999999982e+00	-5.291505e-06	-1.160850e-05
3.859999999999982e+00	-5.204805e-06	-1.169520e-05
3.869999999999981e+00	-5.118408e-06	-1.178159e-05
3.879999999999981e+00	-5.032324e-06	-1.186768e-05
3.889999999999981e+00	-4.946561e-06	-1.195344e-05
3.899999999999981e+00	-4.861129e-06	-1.203887e-05
3.909999999999981e+00	-4.776037e-06	-1.212396e-05
3.919999999999980e+00	-4.691294e-06	-1.220871e-05
3.929999999999980e+00	-4.606910e-06	-1.229309e-05
3.939999999999980e+00	-4.522893e-06	-1.237711e-05
3.949999999999980e+00	-4.439254e-06	-1.246075e-05
3.959999999999980e+00	-4.356001e-06	-1.254400e-05
3.969999999999979e+00	-4.273144e-06	-1.262686e-05
3.979999999999979e+00	-4.190694e-06	-1.270931e-05
3.989999999999979e+00	-4.108659e-06	-1.279134e-05
4.000000000000000e+00	-4.027050e-06	-1.287295e-05
