"V1","V2","I1","I2","V"
2.0,2.5,1.64e-08,2e-10,2.922
2.002,2.5,1.63e-08,3e-10,2.928
2.004,2.5,1.58e-08,2e-10,2.93
2.006,2.5,1.6e-08,8e-10,2.93
2.008,2.5,1.6e-08,4e-10,2.932
2.01,2.5,1.62e-08,4e-10,2.934
2.012,2.5,1.62e-08,2e-10,2.936
2.014,2.5,1.61e-08,4e-10,2.938
2.016,2.5,1.59e-08,2e-10,2.94
2.018,2.5,1.61e-08,1e-10,2.942
2.02,2.5,1.59e-08,-1e-10,2.944
2.022,2.5,1.57e-08,3e-10,2.946
2.024,2.5,1.51e-08,-1e-10,2.948
2.026,2.5,1.69e-08,-6e-10,2.95
2.028,2.5,1.18e-08,3e-10,2.952
2.03,2.5,1.59e-08,-2e-10,2.952
2.032,2.5,1.76e-08,2e-10,2.954
2.034,2.5,1.62e-08,1e-10,2.956
2.036,2.5,1.65e-08,1e-10,2.958
2.038,2.5,1.69e-08,4e-10,2.96
2.04,2.5,1.62e-08,3e-10,2.962
2.042,2.5,1.62e-08,1e-10,2.964
2.044,2.5,1.64e-08,4e-10,2.966
2.046,2.5,1.76e-08,1.4e-09,2.968
2.048,2.5,1.76e-08,1.4e-09,2.97
2.05,2.5,1.69e-08,1.6e-09,2.972
2.052,2.5,1.76e-08,1.6e-09,2.974
2.054,2.5,1.73e-08,6e-10,2.974
2.056,2.5,1.74e-08,-3e-10,2.976
2.058,2.5,1.72e-08,-5e-10,2.978
2.06,2.5,1.55e-08,3e-10,2.98
2.062,2.5,1.42e-08,-3e-10,2.982
2.064,2.5,1.47e-08,-4e-10,2.984
2.066,2.5,1.66e-08,-3e-10,2.986
2.068,2.5,1.75e-08,2e-10,2.986
2.07,2.5,1.65e-08,-0.0,2.988
2.072,2.5,1.6e-08,3e-10,2.99
2.074,2.5,1.51e-08,4e-10,2.992
2.076,2.5,1.49e-08,-1e-10,2.994
2.078,2.5,1.41e-08,5e-10,2.996
2.08,2.5,1.53e-08,8e-10,2.998
2.082,2.5,1.65e-08,9e-10,3.0
2.084,2.5,1.47e-08,5e-10,3.002
2.086,2.5,1.36e-08,5e-10,3.004
2.088,2.5,1.29e-08,8e-10,3.006
2.09,2.5,1.51e-08,-0.0,3.008
2.092,2.5,1.57e-08,1e-10,3.01
2.094,2.5,1.62e-08,3e-10,3.01
2.096,2.5,1.61e-08,-5e-10,3.012
2.098,2.5,1.62e-08,3e-10,3.014
2.1,2.5,1.62e-08,5e-10,3.016
2.102,2.5,1.62e-08,2.2e-09,3.018
2.104,2.5,1.62e-08,1.5e-09,3.02
2.106,2.5,1.59e-08,1.9e-09,3.022
2.108,2.5,1.58e-08,1.5e-09,3.024
2.11,2.5,1.64e-08,1.5e-09,3.026
2.112,2.5,1.56e-08,1.1e-09,3.028
2.114,2.5,1.59e-08,5e-10,3.028
2.116,2.5,1.62e-08,-1.6e-09,3.03
2.118,2.5,1.58e-08,-2.6e-09,3.032
2.12,2.5,1.61e-08,-3.2e-09,3.034
2.122,2.5,1.63e-08,3e-10,3.036
2.124,2.5,1.61e-08,7e-10,3.038
2.126,2.5,1.59e-08,4e-10,3.04
2.128,2.5,1.61e-08,6e-10,3.042
2.13,2.5,1.62e-08,6e-10,3.042
2.132,2.5,1.57e-08,2e-10,3.044
2.134,2.5,1.56e-08,-2e-10,3.046
2.136,2.5,1.62e-08,5e-10,3.048
2.138,2.5,1.59e-08,9e-10,3.05
2.14,2.5,1.59e-08,7e-10,3.052
2.142,2.5,1.63e-08,6e-10,3.054
2.144,2.5,1.64e-08,1e-09,3.056
2.146,2.5,1.6e-08,1.2e-09,3.058
2.148,2.5,1.62e-08,1e-09,3.06
2.15,2.5,1.66e-08,7e-10,3.062
2.152,2.5,1.62e-08,6e-10,3.062
2.154,2.5,1.58e-08,-0.0,3.064
2.156,2.5,1.62e-08,-6e-10,3.066
2.158,2.5,1.59e-08,3e-10,3.068
2.16,2.5,1.61e-08,4e-10,3.07
2.162,2.5,1.64e-08,8e-10,3.072
2.164,2.5,1.61e-08,6e-10,3.074
2.166,2.5,1.58e-08,7e-10,3.076
2.168,2.5,1.61e-08,8e-10,3.078
2.17,2.5,1.6e-08,6e-10,3.08
2.172,2.5,1.6e-08,4e-10,3.082
2.174,2.5,1.65e-08,4e-10,3.082
2.176,2.5,1.6e-08,4e-10,3.084
2.178,2.5,1.6e-08,6e-10,3.086
2.18,2.5,1.62e-08,6e-10,3.088
2.182,2.5,1.59e-08,4e-10,3.09
2.184,2.5,1.63e-08,1e-09,3.092
2.186,2.5,1.62e-08,9e-10,3.094
2.188,2.5,1.6e-08,5e-10,3.096
2.19,2.5,1.59e-08,7e-10,3.096
2.192,2.5,1.58e-08,4e-10,3.098
2.194,2.5,1.61e-08,4e-10,3.1
2.196,2.5,1.6e-08,3e-10,3.102
2.198,2.5,1.6e-08,2e-10,3.104
2.2,2.5,1.63e-08,2e-10,3.106
2.202,2.5,1.6e-08,7e-10,3.108
2.204,2.5,1.6e-08,2e-10,3.108
2.206,2.5,1.61e-08,6e-10,3.112
2.208,2.5,1.62e-08,4e-10,3.114
2.21,2.5,1.61e-08,2e-10,3.114
2.212,2.5,1.64e-08,3e-10,3.116
2.214,2.5,1.6e-08,6e-10,3.118
2.216,2.5,1.65e-08,5e-10,3.12
2.218,2.5,1.63e-08,5e-10,3.122
2.22,2.5,1.64e-08,7e-10,3.124
2.222,2.5,1.59e-08,2e-10,3.126
2.224,2.5,1.61e-08,2e-10,3.128
2.226,2.5,1.63e-08,2e-10,3.13
2.228,2.5,1.61e-08,6e-10,3.132
2.23,2.5,1.61e-08,3e-10,3.134
2.232,2.5,1.59e-08,3e-10,3.136
2.234,2.5,1.62e-08,3e-10,3.136
2.236,2.5,1.59e-08,5e-10,3.138
2.238,2.5,1.59e-08,7e-10,3.14
2.24,2.5,1.6e-08,3e-10,3.142
2.242,2.5,1.62e-08,8e-10,3.144
2.244,2.5,1.6e-08,1e-10,3.146
2.246,2.5,1.63e-08,4e-10,3.148
2.248,2.5,1.6e-08,5e-10,3.15
2.25,2.5,1.63e-08,-0.0,3.152
2.252,2.5,1.63e-08,2e-10,3.152
2.254,2.5,1.62e-08,3e-10,3.154
2.256,2.5,1.58e-08,2e-10,3.156
2.258,2.5,1.61e-08,1e-09,3.158
2.26,2.5,1.64e-08,3e-10,3.16
2.262,2.5,1.61e-08,4e-10,3.162
2.264,2.5,1.59e-08,4e-10,3.164
2.266,2.5,1.63e-08,1e-10,3.166
2.268,2.5,1.62e-08,6e-10,3.168
2.27,2.5,1.61e-08,3e-10,3.17
2.272,2.5,1.62e-08,-0.0,3.17
2.274,2.5,1.59e-08,1e-10,3.172
2.276,2.5,1.61e-08,6e-10,3.174
2.278,2.5,1.64e-08,2e-10,3.176
2.28,2.5,1.61e-08,8e-10,3.178
2.282,2.5,1.63e-08,3e-10,3.18
2.284,2.5,1.58e-08,3e-10,3.182
2.286,2.5,1.57e-08,4e-10,3.184
2.288,2.5,1.58e-08,3e-10,3.186
2.29,2.5,1.6e-08,2e-10,3.188
2.292,2.5,1.64e-08,7e-10,3.188
2.294,2.5,1.57e-08,3e-10,3.19
2.296,2.5,1.62e-08,5e-10,3.192
2.298,2.5,1.63e-08,4e-10,3.194
2.3,2.5,1.6e-08,2e-10,3.196
2.302,2.5,1.59e-08,5e-10,3.198
2.304,2.5,1.59e-08,3e-10,3.2
2.306,2.5,1.59e-08,8e-10,3.202
2.308,2.5,1.61e-08,3e-10,3.204
2.31,2.5,1.61e-08,8e-10,3.204
2.312,2.5,1.57e-08,6e-10,3.206
2.314,2.5,1.59e-08,3e-10,3.21
2.316,2.5,1.59e-08,1.3e-09,3.21
2.318,2.5,1.63e-08,6e-10,3.212
2.32,2.5,1.6e-08,1e-10,3.214
2.322,2.5,1.6e-08,-1e-10,3.216
2.324,2.5,1.6e-08,5e-10,3.218
2.326,2.5,1.56e-08,3e-10,3.22
2.328,2.5,1.58e-08,-1e-10,3.222
2.33,2.5,1.58e-08,4e-10,3.224
2.332,2.5,1.58e-08,3e-10,3.224
2.334,2.5,1.6e-08,8e-10,3.226
2.336,2.5,1.53e-08,6e-10,3.228
2.338,2.5,1.58e-08,1e-10,3.23
2.34,2.5,1.61e-08,6e-10,3.232
2.342,2.5,1.59e-08,4e-10,3.234
2.344,2.5,1.58e-08,2e-10,3.236
2.346,2.5,1.6e-08,3e-10,3.236
2.348,2.5,1.52e-08,3e-10,3.238
2.35,2.5,1.58e-08,2e-10,3.242
2.352,2.5,1.58e-08,7e-10,3.242
2.354,2.5,1.58e-08,-0.0,3.244
2.356,2.5,1.64e-08,6e-10,3.246
2.358,2.5,1.58e-08,2e-10,3.248
2.36,2.5,1.57e-08,6e-10,3.25
2.362,2.5,1.57e-08,5e-10,3.25
2.364,2.5,1.55e-08,1e-10,3.252
2.366,2.5,1.59e-08,7e-10,3.254
2.368,2.5,1.59e-08,3e-10,3.256
2.37,2.5,1.59e-08,1e-10,3.258
2.372,2.5,1.57e-08,7e-10,3.26
2.374,2.5,1.59e-08,4e-10,3.262
2.376,2.5,1.59e-08,6e-10,3.264
2.378,2.5,1.53e-08,8e-10,3.266
2.38,2.5,1.56e-08,8e-10,3.268
2.382,2.5,1.55e-08,6e-10,3.268
2.384,2.5,1.53e-08,2e-10,3.27
2.386,2.5,1.62e-08,6e-10,3.272
2.388,2.5,1.58e-08,2e-10,3.274
2.39,2.5,1.56e-08,6e-10,3.276
2.392,2.5,1.57e-08,8e-10,3.278
2.394,2.5,1.56e-08,6e-10,3.28
2.396,2.5,1.54e-08,8e-10,3.282
2.398,2.5,1.54e-08,7e-10,3.284
2.4,2.5,1.61e-08,4e-10,3.284
2.402,2.5,1.5e-08,1.1e-09,3.286
2.404,2.5,1.54e-08,8e-10,3.288
2.406,2.5,1.52e-08,8e-10,3.29
2.408,2.5,1.56e-08,7e-10,3.292
2.41,2.5,1.54e-08,6e-10,3.294
2.412,2.5,1.55e-08,6e-10,3.294
2.414,2.5,1.48e-08,1.4e-09,3.296
2.416,2.5,1.52e-08,9e-10,3.298
2.418,2.5,1.51e-08,9e-10,3.3
2.42,2.5,1.54e-08,1e-09,3.302
2.422,2.5,1.49e-08,1.2e-09,3.304
2.424,2.5,1.52e-08,1e-09,3.306
2.426,2.5,1.53e-08,1.4e-09,3.306
2.428,2.5,1.48e-08,1e-09,3.308
2.43,2.5,1.49e-08,1.8e-09,3.31
2.432,2.5,1.49e-08,8e-10,3.312
2.434,2.5,1.49e-08,1.5e-09,3.314
2.436,2.5,1.48e-08,1.4e-09,3.316
2.438,2.5,1.52e-08,2e-09,3.316
2.44,2.5,1.49e-08,1.6e-09,3.318
2.442,2.5,1.48e-08,1.5e-09,3.32
2.444,2.5,1.46e-08,1.6e-09,3.322
2.446,2.5,1.45e-08,1.7e-09,3.324
2.448,2.5,1.42e-08,2.1e-09,3.324
2.45,2.5,1.39e-08,2.5e-09,3.326
2.452,2.5,1.38e-08,2.3e-09,3.328
2.454,2.5,1.39e-08,2.2e-09,3.33
2.456,2.5,1.4e-08,2.5e-09,3.332
2.458,2.5,1.4e-08,2.4e-09,3.332
2.46,2.5,1.36e-08,2.9e-09,3.334
2.462,2.5,1.34e-08,2.7e-09,3.336
2.464,2.5,1.31e-08,3.1e-09,3.338
2.466,2.5,1.35e-08,2.8e-09,3.338
2.468,2.5,1.33e-08,3.4e-09,3.34
2.47,2.5,1.25e-08,3.3e-09,3.342
2.472,2.5,1.29e-08,3.6e-09,3.344
2.474,2.5,1.25e-08,3.7e-09,3.344
2.476,2.5,1.24e-08,4.2e-09,3.346
2.478,2.5,1.22e-08,3.6e-09,3.348
2.48,2.5,1.2e-08,4.5e-09,3.348
2.482,2.5,1.18e-08,4.6e-09,3.35
2.484,2.5,1.18e-08,4.6e-09,3.35
2.486,2.5,1.13e-08,5e-09,3.352
2.488,2.5,1.14e-08,5.1e-09,3.354
2.49,2.5,1.11e-08,5.3e-09,3.356
2.492,2.5,1.1e-08,5.6e-09,3.356
2.494,2.5,1.07e-08,5.7e-09,3.358
2.496,2.5,1.04e-08,5.9e-09,3.358
2.498,2.5,1.01e-08,6.2e-09,3.36
2.5,2.5,9.8e-09,6.4e-09,3.362
2.502,2.5,9.5e-09,6.4e-09,3.362
2.504,2.5,9e-09,6.5e-09,3.364
2.506,2.5,9.2e-09,7.1e-09,3.364
2.508,2.5,8.9e-09,7.6e-09,3.364
2.51,2.5,8.5e-09,7.5e-09,3.366
2.512,2.5,8.3e-09,7.8e-09,3.366
2.514,2.5,8.1e-09,8.1e-09,3.368
2.516,2.5,7.7e-09,8.6e-09,3.368
2.518,2.5,7.7e-09,8.7e-09,3.37
2.52,2.5,7.4e-09,9.3e-09,3.37
2.522,2.5,7e-09,8.8e-09,3.37
2.524,2.5,6.9e-09,9.5e-09,3.372
2.526,2.5,6.8e-09,9.5e-09,3.372
2.528,2.5,6.6e-09,1.04e-08,3.372
2.53,2.5,6.1e-09,1.03e-08,3.374
2.532,2.5,5.8e-09,9.5e-09,3.374
2.534,2.5,5.7e-09,1.1e-08,3.374
2.536,2.5,5.4e-09,1.06e-08,3.376
2.538,2.5,5.2e-09,1.12e-08,3.376
2.54,2.5,5e-09,1.1e-08,3.376
2.542,2.5,5.1e-09,1.13e-08,3.376
2.544,2.5,4.4e-09,1.18e-08,3.378
2.546,2.5,4.1e-09,1.21e-08,3.378
2.548,2.5,3.8e-09,1.2e-08,3.378
2.55,2.5,4.3e-09,1.26e-08,3.378
2.552,2.5,4.1e-09,1.22e-08,3.38
2.554,2.5,3.9e-09,1.25e-08,3.38
2.556,2.5,3.2e-09,1.23e-08,3.38
2.558,2.5,3.5e-09,1.28e-08,3.38
2.56,2.5,3.4e-09,1.29e-08,3.38
2.562,2.5,3e-09,1.27e-08,3.38
2.564,2.5,3.1e-09,1.31e-08,3.382
2.566,2.5,2.7e-09,1.37e-08,3.382
2.568,2.5,2.8e-09,1.33e-08,3.382
2.57,2.5,2.6e-09,1.33e-08,3.382
2.572,2.5,2.4e-09,1.41e-08,3.382
2.574,2.5,2.3e-09,1.42e-08,3.382
2.576,2.5,2.3e-09,1.4e-08,3.382
2.578,2.5,1.9e-09,1.39e-08,3.382
2.58,2.5,2.3e-09,1.45e-08,3.384
2.582,2.5,2.2e-09,1.47e-08,3.384
2.584,2.5,1.8e-09,1.42e-08,3.384
2.586,2.5,1.3e-09,1.48e-08,3.384
2.588,2.5,1.4e-09,1.46e-08,3.384
2.59,2.5,1.1e-09,1.46e-08,3.384
2.592,2.5,1.7e-09,1.46e-08,3.384
2.594,2.5,1.4e-09,1.47e-08,3.384
2.596,2.5,1.5e-09,1.45e-08,3.384
2.598,2.5,1.1e-09,1.51e-08,3.384
2.6,2.5,1.2e-09,1.49e-08,3.384
2.602,2.5,1.2e-09,1.53e-08,3.384
2.604,2.5,1.1e-09,1.45e-08,3.384
2.606,2.5,1.2e-09,1.54e-08,3.384
2.608,2.5,1.1e-09,1.48e-08,3.384
2.61,2.5,9e-10,1.53e-08,3.384
2.612,2.5,8e-10,1.51e-08,3.384
2.614,2.5,1e-09,1.57e-08,3.384
2.616,2.5,1.7e-09,1.54e-08,3.384
2.618,2.5,1.3e-09,1.54e-08,3.384
2.62,2.5,1.1e-09,1.51e-08,3.386
2.622,2.5,9e-10,1.55e-08,3.384
2.624,2.5,9e-10,1.54e-08,3.386
2.626,2.5,4e-10,1.57e-08,3.386
2.628,2.5,8e-10,1.55e-08,3.386
2.63,2.5,9e-10,1.53e-08,3.386
2.632,2.5,9e-10,1.54e-08,3.386
2.634,2.5,1.2e-09,1.55e-08,3.386
2.636,2.5,4e-10,1.58e-08,3.386
2.638,2.5,9e-10,1.57e-08,3.386
2.64,2.5,8e-10,1.56e-08,3.386
2.642,2.5,4e-10,1.56e-08,3.386
2.644,2.5,5e-10,1.52e-08,3.386
2.646,2.5,5e-10,1.55e-08,3.386
2.648,2.5,7e-10,1.57e-08,3.386
2.65,2.5,6e-10,1.57e-08,3.386
2.652,2.5,5e-10,1.57e-08,3.386
2.654,2.5,6e-10,1.55e-08,3.386
2.656,2.5,3e-10,1.55e-08,3.386
2.658,2.5,5e-10,1.57e-08,3.386
2.66,2.5,5e-10,1.55e-08,3.386
2.662,2.5,6e-10,1.58e-08,3.386
2.664,2.5,6e-10,1.53e-08,3.386
2.666,2.5,6e-10,1.55e-08,3.386
2.668,2.5,3e-10,1.54e-08,3.386
2.67,2.5,6e-10,1.57e-08,3.386
2.672,2.5,5e-10,1.59e-08,3.386
2.674,2.5,4e-10,1.55e-08,3.386
2.676,2.5,6e-10,1.6e-08,3.386
2.678,2.5,9e-10,1.57e-08,3.386
2.68,2.5,6e-10,1.54e-08,3.386
2.682,2.5,4e-10,1.59e-08,3.386
2.684,2.5,9e-10,1.57e-08,3.386
2.686,2.5,-0.0,1.55e-08,3.386
2.688,2.5,4e-10,1.58e-08,3.386
2.69,2.5,5e-10,1.56e-08,3.386
2.692,2.5,1e-10,1.57e-08,3.386
2.694,2.5,5e-10,1.55e-08,3.386
2.696,2.5,7e-10,1.56e-08,3.386
2.698,2.5,8e-10,1.59e-08,3.386
2.7,2.5,7e-10,1.59e-08,3.386
2.702,2.5,5e-10,1.57e-08,3.386
2.704,2.5,5e-10,1.55e-08,3.386
2.706,2.5,6e-10,1.59e-08,3.386
2.708,2.5,9e-10,1.57e-08,3.386
2.71,2.5,3e-10,1.56e-08,3.386
2.712,2.5,7e-10,1.58e-08,3.386
2.714,2.5,3e-10,1.56e-08,3.386
2.716,2.5,4e-10,1.58e-08,3.386
2.718,2.5,2e-10,1.55e-08,3.386
2.72,2.5,7e-10,1.59e-08,3.386
2.722,2.5,-0.0,1.57e-08,3.386
2.724,2.5,5e-10,1.61e-08,3.386
2.726,2.5,2e-10,1.6e-08,3.386
2.728,2.5,4e-10,1.59e-08,3.386
2.73,2.5,5e-10,1.57e-08,3.386
2.732,2.5,9e-10,1.61e-08,3.386
2.734,2.5,-0.0,1.54e-08,3.386
2.736,2.5,2e-10,1.59e-08,3.386
2.738,2.5,3e-10,1.58e-08,3.386
2.74,2.5,7e-10,1.56e-08,3.386
2.742,2.5,4e-10,1.55e-08,3.386
2.744,2.5,5e-10,1.59e-08,3.386
2.746,2.5,3e-10,1.57e-08,3.386
2.748,2.5,3e-10,1.59e-08,3.386
2.75,2.5,-0.0,1.57e-08,3.386
2.752,2.5,9e-10,1.61e-08,3.386
2.754,2.5,6e-10,1.59e-08,3.386
2.756,2.5,9e-10,1.61e-08,3.386
2.758,2.5,6e-10,1.55e-08,3.386
2.76,2.5,8e-10,1.59e-08,3.386
2.762,2.5,4e-10,1.58e-08,3.386
2.764,2.5,3e-10,1.55e-08,3.386
2.766,2.5,2e-10,1.57e-08,3.386
2.768,2.5,4e-10,1.58e-08,3.386
2.77,2.5,4e-10,1.58e-08,3.386
2.772,2.5,1e-10,1.56e-08,3.386
2.774,2.5,4e-10,1.57e-08,3.386
2.776,2.5,5e-10,1.58e-08,3.386
2.778,2.5,8e-10,1.56e-08,3.386
2.78,2.5,-0.0,1.56e-08,3.386
2.782,2.5,8e-10,1.57e-08,3.386
2.784,2.5,1e-10,1.57e-08,3.386
2.786,2.5,2e-10,1.59e-08,3.386
2.788,2.5,5e-10,1.62e-08,3.386
2.79,2.5,3e-10,1.57e-08,3.386
2.792,2.5,5e-10,1.57e-08,3.386
2.794,2.5,2e-10,1.54e-08,3.386
2.796,2.5,3e-10,1.59e-08,3.386
2.798,2.5,5e-10,1.57e-08,3.386
2.8,2.5,6e-10,1.57e-08,3.386
2.802,2.5,4e-10,1.55e-08,3.386
2.804,2.5,2e-10,1.57e-08,3.386
2.806,2.5,4e-10,1.53e-08,3.386
2.808,2.5,2e-10,1.59e-08,3.386
2.81,2.5,4e-10,1.55e-08,3.386
2.812,2.5,3e-10,1.55e-08,3.386
2.814,2.5,4e-10,1.59e-08,3.386
2.816,2.5,4e-10,1.57e-08,3.386
2.818,2.5,5e-10,1.57e-08,3.386
2.82,2.5,5e-10,1.56e-08,3.386
2.822,2.5,5e-10,1.57e-08,3.386
2.824,2.5,2e-10,1.6e-08,3.386
2.826,2.5,8e-10,1.54e-08,3.386
2.828,2.5,6e-10,1.54e-08,3.386
2.83,2.5,3e-10,1.59e-08,3.386
2.832,2.5,3e-10,1.58e-08,3.386
2.834,2.5,4e-10,1.62e-08,3.386
2.836,2.5,2e-10,1.59e-08,3.386
2.838,2.5,4e-10,1.56e-08,3.386
2.84,2.5,-0.0,1.58e-08,3.386
2.842,2.5,8e-10,1.59e-08,3.386
2.844,2.5,5e-10,1.6e-08,3.386
2.846,2.5,7e-10,1.62e-08,3.386
2.848,2.5,5e-10,1.6e-08,3.386
2.85,2.5,2e-10,1.61e-08,3.386
2.852,2.5,5e-10,1.54e-08,3.386
2.854,2.5,9e-10,1.56e-08,3.386
2.856,2.5,6e-10,1.55e-08,3.386
2.858,2.5,1e-10,1.55e-08,3.386
2.86,2.5,4e-10,1.55e-08,3.386
2.862,2.5,1e-09,1.59e-08,3.386
2.864,2.5,4e-10,1.54e-08,3.386
2.866,2.5,4e-10,1.58e-08,3.386
2.868,2.5,-0.0,1.59e-08,3.386
2.87,2.5,5e-10,1.62e-08,3.386
2.872,2.5,6e-10,1.62e-08,3.386
2.874,2.5,-1e-10,1.58e-08,3.386
2.876,2.5,6e-10,1.56e-08,3.386
2.878,2.5,6e-10,1.57e-08,3.386
2.88,2.5,2e-10,1.56e-08,3.386
2.882,2.5,4e-10,1.59e-08,3.386
2.884,2.5,-0.0,1.54e-08,3.386
2.886,2.5,4e-10,1.58e-08,3.386
2.888,2.5,4e-10,1.56e-08,3.386
2.89,2.5,3e-10,1.57e-08,3.386
2.892,2.5,3e-10,1.56e-08,3.386
2.894,2.5,5e-10,1.57e-08,3.386
2.896,2.5,2e-10,1.57e-08,3.386
2.898,2.5,1e-10,1.6e-08,3.386
2.9,2.5,8e-10,1.55e-08,3.386
2.902,2.5,4e-10,1.56e-08,3.386
2.904,2.5,7e-10,1.59e-08,3.386
2.906,2.5,3e-10,1.58e-08,3.386
2.908,2.5,2e-10,1.56e-08,3.386
2.91,2.5,2e-10,1.54e-08,3.386
2.912,2.5,6e-10,1.54e-08,3.386
2.914,2.5,-0.0,1.53e-08,3.386
2.916,2.5,-1e-10,1.6e-08,3.386
