"V1","V2","I1","I2","V"
1.5,2.5,0.000317,0.0001129,4.114
1.504,2.5,0.000314,0.0001133,4.114
1.508,2.5,0.000313,0.0001136,4.114
1.512,2.5,0.000312,0.0001138,4.114
1.516,2.5,0.000311,0.0001142,4.114
1.52,2.5,0.00031,0.0001145,4.114
1.524,2.5,0.000309,0.0001148,4.114
1.528,2.5,0.000309,0.0001151,4.114
1.532,2.5,0.000308,0.0001154,4.114
1.536,2.5,0.000307,0.0001157,4.114
1.54,2.5,0.000306,0.0001161,4.114
1.544,2.5,0.000305,0.0001163,4.114
1.548,2.5,0.000305,0.0001166,4.114
1.552,2.5,0.000304,0.000117,4.114
1.556,2.5,0.000303,0.0001173,4.114
1.56,2.5,0.000302,0.0001176,4.114
1.564,2.5,0.000301,0.0001179,4.114
1.568,2.5,0.0003,0.0001182,4.114
1.572,2.5,0.0003,0.0001185,4.114
1.576,2.5,0.000299,0.0001189,4.114
1.58,2.5,0.000298,0.0001191,4.114
1.584,2.5,0.000297,0.0001194,4.114
1.588,2.5,0.000297,0.0001197,4.114
1.592,2.5,0.000296,0.00012,4.114
1.596,2.5,0.000295,0.0001203,4.114
1.6,2.5,0.000294,0.0001206,4.114
1.604,2.5,0.000293,0.000121,4.114
1.608,2.5,0.000292,0.0001212,4.114
1.612,2.5,0.000292,0.0001215,4.114
1.616,2.5,0.000291,0.0001219,4.114
1.62,2.5,0.00029,0.0001222,4.114
1.624,2.5,0.000289,0.0001225,4.114
1.628,2.5,0.000288,0.0001228,4.114
1.632,2.5,0.000287,0.0001231,4.114
1.636,2.5,0.000287,0.0001234,4.114
1.64,2.5,0.000286,0.0001237,4.114
1.644,2.5,0.000285,0.000124,4.114
1.648,2.5,0.000284,0.0001243,4.114
1.652,2.5,0.000283,0.0001246,4.114
1.656,2.5,0.000282,0.0001249,4.114
1.66,2.5,0.000282,0.0001253,4.114
1.664,2.5,0.000281,0.0001256,4.114
1.668,2.5,0.00028,0.0001259,4.114
1.672,2.5,0.000279,0.0001262,4.114
1.676,2.5,0.000279,0.0001265,4.114
1.68,2.5,0.000278,0.0001268,4.114
1.684,2.5,0.000277,0.0001271,4.114
1.688,2.5,0.000276,0.0001274,4.114
1.692,2.5,0.000276,0.0001276,4.114
1.696,2.5,0.000275,0.000128,4.114
1.7,2.5,0.000274,0.0001283,4.114
1.704,2.5,0.000273,0.0001286,4.114
1.708,2.5,0.000272,0.0001289,4.114
1.712,2.5,0.000272,0.0001291,4.114
1.716,2.5,0.000271,0.0001294,4.114
1.72,2.5,0.00027,0.0001298,4.114
1.724,2.5,0.000269,0.00013,4.114
1.728,2.5,0.000268,0.0001303,4.114
1.732,2.5,0.000268,0.0001306,4.114
1.736,2.5,0.000267,0.000131,4.114
1.74,2.5,0.000266,0.0001313,4.114
1.744,2.5,0.000265,0.0001316,4.114
1.748,2.5,0.000264,0.0001319,4.114
1.752,2.5,0.000264,0.0001322,4.114
1.756,2.5,0.000263,0.0001325,4.114
1.76,2.5,0.000262,0.0001329,4.114
1.764,2.5,0.000261,0.0001332,4.114
1.768,2.5,0.00026,0.0001336,4.114
1.772,2.5,0.000259,0.0001338,4.114
1.776,2.5,0.000259,0.0001341,4.114
1.78,2.5,0.000258,0.0001344,4.114
1.784,2.5,0.000257,0.0001347,4.114
1.788,2.5,0.000256,0.0001351,4.114
1.792,2.5,0.000255,0.0001354,4.114
1.796,2.5,0.000255,0.0001356,4.114
1.8,2.5,0.000254,0.0001359,4.114
1.804,2.5,0.000253,0.0001362,4.114
1.808,2.5,0.000252,0.0001365,4.114
1.812,2.5,0.000252,0.0001368,4.114
1.816,2.5,0.000251,0.0001371,4.114
1.82,2.5,0.00025,0.0001374,4.114
1.824,2.5,0.00025,0.0001379,4.114
1.828,2.5,0.00025,0.0001382,4.114
1.832,2.5,0.000249,0.0001385,4.114
1.836,2.5,0.000248,0.0001388,4.114
1.84,2.5,0.000247,0.0001392,4.114
1.844,2.5,0.000247,0.0001395,4.114
1.848,2.5,0.000246,0.0001396,4.114
1.852,2.5,0.000245,0.0001401,4.114
1.856,2.5,0.000244,0.0001402,4.114
1.86,2.5,0.000243,0.0001405,4.114
1.864,2.5,0.000242,0.0001408,4.114
1.868,2.5,0.000241,0.0001412,4.114
1.872,2.5,0.000241,0.0001415,4.114
1.876,2.5,0.00024,0.0001417,4.114
1.88,2.5,0.000239,0.0001421,4.114
1.884,2.5,0.000238,0.0001424,4.114
1.888,2.5,0.000237,0.0001427,4.114
1.892,2.5,0.000236,0.000143,4.114
1.896,2.5,0.000236,0.0001432,4.114
1.9,2.5,0.000235,0.0001435,4.114
1.904,2.5,0.000234,0.0001438,4.114
1.908,2.5,0.000233,0.0001441,4.114
1.912,2.5,0.000232,0.0001444,4.114
1.916,2.5,0.000231,0.0001447,4.114
1.92,2.5,0.000231,0.000145,4.114
1.924,2.5,0.00023,0.0001452,4.114
1.928,2.5,0.000229,0.0001455,4.114
1.932,2.5,0.000228,0.0001459,4.114
1.936,2.5,0.000227,0.0001461,4.114
1.94,2.5,0.000226,0.0001464,4.114
1.944,2.5,0.000226,0.0001467,4.114
1.948,2.5,0.000225,0.0001469,4.114
1.952,2.5,0.000224,0.0001474,4.114
1.956,2.5,0.000223,0.0001476,4.114
1.96,2.5,0.000222,0.0001478,4.114
1.964,2.5,0.000222,0.0001482,4.114
1.968,2.5,0.000221,0.0001485,4.114
1.972,2.5,0.00022,0.0001488,4.114
1.976,2.5,0.000219,0.000149,4.114
1.98,2.5,0.000218,0.0001492,4.114
1.984,2.5,0.000217,0.0001495,4.114
1.988,2.5,0.000217,0.0001499,4.114
1.992,2.5,0.000216,0.0001501,4.114
