"V1","V2","I1","I2","V"
2.0,2.5,0.000295,0.0001285,4.114
2.002,2.5,0.00029,0.0001292,4.114
2.004,2.5,0.00029,0.0001294,4.114
2.006,2.5,0.000289,0.0001295,4.114
2.008,2.5,0.000289,0.0001297,4.114
2.01,2.5,0.000288,0.0001299,4.114
2.012,2.5,0.000288,0.0001301,4.114
2.014,2.5,0.000287,0.0001303,4.114
2.016,2.5,0.000287,0.0001305,4.114
2.018,2.5,0.000286,0.0001306,4.114
2.02,2.5,0.000286,0.0001308,4.114
2.022,2.5,0.000285,0.000131,4.114
2.024,2.5,0.000285,0.0001312,4.114
2.026,2.5,0.000284,0.0001314,4.114
2.028,2.5,0.000284,0.0001316,4.114
2.03,2.5,0.000283,0.0001318,4.114
2.032,2.5,0.000283,0.000132,4.114
2.034,2.5,0.000282,0.0001322,4.114
2.036,2.5,0.000282,0.0001324,4.114
2.038,2.5,0.000281,0.0001326,4.114
2.04,2.5,0.000281,0.0001327,4.114
2.042,2.5,0.00028,0.0001329,4.114
2.044,2.5,0.00028,0.0001331,4.114
2.046,2.5,0.00028,0.0001333,4.114
2.048,2.5,0.000279,0.0001335,4.114
2.05,2.5,0.000279,0.0001337,4.114
2.052,2.5,0.000278,0.0001339,4.114
2.054,2.5,0.000278,0.0001341,4.114
2.056,2.5,0.000277,0.0001343,4.114
2.058,2.5,0.000277,0.0001345,4.114
2.06,2.5,0.000276,0.0001346,4.114
2.062,2.5,0.000276,0.0001348,4.114
2.064,2.5,0.000275,0.000135,4.114
2.066,2.5,0.000275,0.0001352,4.114
2.068,2.5,0.000274,0.0001354,4.114
2.07,2.5,0.000274,0.0001356,4.114
2.072,2.5,0.000273,0.0001358,4.114
2.074,2.5,0.000273,0.000136,4.114
2.076,2.5,0.000272,0.0001362,4.114
2.078,2.5,0.000272,0.0001363,4.114
2.08,2.5,0.000272,0.0001365,4.114
2.082,2.5,0.000271,0.0001367,4.114
2.084,2.5,0.000271,0.0001369,4.114
2.086,2.5,0.00027,0.0001371,4.114
2.088,2.5,0.000269,0.0001373,4.114
2.09,2.5,0.000269,0.0001375,4.114
2.092,2.5,0.000269,0.0001377,4.114
2.094,2.5,0.000268,0.0001378,4.114
2.096,2.5,0.000268,0.000138,4.114
2.098,2.5,0.000267,0.0001382,4.114
2.1,2.5,0.000267,0.0001384,4.114
2.102,2.5,0.000266,0.0001386,4.114
2.104,2.5,0.000266,0.0001388,4.114
2.106,2.5,0.000265,0.000139,4.114
2.108,2.5,0.000265,0.0001392,4.114
2.11,2.5,0.000264,0.0001394,4.114
2.112,2.5,0.000264,0.0001395,4.114
2.114,2.5,0.000263,0.0001397,4.114
2.116,2.5,0.000263,0.0001399,4.114
2.118,2.5,0.000263,0.0001401,4.114
2.12,2.5,0.000262,0.0001403,4.114
2.122,2.5,0.000262,0.0001405,4.114
2.124,2.5,0.000261,0.0001407,4.114
2.126,2.5,0.000261,0.0001409,4.114
2.128,2.5,0.00026,0.0001411,4.114
2.13,2.5,0.00026,0.0001412,4.114
2.132,2.5,0.000259,0.0001414,4.114
2.134,2.5,0.000259,0.0001416,4.114
2.136,2.5,0.000258,0.0001418,4.114
2.138,2.5,0.000258,0.000142,4.114
2.14,2.5,0.000257,0.0001422,4.114
2.142,2.5,0.000257,0.0001424,4.114
2.144,2.5,0.000256,0.0001426,4.114
2.146,2.5,0.000256,0.0001428,4.114
2.148,2.5,0.000256,0.000143,4.114
2.15,2.5,0.000255,0.0001431,4.114
2.152,2.5,0.000255,0.0001433,4.114
2.154,2.5,0.000254,0.0001435,4.114
2.156,2.5,0.000254,0.0001437,4.114
2.158,2.5,0.000253,0.0001439,4.114
2.16,2.5,0.000253,0.0001441,4.114
2.162,2.5,0.000252,0.0001442,4.114
2.164,2.5,0.000252,0.0001444,4.114
2.166,2.5,0.000251,0.0001446,4.114
2.168,2.5,0.000251,0.0001448,4.114
2.17,2.5,0.00025,0.000145,4.114
2.172,2.5,0.00025,0.0001452,4.114
2.174,2.5,0.000249,0.0001454,4.114
2.176,2.5,0.000249,0.0001456,4.114
2.178,2.5,0.000249,0.0001458,4.114
2.18,2.5,0.000248,0.000146,4.114
2.182,2.5,0.000248,0.0001462,4.114
2.184,2.5,0.000247,0.0001463,4.114
2.186,2.5,0.000247,0.0001465,4.114
2.188,2.5,0.000246,0.0001467,4.114
2.19,2.5,0.000246,0.0001469,4.114
2.192,2.5,0.000245,0.0001471,4.114
2.194,2.5,0.000245,0.0001473,4.114
2.196,2.5,0.000244,0.0001475,4.114
2.198,2.5,0.000244,0.0001477,4.114
2.2,2.5,0.000244,0.0001479,4.114
2.202,2.5,0.000243,0.0001481,4.114
2.204,2.5,0.000242,0.0001482,4.114
2.206,2.5,0.000242,0.0001484,4.114
