"V1","Vout1"
0.0,0.008
0.01,0.011
0.02,0.011
0.03,0.011
0.04,0.011
0.05,0.011
0.06,0.011
0.07,0.011
0.08,0.011
0.09,0.011
0.1,0.011
0.11,0.011
0.12,0.011
0.13,0.011
0.14,0.011
0.15,0.011
0.16,0.011
0.17,0.011
0.18,0.011
0.19,0.011
0.2,0.011
0.21,0.011
0.22,0.011
0.23,0.011
0.24,0.011
0.25,0.011
0.26,0.011
0.27,0.011
0.28,0.011
0.29,0.011
0.3,0.011
0.31,0.011
0.32,0.011
0.33,0.011
0.34,0.011
0.35,0.011
0.36,0.011
0.37,0.011
0.38,0.011
0.39,0.011
0.4,0.011
0.41,0.011
0.42,0.01
0.43,0.01
0.44,0.01
0.45,0.01
0.46,0.01
0.47,0.011
0.48,0.01
0.49,0.011
0.5,0.011
0.51,0.011
0.52,0.011
0.53,0.011
0.54,0.011
0.55,0.012
0.56,0.012
0.57,0.013
0.58,0.014
0.59,0.015
0.6,0.016
0.61,0.017
0.62,0.019
0.63,0.021
0.64,0.022
0.65,0.024
0.66,0.027
0.67,0.029
0.68,0.032
0.69,0.034
0.7,0.037
0.71,0.04
0.72,0.043
0.73,0.046
0.74,0.049
0.75,0.053
0.76,0.056
0.77,0.06
0.78,0.064
0.79,0.068
0.8,0.072
0.81,0.076
0.82,0.081
0.83,0.085
0.84,0.089
0.85,0.094
0.86,0.098
0.87,0.103
0.88,0.108
0.89,0.112
0.9,0.117
0.91,0.123
0.92,0.128
0.93,0.133
0.94,0.138
0.95,0.144
0.96,0.149
0.97,0.155
0.98,0.16
0.99,0.166
1.0,0.172
1.01,0.177
1.02,0.183
1.03,0.189
1.04,0.195
1.05,0.201
1.06,0.207
1.07,0.213
1.08,0.22
1.09,0.226
1.1,0.232
1.11,0.238
1.12,0.245
1.13,0.251
1.14,0.258
1.15,0.264
1.16,0.271
1.17,0.278
1.18,0.285
1.19,0.292
1.2,0.298
1.21,0.305
1.22,0.312
1.23,0.319
1.24,0.326
1.25,0.333
1.26,0.34
1.27,0.348
1.28,0.355
1.29,0.362
1.3,0.37
1.31,0.377
1.32,0.384
1.33,0.392
1.34,0.399
1.35,0.406
1.36,0.414
1.37,0.421
1.38,0.428
1.39,0.436
1.4,0.443
1.41,0.451
1.42,0.458
1.43,0.466
1.44,0.473
1.45,0.481
1.46,0.488
1.47,0.496
1.48,0.504
1.49,0.511
1.5,0.519
1.51,0.526
1.52,0.534
1.53,0.542
1.54,0.549
1.55,0.557
1.56,0.565
1.57,0.573
1.58,0.581
1.59,0.588
1.6,0.596
1.61,0.604
1.62,0.612
1.63,0.619
1.64,0.627
1.65,0.634
1.66,0.642
1.67,0.65
1.68,0.658
1.69,0.666
1.7,0.674
1.71,0.681
1.72,0.689
1.73,0.697
1.74,0.705
1.75,0.713
1.76,0.721
1.77,0.729
1.78,0.737
1.79,0.744
1.8,0.753
1.81,0.76
1.82,0.769
1.83,0.777
1.84,0.785
1.85,0.793
1.86,0.801
1.87,0.809
1.88,0.817
1.89,0.825
1.9,0.833
1.91,0.841
1.92,0.849
1.93,0.857
1.94,0.865
1.95,0.874
1.96,0.882
1.97,0.89
1.98,0.899
1.99,0.907
2.0,0.915
2.01,0.925
2.02,0.934
2.03,0.943
2.04,0.951
2.05,0.96
2.06,0.968
2.07,0.977
2.08,0.986
