"V1","Vout"
-0.3,1.958
-0.2988,1.982
-0.2976,1.984
-0.2964,1.985
-0.2952,1.986
-0.294,1.987
-0.2928,1.988
-0.2916,1.989
-0.2904,1.99
-0.2892,1.991
-0.288,1.992
-0.2868,1.993
-0.2856,1.994
-0.2844,1.995
-0.2832,1.996
-0.282,1.997
-0.2808,1.998
-0.2796,1.999
-0.2784,2.0
-0.2772,2.001
-0.276,2.086
-0.2748,2.01
-0.2736,2.01
-0.2724,2.012
-0.2712,2.01
-0.27,2.014
-0.2688,2.012
-0.2676,2.016
-0.2664,2.014
-0.2652,2.018
-0.264,2.016
-0.2628,2.02
-0.2616,2.018
-0.2604,2.02
-0.2592,2.02
-0.258,2.024
-0.2568,2.022
-0.2556,2.026
-0.2544,2.024
-0.2532,2.028
-0.252,2.026
-0.2508,2.028
-0.2496,2.028
-0.2484,2.03
-0.2472,2.03
-0.246,2.034
-0.2448,2.032
-0.2436,2.034
-0.2424,2.034
-0.2412,2.036
-0.24,2.036
-0.2388,2.038
-0.2376,2.038
-0.2364,2.042
-0.2352,2.04
-0.234,2.044
-0.2328,2.042
-0.2316,2.046
-0.2304,2.044
-0.2292,2.048
-0.228,2.046
-0.2268,2.05
-0.2256,2.048
-0.2244,2.052
-0.2232,2.052
-0.222,2.054
-0.2208,2.052
-0.2196,2.056
-0.2184,2.054
-0.2172,2.058
-0.216,2.056
-0.2148,2.06
-0.2136,2.06
-0.2124,2.06
-0.2112,2.06
-0.21,2.062
-0.2088,2.062
-0.2076,2.066
-0.2064,2.064
-0.2052,2.068
-0.204,2.066
-0.2028,2.068
-0.2016,2.068
-0.2004,2.072
-0.1992,2.07
-0.198,2.074
-0.1968,2.072
-0.1956,2.076
-0.1944,2.074
-0.1932,2.078
-0.192,2.076
-0.1908,2.08
-0.1896,2.08
-0.1884,2.082
-0.1872,2.082
-0.186,2.084
-0.1848,2.084
-0.1836,2.086
-0.1824,2.084
-0.1812,2.088
-0.18,2.088
-0.1788,2.09
-0.1776,2.09
-0.1764,2.092
-0.1752,2.092
-0.174,2.094
-0.1728,2.094
-0.1716,2.096
-0.1704,2.096
-0.1692,2.098
-0.168,2.098
-0.1668,2.1
-0.1656,2.1
-0.1644,2.102
-0.1632,2.102
-0.162,2.104
-0.1608,2.104
-0.1596,2.106
-0.1584,2.106
-0.1572,2.108
-0.156,2.108
-0.1548,2.11
-0.1536,2.11
-0.1524,2.112
-0.1512,2.112
-0.15,2.114
-0.1488,2.114
-0.1476,2.116
-0.1464,2.116
-0.1452,2.12
-0.144,2.118
-0.1428,2.122
-0.1416,2.12
-0.1404,2.122
-0.1392,2.124
-0.138,2.126
-0.1368,2.124
-0.1356,2.128
-0.1344,2.128
-0.1332,2.13
-0.132,2.13
-0.1308,2.132
