"V1","Vout"
0.0,-0.00216
0.01,-0.00215
0.02,-0.00214
0.03,-0.00213
0.04,-0.00211
0.05,-0.0021
0.06,-0.00209
0.07,-0.00207
0.08,-0.00206
0.09,-0.00205
0.1,-0.00204
0.11,-0.00202
0.12,-0.00201
0.13,-0.002
0.14,-0.00199
0.15,-0.00198
0.16,-0.00196
0.17,-0.00195
0.18,-0.00194
0.19,-0.00193
0.2,-0.00191
0.21,-0.0019
0.22,-0.00189
0.23,-0.00188
0.24,-0.00186
0.25,-0.00185
0.26,-0.00184
0.27,-0.00183
0.28,-0.00182
0.29,-0.0018
0.3,-0.00179
0.31,-0.00178
0.32,-0.00177
0.33,-0.00176
0.34,-0.00174
0.35,-0.00173
0.36,-0.00172
0.37,-0.00171
0.38,-0.0017
0.39,-0.00168
0.4,-0.00167
0.41,-0.00166
0.42,-0.00165
0.43,-0.00163
0.44,-0.00162
0.45,-0.00161
0.46,-0.0016
0.47,-0.00158
0.48,-0.00157
0.49,-0.00156
0.5,-0.00155
0.51,-0.00153
0.52,-0.00152
0.53,-0.00151
0.54,-0.0015
0.55,-0.00149
0.56,-0.00147
0.57,-0.00146
0.58,-0.00145
0.59,-0.00144
0.6,-0.00142
0.61,-0.00141
0.62,-0.0014
0.63,-0.00139
0.64,-0.00138
0.65,-0.00136
0.66,-0.00135
0.67,-0.00134
0.68,-0.00133
0.69,-0.00131
0.7,-0.0013
0.71,-0.00129
0.72,-0.00128
0.73,-0.00126
0.74,-0.00125
0.75,-0.00124
0.76,-0.00123
0.77,-0.00121
0.78,-0.0012
0.79,-0.00119
0.8,-0.00118
0.81,-0.00116
0.82,-0.00115
0.83,-0.00114
0.84,-0.00113
0.85,-0.00111
0.86,-0.0011
0.87,-0.00109
0.88,-0.00107
0.89,-0.00106
0.9,-0.00105
0.91,-0.00104
0.92,-0.00102
0.93,-0.00101
0.94,-0.001
0.95,-0.000973
0.96,-0.000996
0.97,-0.000984
0.98,-0.000971
0.99,-0.000958
1.0,-0.000945
1.01,-0.000932
1.02,-0.000919
1.03,-0.000906
1.04,-0.000893
1.05,-0.00088
1.06,-0.000867
1.07,-0.000854
1.08,-0.000841
1.09,-0.000828
1.1,-0.000816
1.11,-0.000803
1.12,-0.00079
1.13,-0.000778
1.14,-0.000765
1.15,-0.000753
1.16,-0.000741
1.17,-0.000728
1.18,-0.000716
1.19,-0.000703
1.2,-0.000691
1.21,-0.000679
1.22,-0.000667
1.23,-0.000655
1.24,-0.000643
1.25,-0.000631
1.26,-0.000619
1.27,-0.000608
1.28,-0.000596
1.29,-0.000585
1.3,-0.000573
1.31,-0.000562
1.32,-0.000551
1.33,-0.00054
1.34,-0.000529
1.35,-0.000518
1.36,-0.000507
1.37,-0.000497
