"V1","Vout"
0.0,0.00213
0.01,0.00211
0.02,0.0021
0.03,0.00334
0.04,0.00208
0.05,0.00206
0.06,0.00205
0.07,0.00203
0.08,0.00203
0.09,0.00201
0.1,0.002
0.11,0.00204
0.12,0.00198
0.13,0.00197
0.14,0.00194
0.15,0.00194
0.16,0.00193
0.17,0.00192
0.18,0.00207
0.19,0.00189
0.2,0.00188
0.21,0.00186
0.22,0.00185
0.23,0.00184
0.24,0.00183
0.25,0.00197
0.26,0.00183
0.27,0.00187
0.28,0.00181
0.29,0.00177
0.3,0.00176
0.31,0.0031
0.32,0.00174
0.33,0.00172
0.34,0.00171
0.35,0.00169
0.36,0.00169
0.37,0.00168
0.38,0.00167
0.39,0.00278
0.4,0.00164
0.41,0.00181
0.42,0.00163
0.43,0.0016
0.44,0.00159
0.45,0.00283
0.46,0.00157
0.47,0.00155
0.48,0.00155
0.49,0.00181
0.5,0.00155
0.51,0.00151
0.52,0.0015
0.53,0.00344
0.54,0.00153
0.55,0.00146
0.56,0.00145
0.57,0.00143
0.58,0.00142
0.59,0.00141
0.6,0.0014
0.61,0.00139
0.62,0.00138
0.63,0.00158
0.64,0.00139
0.65,0.00134
0.66,0.00133
0.67,0.00261
0.68,0.0013
0.69,0.00129
0.7,0.00128
0.71,0.00127
0.72,0.00125
0.73,0.00124
0.74,0.00274
0.75,0.00126
0.76,0.0012
0.77,0.0012
0.78,0.00118
0.79,0.00117
0.8,0.00116
0.81,0.00114
0.82,0.00113
0.83,0.00112
0.84,0.00109
0.85,0.00109
0.86,0.00108
0.87,0.00107
0.88,0.00249
0.89,0.00229
0.9,0.00107
0.91,0.00101
0.92,0.00101
0.93,0.00099
0.94,0.000974
0.95,0.000998
0.96,0.001083
0.97,0.000973
0.98,0.00096
0.99,0.000948
1.0,0.000936
1.01,0.000923
1.02,0.000911
1.03,0.000898
1.04,0.000885
1.05,0.000873
1.06,0.000868
1.07,0.000846
1.08,0.000835
1.09,0.000822
1.1,0.00081
1.11,0.000797
1.12,0.000786
1.13,0.000772
1.14,0.000772
1.15,0.000767
1.16,0.000737
1.17,0.000836
1.18,0.000713
1.19,0.0007
1.2,0.000689
1.21,0.000677
1.22,0.000669
1.23,0.000653
1.24,0.000757
1.25,0.00063
1.26,0.000618
1.27,0.000607
1.28,0.000628
1.29,0.000632
1.3,0.000626
1.31,0.000562
1.32,0.000569
1.33,0.00054
1.34,0.000529
1.35,0.000539
1.36,0.00053
1.37,0.000522
1.38,0.000487
1.39,0.00059
1.4,0.000467
1.41,0.000456
1.42,0.000446
1.43,0.000481
1.44,0.000484
1.45,0.000417
1.46,0.000418
1.47,0.000398
1.48,0.000388
1.49,0.000402
1.5,0.000373
1.51,0.000361
1.52,0.000351
1.53,0.000534
1.54,0.00034
1.55,0.000328
1.56,0.000316
1.57,0.000343
1.58,0.000329
1.59,0.00029
1.6,0.00042
1.61,0.000281
1.62,0.000266
1.63,0.000259
1.64,0.000286
1.65,0.000275
1.66,0.000274
1.67,0.000229
1.68,0.000226
1.69,0.000214
1.7,0.000207
1.71,0.000228
1.72,0.000193
1.73,0.000187
1.74,0.000297
1.75,0.000174
1.76,0.000167
1.77,0.000161
1.78,0.000154
1.79,0.00015
1.8,0.000144
1.81,0.000138
1.82,0.000151
1.83,0.000127
1.84,0.000122
1.85,0.000124
1.86,0.000136
1.87,0.000106
1.88,0.000101
1.89,0.0001043
1.9,9.53e-05
1.91,9.26e-05
1.92,8.66e-05
1.93,8.21e-05
1.94,7.8e-05
1.95,7.41e-05
1.96,7.02e-05
1.97,6.65e-05
1.98,6.3e-05
1.99,5.95e-05
2.0,5.82e-05
2.01,5.55e-05
2.02,4.92e-05
2.03,5.88e-05
2.04,4.36e-05
2.05,4.09e-05
2.06,3.83e-05
2.07,4.12e-05
2.08,3.98e-05
2.09,3.15e-05
2.1,4.29e-05
2.11,2.76e-05
2.12,2.59e-05
2.13,2.42e-05
2.14,2.25e-05
2.15,2.13e-05
2.16,2.01e-05
2.17,1.89e-05
2.18,1.83e-05
2.19,1.7e-05
2.2,1.61e-05
2.21,1.66e-05
2.22,1.63e-05
2.23,1.41e-05
2.24,2.57e-05
2.25,1.32e-05
2.26,1.28e-05
2.27,1.24e-05
2.28,1.119e-05
2.29,1.195e-05
2.3,1.174e-05
2.31,1.155e-05
2.32,1.153e-05
2.33,1.133e-05
2.34,1.115e-05
2.35,1.104e-05
2.36,1.096e-05
2.37,1.088e-05
2.38,1.08e-05
2.39,1.176e-05
2.4,1.068e-05
2.41,1.061e-05
2.42,1.066e-05
2.43,1.07e-05
2.44,1.046e-05
2.45,1.043e-05
2.46,1.148e-05
2.47,1.034e-05
2.48,1.03e-05
2.49,1.026e-05
2.5,1.022e-05
2.51,1.019e-05
2.52,1.015e-05
2.53,1.011e-05
2.54,1.007e-05
2.55,1.004e-05
2.56,1e-05
2.57,1.009e-05
2.58,1.004e-05
2.59,9.93e-06
2.6,1.094e-05
2.61,9.84e-06
2.62,1.011e-05
2.63,9.76e-06
2.64,9.75e-06
2.65,9.72e-06
2.66,9.69e-06
2.67,1.07e-05
2.68,9.63e-06
2.69,9.63e-06
2.7,9.57e-06
2.71,9.55e-06
2.72,9.55e-06
2.73,9.47e-06
2.74,1.054e-05
2.75,9.42e-06
2.76,9.39e-06
2.77,9.35e-06
2.78,9.52e-06
2.79,9.58e-06
2.8,9.69e-06
2.81,9.24e-06
2.82,9.37e-06
2.83,9.17e-06
2.84,9.16e-06
2.85,9.34e-06
2.86,9.38e-06
2.87,9.46e-06
2.88,9.04e-06
2.89,1.008e-05
2.9,8.97e-06
2.91,8.95e-06
2.92,9.06e-06
2.93,9.09e-06
2.94,8.87e-06
2.95,8.84e-06
2.96,8.82e-06
2.97,8.78e-06
2.98,8.81e-06
2.99,8.89e-06
3.0,8.77e-06
3.01,8.71e-06
3.02,8.68e-06
3.03,9.71e-06
3.04,8.62e-06
3.05,8.58e-06
3.06,8.75e-06
3.07,8.81e-06
3.08,8.8e-06
3.09,8.47e-06
3.1,9.84e-06
3.11,8.43e-06
3.12,8.66e-06
3.13,8.39e-06
3.14,8.33e-06
3.15,8.29e-06
3.16,8.27e-06
3.17,9.72e-06
3.18,8.25e-06
3.19,8.19e-06
3.2,8.16e-06
