"V1","Vout"
0.0,0.00257
0.01,0.00256
0.02,0.00255
0.03,0.00254
0.04,0.00252
0.05,0.00251
0.06,0.00251
0.07,0.00277
0.08,0.00287
0.09,0.00297
0.1,0.00246
0.11,0.00245
0.12,0.00244
0.13,0.00243
0.14,0.003
0.15,0.00245
0.16,0.00239
0.17,0.00238
0.18,0.00241
0.19,0.00236
0.2,0.00235
0.21,0.0034
0.22,0.0024
0.23,0.00233
0.24,0.00231
0.25,0.00231
0.26,0.00229
0.27,0.00228
0.28,0.00227
0.29,0.00225
0.3,0.00224
0.31,0.00223
0.32,0.00222
0.33,0.00221
0.34,0.0022
0.35,0.00219
0.36,0.00218
0.37,0.00217
0.38,0.00216
0.39,0.00214
0.4,0.00213
0.41,0.00212
0.42,0.00211
0.43,0.0021
0.44,0.00209
0.45,0.00208
0.46,0.00197
0.47,0.00205
0.48,0.0017
0.49,0.00203
0.5,0.00203
0.51,0.00202
0.52,0.002
0.53,0.002
0.54,0.00178
0.55,0.00197
0.56,0.00158
0.57,0.00195
0.58,0.00194
0.59,0.00193
0.6,0.00192
0.61,0.00172
0.62,0.0019
0.63,0.00189
0.64,0.00188
0.65,0.00187
0.66,0.00186
0.67,0.00186
0.68,0.00184
0.69,0.00184
0.7,0.00182
0.71,0.0018
0.72,0.0018
0.73,0.0018
0.74,0.00179
0.75,0.00178
0.76,0.00177
0.77,0.00176
0.78,0.00174
0.79,0.00173
0.8,0.00172
0.81,0.00171
0.82,0.0017
0.83,0.0017
0.84,0.00169
0.85,0.00168
0.86,0.00166
0.87,0.00148
0.88,0.00164
0.89,0.00158
0.9,0.00126
0.91,0.00161
0.92,0.0016
0.93,0.00158
0.94,0.00159
0.95,0.00159
0.96,0.00157
0.97,0.00158
0.98,0.00155
0.99,0.00155
1.0,0.00153
1.01,0.00152
1.02,0.00152
1.03,0.00151
1.04,0.0015
1.05,0.00149
1.06,0.00148
1.07,0.00147
1.08,0.00146
1.09,0.00132
1.1,0.001414
1.11,0.001441
1.12,0.00145
1.13,0.001441
1.14,0.001432
1.15,0.001423
1.16,0.001414
1.17,0.001396
1.18,0.001396
1.19,0.001386
1.2,0.001378
1.21,0.001369
1.22,0.00136
1.23,0.001351
1.24,0.001342
1.25,0.00132
1.26,0.001325
1.27,0.001316
1.28,0.001289
1.29,0.001299
1.3,0.00129
1.31,0.001281
1.32,0.001274
1.33,0.001264
1.34,0.001233
1.35,0.001247
1.36,0.001238
1.37,0.001229
1.38,0.001221
1.39,0.001206
1.4,0.001195
1.41,0.001187
1.42,0.001188
1.43,0.001179
1.44,0.00117
1.45,0.001162
1.46,0.001156
1.47,0.001146
1.48,0.001137
1.49,0.001129
1.5,0.001121
1.51,0.001112
1.52,0.001104
1.53,0.001091
1.54,0.001083
1.55,0.001073
1.56,0.001072
1.57,0.001063
1.58,0.001055
1.59,0.001047
1.6,0.001032
1.61,0.001031
1.62,0.001023
1.63,0.001015
1.64,0.001007
1.65,0.001
1.66,0.000992
1.67,0.000984
1.68,0.000976
1.69,0.000968
1.7,0.00096
1.71,0.000953
1.72,0.000945
1.73,0.000937
1.74,0.000929
1.75,0.000919
