"V1","Vout"
-0.1,2.039e-07
-0.0996,0.00169
-0.0992,1.923e-07
-0.0988,0.000116
-0.0984,1.727e-07
-0.098,1.08e-05
-0.0976,1.217e-07
-0.0972,1.418e-07
-0.0968,1.217e-07
-0.0964,9.98e-08
-0.096,8.53e-08
-0.0956,7.61e-08
-0.0952,6.53e-08
-0.0948,5.55e-08
-0.0944,5.19e-08
-0.094,4.03e-08
-0.0936,4.31e-08
-0.0932,3.52e-08
-0.0928,3.13e-08
-0.0924,3.09e-08
-0.092,2.68e-08
-0.0916,2.33e-08
-0.0912,2.05e-08
-0.0908,2.07e-08
-0.0904,1.62e-08
-0.09,1.27e-08
-0.0896,1.39e-08
-0.0892,1.02e-08
-0.0888,1.03e-08
-0.0884,9.3e-09
-0.088,3.9e-09
-0.0876,6.5e-09
-0.0872,3.4e-09
-0.0868,5.2e-09
-0.0864,4.6e-09
-0.086,1.8e-09
-0.0856,3e-09
-0.0852,-3.3e-09
-0.0848,4.1e-09
-0.0844,-3.4e-09
-0.084,-2.1e-09
-0.0836,-7e-10
-0.0832,-3.2e-09
-0.0828,-6.2e-09
-0.0824,-4.1e-09
-0.082,-6.2e-09
-0.0816,-4.4e-09
-0.0812,-9.7e-09
-0.0808,-2.5e-09
-0.0804,-6.2e-09
-0.08,-4.5e-09
-0.0796,-5.9e-09
-0.0792,-7e-09
-0.0788,-7.4e-09
-0.0784,-4.9e-09
-0.078,-1.05e-08
-0.0776,-7.9e-09
-0.0772,-1.01e-08
-0.0768,-9.8e-09
-0.0764,-1.37e-08
-0.076,-6.1e-09
-0.0756,-1.38e-08
-0.0752,-1.01e-08
-0.0748,-1.26e-08
-0.0744,-1.07e-08
-0.074,-8e-09
-0.0736,-1.03e-08
-0.0732,-1.35e-08
-0.0728,-1.31e-08
-0.0724,-1.39e-08
-0.072,-9.9e-09
-0.0716,-1.37e-08
-0.0712,-1.07e-08
-0.0708,-1.25e-08
-0.0704,-1.13e-08
-0.07,-1.53e-08
-0.0696,-1.1e-08
-0.0692,-1.19e-08
-0.0688,-1.31e-08
-0.0684,-1.18e-08
-0.068,-1.65e-08
-0.0676,-2.11e-08
-0.0672,-1.6e-08
-0.0668,-1.34e-08
-0.0664,-1.49e-08
-0.066,-1.68e-08
-0.0656,-1.23e-08
-0.0652,-1.7e-08
-0.0648,-1.32e-08
-0.0644,-1.52e-08
-0.064,-1.32e-08
-0.0636,-2.14e-08
-0.0632,-1.35e-08
-0.0628,-1.82e-08
-0.0624,-1.59e-08
-0.062,-1.67e-08
-0.0616,-1.52e-08
-0.0612,-1.47e-08
-0.0608,-1.67e-08
-0.0604,-1.58e-08
-0.06,-1.5e-08
-0.0596,-1.69e-08
-0.0592,-1.44e-08
-0.0588,-1.72e-08
-0.0584,-1.49e-08
-0.058,-1.86e-08
-0.0576,-1.8e-08
-0.0572,-1.89e-08
-0.0568,-1.68e-08
-0.0564,-1.73e-08
-0.056,-1.69e-08
-0.0556,-1.94e-08
-0.0552,-1.78e-08
-0.0548,-2.19e-08
-0.0544,-1.63e-08
-0.054,-1.88e-08
-0.0536,-1.63e-08
-0.0532,-1.67e-08
-0.0528,-1.69e-08
-0.0524,-1.92e-08
-0.052,-1.48e-08
-0.0516,-2.06e-08
-0.0512,-1.65e-08
-0.0508,-2.03e-08
-0.0504,-1.89e-08
-0.05,-1.78e-08
-0.0496,-1.76e-08
-0.0492,-1.9e-08
-0.0488,-2.04e-08
-0.0484,-1.88e-08
-0.048,-2.3e-08
-0.0476,-2.03e-08
-0.0472,-1.94e-08
-0.0468,-1.9e-08
-0.0464,-1.74e-08
-0.046,-2.07e-08
-0.0456,-1.6e-08
-0.0452,-2.09e-08
-0.0448,-1.71e-08
-0.0444,-1.88e-08
-0.044,-1.83e-08
-0.0436,-2.08e-08
-0.0432,-1.98e-08
-0.0428,-2.25e-08
-0.0424,-1.95e-08
-0.042,-2e-08
-0.0416,-1.87e-08
-0.0412,-2.01e-08
-0.0408,-1.95e-08
-0.0404,-1.83e-08
-0.04,-1.68e-08
-0.0396,-2.57e-08
-0.0392,-1.91e-08
-0.0388,-1.96e-08
-0.0384,-1.83e-08
-0.038,-1.78e-08
-0.0376,-2.01e-08
-0.0372,-2.08e-08
-0.0368,-1.84e-08
-0.0364,-1.97e-08
-0.036,-2.03e-08
-0.0356,-2.09e-08
-0.0352,-1.75e-08
-0.0348,-2.27e-08
-0.0344,-2.02e-08
-0.034,-1.82e-08
-0.0336,-1.94e-08
-0.0332,-2.02e-08
-0.0328,-2.07e-08
-0.0324,-2.2e-08
-0.032,-2.1e-08
-0.0316,-1.85e-08
-0.0312,-1.99e-08
-0.0308,-1.92e-08
-0.0304,-2.04e-08
-0.03,-2.02e-08
-0.0296,-1.96e-08
-0.0292,-1.97e-08
-0.0288,-1.74e-08
-0.0284,-2.12e-08
-0.028,-2.04e-08
-0.0276,-2.1e-08
-0.0272,-2.11e-08
-0.0268,-2.01e-08
-0.0264,-1.76e-08
-0.026,-2.44e-08
-0.0256,-1.87e-08
-0.0252,-2.39e-08
-0.0248,-1.83e-08
-0.0244,-2.37e-08
-0.024,-1.95e-08
-0.0236,-2.09e-08
-0.0232,-2.22e-08
-0.0228,-2.15e-08
-0.0224,-1.88e-08
-0.022,-2.06e-08
-0.0216,-1.99e-08
-0.0212,-2.1e-08
-0.0208,-1.88e-08
-0.0204,-2.31e-08
-0.02,-2.09e-08
-0.0196,-2.11e-08
-0.0192,-1.66e-08
-0.0188,-2.49e-08
-0.0184,-1.94e-08
-0.018,-1.97e-08
-0.0176,-2.03e-08
-0.0172,-2.17e-08
-0.0168,-2.16e-08
-0.0164,-2.24e-08
-0.016,-2.28e-08
-0.0156,-2.26e-08
-0.0152,-2.13e-08
-0.0148,-2.06e-08
-0.0144,-2.13e-08
-0.014,-2.06e-08
-0.0136,-2.05e-08
-0.0132,-2.49e-08
-0.0128,-1.68e-08
-0.0124,-2.25e-08
-0.012,-2.11e-08
-0.0116,-1.93e-08
-0.0112,-2.08e-08
-0.0108,-2.18e-08
-0.0104,-2.44e-08
-0.01,-2.14e-08
-0.0096,-2.17e-08
-0.0092,-2.23e-08
-0.0088,-2.07e-08
-0.0084,-2.05e-08
-0.008,-2.25e-08
-0.0076,-2.33e-08
-0.0072,-2.14e-08
-0.0068,-2.23e-08
-0.0064,-1.89e-08
-0.006,-2.34e-08
-0.0056,-2.25e-08
-0.0052,-2.25e-08
-0.0048,-2.05e-08
-0.0044,-2.19e-08
-0.004,-2.17e-08
