"Vin","Vout"
0.0,0.446
0.01,0.519
0.02,0.528
0.03,0.545
0.04,0.557
0.05,0.574
0.06,0.587
0.07,0.603
0.08,0.615
0.09,0.631
0.1,0.644
0.11,0.659
0.12,0.672
0.13,0.687
0.14,0.701
0.15,0.715
0.16,0.729
0.17,0.743
0.18,0.757
0.19,0.771
0.2,0.785
0.21,0.799
0.22,0.813
0.23,0.826
0.24,0.84
0.25,0.853
0.26,0.868
0.27,0.881
0.28,0.895
0.29,0.908
0.3,0.923
0.31,0.935
0.32,0.95
0.33,0.963
0.34,0.977
0.35,0.989
0.36,1.004
0.37,1.016
0.38,1.031
0.39,1.043
0.4,1.058
0.41,1.07
0.42,1.083
0.43,1.097
0.44,1.11
0.45,1.124
0.46,1.137
0.47,1.15
0.48,1.164
0.49,1.177
0.5,1.19
0.51,1.203
0.52,1.217
0.53,1.23
0.54,1.244
0.55,1.257
0.56,1.273
0.57,1.284
0.58,1.3
0.59,1.31
0.6,1.326
0.61,1.336
0.62,1.352
0.63,1.361
0.64,1.378
0.65,1.387
0.66,1.405
0.67,1.413
0.68,1.431
0.69,1.439
0.7,1.458
0.71,1.465
0.72,1.483
0.73,1.49
0.74,1.509
0.75,1.515
0.76,1.535
0.77,1.54
0.78,1.56
0.79,1.565
0.8,1.586
0.81,1.59
0.82,1.612
0.83,1.615
0.84,1.637
0.85,1.639
0.86,1.662
0.87,1.664
0.88,1.688
0.89,1.688
0.9,1.713
0.91,1.712
0.92,1.739
0.93,1.737
0.94,1.764
0.95,1.765
0.96,1.79
0.97,1.79
0.98,1.815
0.99,1.814
1.0,1.84
1.01,1.838
1.02,1.865
1.03,1.862
1.04,1.89
1.05,1.887
1.06,1.915
1.07,1.911
1.08,1.94
1.09,1.935
1.1,1.964
1.11,1.959
1.12,1.989
1.13,2.003
1.14,2.1
1.15,2.01
1.16,2.044
1.17,2.06
1.18,2.072
1.19,2.084
1.2,2.096
1.21,2.11
1.22,2.122
1.23,2.134
1.24,2.146
1.25,2.158
1.26,2.17
1.27,2.184
1.28,2.196
1.29,2.208
1.3,2.22
1.31,2.232
1.32,2.244
1.33,2.258
1.34,2.27
1.35,2.282
1.36,2.294
1.37,2.306
1.38,2.318
1.39,2.332
1.4,2.344
1.41,2.356
1.42,2.368
1.43,2.38
1.44,2.392
1.45,2.404
1.46,2.416
1.47,2.428
1.48,2.44
1.49,2.452
1.5,2.464
1.51,2.476
1.52,2.49
1.53,2.502
1.54,2.514
1.55,2.526
1.56,2.54
1.57,2.552
1.58,2.564
1.59,2.576
1.6,2.588
1.61,2.6
1.62,2.612
1.63,2.624
1.64,2.636
1.65,2.648
1.66,2.66
1.67,2.672
1.68,2.684
1.69,2.696
1.7,2.708
1.71,2.72
1.72,2.732
1.73,2.746
1.74,2.758
1.75,2.768
1.76,2.78
1.77,2.792
1.78,2.806
1.79,2.818
1.8,2.83
1.81,2.84
1.82,2.852
1.83,2.864
1.84,2.876
1.85,2.888
1.86,2.9
1.87,2.91
1.88,2.922
1.89,2.934
1.9,2.948
1.91,2.96
1.92,2.97
1.93,2.982
1.94,2.994
1.95,3.006
1.96,3.018
1.97,3.028
1.98,3.042
1.99,3.052
2.0,3.064
2.01,3.078
2.02,3.092
2.03,3.104
2.04,3.116
2.05,3.128
2.06,3.14
2.07,3.15
2.08,3.162
2.09,3.174
2.1,3.186
2.11,3.196
2.12,3.21
2.13,3.222
2.14,3.234
2.15,3.246
2.16,3.258
2.17,3.27
2.18,3.282
2.19,3.292
2.2,3.304
2.21,3.316
2.22,3.326
2.23,3.338
2.24,3.35
2.25,3.362
2.26,3.374
2.27,3.386
2.28,3.398
2.29,3.408
2.3,3.42
2.31,3.432
2.32,3.444
2.33,3.454
2.34,3.466
2.35,3.478
2.36,3.49
2.37,3.502
2.38,3.514
2.39,3.526
2.4,3.538
2.41,3.548
2.42,3.56
2.43,3.572
2.44,3.584
2.45,3.596
2.46,3.606
2.47,3.618
2.48,3.628
2.49,3.64
2.5,3.652
2.51,3.664
2.52,3.674
2.53,3.686
2.54,3.698
2.55,3.708
2.56,3.72
2.57,3.732
2.58,3.742
2.59,3.754
2.6,3.766
2.61,3.778
2.62,3.79
2.63,3.8
2.64,3.812
2.65,3.824
2.66,3.836
2.67,3.846
2.68,3.858
2.69,3.868
2.7,3.88
2.71,3.89
2.72,3.902
2.73,3.914
2.74,3.926
2.75,3.936
2.76,3.948
2.77,3.958
2.78,3.97
2.79,3.98
2.8,3.992
2.81,4.002
2.82,4.27
2.83,4.045
2.84,4.055
2.85,4.065
2.86,4.075
2.87,4.09
2.88,4.1
2.89,4.11
2.9,4.12
2.91,4.13
2.92,4.145
2.93,4.155
2.94,4.165
2.95,4.175
2.96,4.185
2.97,4.2
2.98,4.21
2.99,4.225
3.0,4.235
3.01,4.245
3.02,4.255
3.03,4.265
3.04,4.275
3.05,4.29
3.06,4.3
3.07,4.31
3.08,4.32
3.09,4.335
3.1,4.345
3.11,4.36
3.12,4.37
3.13,4.38
3.14,4.39
3.15,4.4
3.16,4.41
3.17,4.425
3.18,4.435
3.19,4.445
3.2,4.455
3.21,4.47
3.22,4.48
3.23,4.49
3.24,4.5
3.25,4.51
3.26,4.52
3.27,4.53
3.28,4.54
3.29,4.55
3.3,4.56
3.31,4.575
3.32,4.585
3.33,4.595
3.34,4.605
3.35,4.62
3.36,4.63
3.37,4.64
3.38,4.65
3.39,4.66
3.4,4.67
3.41,4.68
3.42,4.69
3.43,4.705
3.44,4.71
3.45,4.72
3.46,4.735
3.47,4.745
3.48,4.755
3.49,4.765
3.5,4.775
3.51,4.785
3.52,4.795
3.53,4.805
3.54,4.815
3.55,4.82
3.56,4.83
3.57,4.84
3.58,4.85
3.59,4.865
3.6,4.875
3.61,4.89
3.62,4.895
3.63,4.905
3.64,4.91
3.65,4.915
3.66,4.93
3.67,4.94
3.68,4.945
3.69,4.95
3.7,4.95
3.71,4.96
3.72,4.97
3.73,4.98
3.74,4.99
3.75,4.945
3.76,4.95
3.77,4.98
3.78,4.995
3.79,5.0
3.8,5.005
3.81,5.01
3.82,5.005
3.83,5.0
3.84,5.01
3.85,5.02
3.86,5.02
3.87,5.025
3.88,5.025
3.89,5.025
3.9,5.025
3.91,5.025
3.92,5.025
3.93,5.02
3.94,5.01
3.95,5.005
3.96,5.01
3.97,5.01
3.98,5.015
3.99,5.02
4.0,5.025
4.01,5.03
4.02,5.03
4.03,5.025
4.04,5.02
4.05,5.015
4.06,5.01
4.07,5.0
4.08,4.995
4.09,5.0
4.1,5.005
4.11,5.01
4.12,5.015
4.13,5.02
4.14,5.025
4.15,5.02
4.16,5.02
4.17,5.02
4.18,5.01
4.19,5.005
4.2,5.0
4.21,5.005
4.22,5.01
4.23,5.015
4.24,5.02
4.25,5.025
4.26,5.025
4.27,5.025
4.28,5.02
4.29,5.02
4.3,5.01
4.31,5.005
4.32,5.005
4.33,5.005
4.34,5.015
4.35,5.02
4.36,5.025
4.37,5.025
4.38,5.025
4.39,5.025
4.4,5.025
4.41,5.025
4.42,5.02
4.43,5.01
4.44,5.01
4.45,5.01
4.46,5.015
4.47,5.02
4.48,5.03
4.49,5.03
4.5,5.03
4.51,5.025
4.52,5.02
4.53,5.02
4.54,5.02
4.55,5.01
4.56,5.005
4.57,5.005
4.58,5.01
4.59,5.02
4.6,5.025
4.61,5.025
4.62,5.025
4.63,5.025
4.64,5.02
4.65,5.015
4.66,5.015
4.67,5.015
4.68,5.015
4.69,5.01
4.7,5.0
4.71,5.0
4.72,5.0
4.73,5.01
4.74,5.015
4.75,5.02
4.76,5.025
4.77,5.025
4.78,5.02
4.79,5.02
4.8,5.02
4.81,5.02
4.82,5.01
4.83,5.005
4.84,5.0
4.85,5.005
4.86,5.01
4.87,5.02
4.88,5.025
4.89,5.025
4.9,5.02
4.91,5.02
4.92,5.015
4.93,5.015
4.94,5.015
4.95,5.015
4.96,5.005
4.97,5.0
4.98,5.0
4.99,5.005
5.0,5.01
