"V1","Vout1"
-0.01,0.187
-0.00996,0.083
-0.00992,0.083
-0.00988,0.083
-0.00984,0.083
-0.0098,0.083
-0.00976,0.083
-0.00972,0.089
-0.00968,0.09
-0.00964,0.09
-0.0096,0.09
-0.00956,0.09
-0.00952,0.09
-0.00948,0.09
-0.00944,0.09
-0.0094,0.09
-0.00936,0.09
-0.00932,0.09
-0.00928,0.09
-0.00924,0.097
-0.0092,0.1
-0.00916,0.1
-0.00912,0.1
-0.00908,0.1
-0.00904,0.1
-0.009,0.1
-0.00896,0.099
-0.00892,0.099
-0.00888,0.099
-0.00884,0.099
-0.0088,0.099
-0.00876,0.099
-0.00872,0.11
-0.00868,0.114
-0.00864,0.114
-0.0086,0.114
-0.00856,0.114
-0.00852,0.114
-0.00848,0.114
-0.00844,0.114
-0.0084,0.114
-0.00836,0.114
-0.00832,0.114
-0.00828,0.114
-0.00824,0.132
-0.0082,0.143
-0.00816,0.143
-0.00812,0.143
-0.00808,0.141
-0.00804,0.142
-0.008,0.143
-0.00796,0.143
-0.00792,0.142
-0.00788,0.143
-0.00784,0.144
-0.0078,0.143
-0.00776,0.142
-0.00772,0.174
-0.00768,0.215
-0.00764,0.226
-0.0076,0.23
-0.00756,0.231
-0.00752,0.23
-0.00748,0.229
-0.00744,0.231
-0.0074,0.232
-0.00736,0.231
-0.00732,0.23
-0.00728,0.23
-0.00724,0.279
-0.0072,0.366
-0.00716,0.397
-0.00712,0.406
-0.00708,0.408
-0.00704,0.41
-0.007,0.41
-0.00696,0.411
-0.00692,0.412
-0.00688,0.413
-0.00684,0.41
-0.0068,0.409
-0.00676,0.41
-0.00672,0.464
-0.00668,0.564
-0.00664,0.601
-0.0066,0.613
-0.00656,0.619
-0.00652,0.619
-0.00648,0.619
-0.00644,0.617
-0.0064,0.617
-0.00636,0.617
-0.00632,0.616
-0.00628,0.616
-0.00624,0.671
-0.0062,0.777
-0.00616,0.814
-0.00612,0.832
-0.00608,0.839
-0.00604,0.836
-0.006,0.835
-0.00596,0.836
-0.00592,0.837
-0.00588,0.839
-0.00584,0.841
-0.0058,0.843
-0.00576,0.84
-0.00572,0.894
-0.00568,1.0
-0.00564,1.045
-0.0056,1.062
-0.00556,1.068
-0.00552,1.07
-0.00548,1.071
-0.00544,1.071
-0.0054,1.072
-0.00536,1.077
-0.00532,1.076
-0.00528,1.073
-0.00524,1.13
-0.0052,1.243
-0.00516,1.291
-0.00512,1.308
-0.00508,1.318
-0.00504,1.317
-0.005,1.319
-0.00496,1.316
-0.00492,1.318
-0.00488,1.319
-0.00484,1.316
-0.0048,1.316
-0.00476,1.318
-0.00472,1.379
-0.00468,1.501
-0.00464,1.552
-0.0046,1.586
-0.00456,1.619
-0.00452,1.635
-0.00448,1.645
-0.00444,1.65
-0.0044,1.651
-0.00436,1.65
-0.00432,1.646
-0.00428,1.645
-0.00424,1.7
-0.0042,1.814
-0.00416,1.857
-0.00412,1.869
-0.00408,1.875
-0.00404,1.874
-0.004,1.865
-0.00396,1.861
-0.00392,1.857
-0.00388,1.849
-0.00384,1.849
-0.0038,1.847
-0.00376,1.847
-0.00372,1.909
-0.00368,2.025
-0.00364,2.455
-0.0036,1.993
-0.00356,2.485
-0.00352,1.996
-0.00348,2.485
-0.00344,1.995
-0.0034,2.485
-0.00336,1.996
-0.00332,2.48
-0.00328,1.995
-0.00324,2.54
-0.0032,2.021
-0.00316,2.735
-0.00312,2.029
-0.00308,2.755
-0.00304,2.029
-0.003,2.76
-0.00296,2.029
-0.00292,2.755
-0.00288,2.029
-0.00284,2.77
-0.0028,2.03
-0.00276,2.79
-0.00272,2.031
-0.00268,2.965
-0.00264,2.033
-0.0026,3.015
-0.00256,2.033
-0.00252,3.03
-0.00248,2.033
-0.00244,3.03
-0.0024,2.033
-0.00236,3.04
-0.00232,2.033
-0.00228,3.04
-0.00224,2.033
-0.0022,3.2
-0.00216,2.035
-0.00212,3.245
-0.00208,2.035
-0.00204,3.245
-0.002,2.035
-0.00196,3.245
-0.00192,2.035
-0.00188,3.24
-0.00184,2.035
-0.0018,3.24
-0.00176,2.035
-0.00172,3.305
-0.00168,2.036
-0.00164,3.44
-0.0016,2.036
-0.00156,3.45
-0.00152,2.036
-0.00148,3.45
-0.00144,2.036
-0.0014,3.445
-0.00136,2.036
-0.00132,3.44
-0.00128,2.036
-0.00124,3.505
-0.0012,2.037
-0.00116,3.635
-0.00112,3.27
-0.00108,3.27
-0.00104,3.27
-0.001,3.27
-0.00096,3.265
-0.00092,3.265
-0.00088,3.265
-0.00084,3.26
-0.0008,3.26
-0.00076,3.26
-0.00072,3.33
-0.00068,3.435
-0.00064,3.46
-0.0006,3.465
-0.00056,3.47
-0.00052,3.465
-0.00048,3.47
-0.00044,3.465
-0.0004,3.465
-0.00036,3.465
-0.00032,3.465
-0.00028,3.465
-0.00024,3.53
-0.0002,3.63
-0.00016,3.665
-0.00012,3.675
-8e-05,3.675
-4e-05,3.675
0.0,3.68
4e-05,3.68
8e-05,3.675
0.00012,3.675
0.00016,3.68
0.0002,3.68
0.00024,3.68
0.00028,3.74
0.00032,3.83
0.00036,3.85
0.0004,3.86
0.00044,3.86
0.00048,3.86
0.00052,3.855
0.00056,3.855
0.0006,3.855
0.00064,3.85
0.00068,3.855
0.00072,3.86
0.00076,3.92
0.0008,4.015
0.00084,4.035
0.00088,4.035
0.00092,4.035
0.00096,4.035
0.001,4.04
0.00104,4.035
0.00108,4.035
0.00112,4.035
0.00116,4.035
0.0012,4.035
