"V1","Vout1"
-0.025,0.067
-0.0249,0.03
-0.0248,0.03
-0.0247,0.031
-0.0246,0.031
-0.0245,0.031
-0.0244,0.031
-0.0243,0.031
-0.0242,0.032
-0.0241,0.032
-0.024,0.032
-0.0239,0.032
-0.0238,0.032
-0.0237,0.032
-0.0236,0.032
-0.0235,0.032
-0.0234,0.032
-0.0233,0.032
-0.0232,0.033
-0.0231,0.033
-0.023,0.033
-0.0229,0.033
-0.0228,0.033
-0.0227,0.034
-0.0226,0.034
-0.0225,0.034
-0.0224,0.034
-0.0223,0.034
-0.0222,0.035
-0.0221,0.035
-0.022,0.035
-0.0219,0.035
-0.0218,0.035
-0.0217,0.036
-0.0216,0.036
-0.0215,0.036
-0.0214,0.036
-0.0213,0.036
-0.0212,0.037
-0.0211,0.036
-0.021,0.036
-0.0209,0.036
-0.0208,0.036
-0.0207,0.037
-0.0206,0.037
-0.0205,0.037
-0.0204,0.037
-0.0203,0.037
-0.0202,0.038
-0.0201,0.038
-0.02,0.038
-0.0199,0.038
-0.0198,0.038
-0.0197,0.039
-0.0196,0.039
-0.0195,0.039
-0.0194,0.039
-0.0193,0.039
-0.0192,0.04
-0.0191,0.04
-0.019,0.04
-0.0189,0.04
-0.0188,0.04
-0.0187,0.041
-0.0186,0.041
-0.0185,0.041
-0.0184,0.041
-0.0183,0.041
-0.0182,0.042
-0.0181,0.043
-0.018,0.043
-0.0179,0.043
-0.0178,0.043
-0.0177,0.044
-0.0176,0.044
-0.0175,0.044
-0.0174,0.044
-0.0173,0.044
-0.0172,0.045
-0.0171,0.045
-0.017,0.045
-0.0169,0.046
-0.0168,0.046
-0.0167,0.047
-0.0166,0.047
-0.0165,0.047
-0.0164,0.047
-0.0163,0.047
-0.0162,0.048
-0.0161,0.049
-0.016,0.048
-0.0159,0.049
-0.0158,0.048
-0.0157,0.05
-0.0156,0.05
-0.0155,0.05
-0.0154,0.05
-0.0153,0.05
-0.0152,0.052
-0.0151,0.052
-0.015,0.052
-0.0149,0.052
-0.0148,0.052
-0.0147,0.054
-0.0146,0.054
-0.0145,0.054
-0.0144,0.054
-0.0143,0.054
-0.0142,0.056
-0.0141,0.056
-0.014,0.056
-0.0139,0.056
-0.0138,0.056
-0.0137,0.058
-0.0136,0.058
-0.0135,0.058
-0.0134,0.058
-0.0133,0.058
-0.0132,0.061
-0.0131,0.061
-0.013,0.061
-0.0129,0.061
-0.0128,0.061
-0.0127,0.063
-0.0126,0.063
-0.0125,0.063
-0.0124,0.063
-0.0123,0.063
-0.0122,0.067
-0.0121,0.067
-0.012,0.067
-0.0119,0.067
-0.0118,0.067
-0.0117,0.07
-0.0116,0.07
-0.0115,0.07
-0.0114,0.07
-0.0113,0.07
-0.0112,0.074
-0.0111,0.074
-0.011,0.074
-0.0109,0.074
-0.0108,0.075
-0.0107,0.079
-0.0106,0.08
-0.0105,0.08
-0.0104,0.079
-0.0103,0.079
-0.0102,0.085
-0.0101,0.086
-0.01,0.086
-0.0099,0.086
-0.0098,0.086
-0.0097,0.092
-0.0096,0.094
-0.0095,0.095
-0.0094,0.094
-0.0093,0.095
-0.0092,0.103
-0.0091,0.106
-0.009,0.106
-0.0089,0.106
-0.0088,0.106
-0.0087,0.12
-0.0086,0.127
-0.0085,0.127
-0.0084,0.126
-0.0083,0.126
-0.0082,0.15
-0.0081,0.172
-0.008,0.175
-0.0079,0.175
-0.0078,0.174
-0.0077,0.216
-0.0076,0.285
-0.0075,0.308
-0.0074,0.316
-0.0073,0.32
-0.0072,0.372
-0.0071,0.464
-0.007,0.499
-0.0069,0.511
-0.0068,0.518
-0.0067,0.574
-0.0066,0.676
-0.0065,0.718
-0.0064,0.733
-0.0063,0.74
-0.0062,0.8
-0.0061,0.909
-0.006,0.949
-0.0059,0.963
-0.0058,0.971
-0.0057,1.035
-0.0056,1.149
-0.0055,1.194
-0.0054,1.206
-0.0053,1.215
-0.0052,1.284
-0.0051,1.405
-0.005,1.453
-0.0049,1.47
-0.0048,1.478
-0.0047,1.544
-0.0046,1.662
-0.0045,1.71
-0.0044,1.731
-0.0043,1.739
-0.0042,1.799
-0.0041,1.918
-0.004,1.961
-0.0039,1.975
-0.0038,1.98
-0.0037,2.029
-0.0036,2.565
-0.0035,2.017
-0.0034,2.64
-0.0033,2.019
-0.0032,2.695
