"Vout","Iout"
0.0,-0.0001095
0.005,-0.000107
0.01,-0.0001045
0.015,-0.000102
0.02,-9.96e-05
0.025,-9.72e-05
0.03,-9.49e-05
0.035,-9.26e-05
0.04,-9.03e-05
0.045,-8.81e-05
0.05,-8.59e-05
0.055,-8.37e-05
0.06,-8.15e-05
0.065,-7.94e-05
0.07,-7.74e-05
0.075,-7.54e-05
0.08,-7.34e-05
0.085,-7.15e-05
0.09,-6.96e-05
0.095,-6.78e-05
0.1,-6.59e-05
0.105,-6.41e-05
0.11,-6.24e-05
0.115,-6.06e-05
0.12,-5.89e-05
0.125,-5.73e-05
0.13,-5.56e-05
0.135,-5.4e-05
0.14,-5.24e-05
0.145,-5.08e-05
0.15,-4.93e-05
0.155,-4.78e-05
0.16,-4.64e-05
0.165,-4.5e-05
0.17,-4.36e-05
0.175,-4.23e-05
0.18,-4.09e-05
0.185,-3.96e-05
0.19,-3.84e-05
0.195,-3.72e-05
0.2,-3.6e-05
0.205,-3.48e-05
0.21,-3.37e-05
0.215,-3.26e-05
0.22,-3.16e-05
0.225,-3.06e-05
0.23,-2.96e-05
0.235,-2.86e-05
0.24,-2.77e-05
0.245,-2.68e-05
0.25,-2.59e-05
0.255,-2.51e-05
0.26,-2.43e-05
0.265,-2.35e-05
0.27,-2.27e-05
0.275,-2.19e-05
0.28,-2.12e-05
0.285,-2.05e-05
0.29,-1.98e-05
0.295,-1.92e-05
0.3,-1.86e-05
0.305,-1.8e-05
0.31,-1.74e-05
0.315,-1.69e-05
0.32,-1.63e-05
0.325,-1.58e-05
0.33,-1.54e-05
0.335,-1.5e-05
0.34,-1.45e-05
0.345,-1.41e-05
0.35,-1.38e-05
0.355,-1.34e-05
0.36,-1.3e-05
0.365,-1.27e-05
0.37,-1.24e-05
0.375,-1.21e-05
0.38,-1.18e-05
0.385,-1.16e-05
0.39,-1.13e-05
0.395,-1.11e-05
0.4,-1.09e-05
0.405,-1.07e-05
0.41,-1.05e-05
0.415,-1.03e-05
0.42,-1.01e-05
0.425,-1.01e-05
0.43,-9.94e-06
0.435,-9.79e-06
0.44,-9.65e-06
0.445,-9.51e-06
0.45,-9.39e-06
0.455,-9.27e-06
0.46,-9.15e-06
0.465,-9.03e-06
0.47,-8.93e-06
0.475,-8.83e-06
0.48,-8.74e-06
0.485,-8.65e-06
0.49,-8.55e-06
0.495,-8.48e-06
0.5,-8.4e-06
0.505,-8.32e-06
0.51,-8.25e-06
0.515,-8.18e-06
0.52,-8.1e-06
0.525,-8.03e-06
0.53,-7.97e-06
0.535,-7.9e-06
0.54,-7.84e-06
0.545,-7.77e-06
0.55,-7.71e-06
0.555,-7.66e-06
0.56,-7.6e-06
0.565,-7.54e-06
0.57,-7.49e-06
0.575,-7.43e-06
0.58,-7.39e-06
0.585,-7.33e-06
0.59,-7.29e-06
0.595,-7.24e-06
0.6,-7.18e-06
0.605,-7.14e-06
0.61,-7.09e-06
0.615,-7.05e-06
0.62,-7e-06
0.625,-6.96e-06
0.63,-6.92e-06
0.635,-6.87e-06
0.64,-6.83e-06
0.645,-6.78e-06
0.65,-6.74e-06
0.655,-6.69e-06
0.66,-6.65e-06
0.665,-6.61e-06
0.67,-6.57e-06
0.675,-6.53e-06
0.68,-6.49e-06
0.685,-6.45e-06
0.69,-6.41e-06
0.695,-6.37e-06
0.7,-6.33e-06
0.705,-6.3e-06
0.71,-6.25e-06
0.715,-6.21e-06
0.72,-6.17e-06
0.725,-6.13e-06
0.73,-6.09e-06
0.735,-6.06e-06
0.74,-6.03e-06
0.745,-5.99e-06
0.75,-5.95e-06
0.755,-5.91e-06
0.76,-5.88e-06
0.765,-5.84e-06
0.77,-5.8e-06
0.775,-5.77e-06
0.78,-5.73e-06
0.785,-5.71e-06
0.79,-5.67e-06
0.795,-5.62e-06
0.8,-5.59e-06
0.805,-5.55e-06
0.81,-5.52e-06
0.815,-5.48e-06
0.82,-5.45e-06
0.825,-5.41e-06
0.83,-5.37e-06
0.835,-5.34e-06
0.84,-5.31e-06
0.845,-5.28e-06
0.85,-5.24e-06
0.855,-5.21e-06
0.86,-5.16e-06
0.865,-5.13e-06
0.87,-5.11e-06
0.875,-5.08e-06
0.88,-5.04e-06
0.885,-5e-06
0.89,-4.97e-06
0.895,-4.94e-06
0.9,-4.9e-06
0.905,-4.87e-06
0.91,-4.84e-06
0.915,-4.81e-06
0.92,-4.78e-06
0.925,-4.74e-06
0.93,-4.7e-06
0.935,-4.68e-06
0.94,-4.65e-06
0.945,-4.61e-06
0.95,-4.58e-06
0.955,-4.55e-06
0.96,-4.51e-06
0.965,-4.48e-06
0.97,-4.46e-06
0.975,-4.42e-06
0.98,-4.39e-06
0.985,-4.36e-06
0.99,-4.33e-06
0.995,-4.3e-06
1.0,-4.27e-06
1.005,-4.24e-06
1.01,-4.2e-06
1.015,-4.17e-06
1.02,-4.14e-06
1.025,-4.1e-06
1.03,-4.08e-06
1.035,-4.03e-06
1.04,-4.01e-06
1.045,-3.98e-06
1.05,-3.94e-06
1.055,-3.91e-06
1.06,-3.88e-06
1.065,-3.85e-06
1.07,-3.82e-06
1.075,-3.79e-06
1.08,-3.76e-06
1.085,-3.73e-06
1.09,-3.69e-06
1.095,-3.67e-06
1.1,-3.63e-06
1.105,-3.6e-06
1.11,-3.58e-06
1.115,-3.55e-06
1.12,-3.51e-06
1.125,-3.48e-06
1.13,-3.45e-06
1.135,-3.43e-06
1.14,-3.39e-06
1.145,-3.36e-06
1.15,-3.33e-06
1.155,-3.3e-06
1.16,-3.27e-06
1.165,-3.23e-06
1.17,-3.21e-06
1.175,-3.17e-06
1.18,-3.14e-06
1.185,-3.12e-06
1.19,-3.09e-06
1.195,-3.06e-06
1.2,-3.03e-06
1.205,-3e-06
1.21,-2.96e-06
1.215,-2.93e-06
1.22,-2.91e-06
1.225,-2.87e-06
1.23,-2.85e-06
1.235,-2.82e-06
1.24,-2.8e-06
1.245,-2.76e-06
1.25,-2.74e-06
1.255,-2.71e-06
1.26,-2.67e-06
1.265,-2.65e-06
1.27,-2.63e-06
1.275,-2.58e-06
1.28,-2.55e-06
1.285,-2.52e-06
1.29,-2.49e-06
1.295,-2.46e-06
1.3,-2.43e-06
1.305,-2.41e-06
1.31,-2.37e-06
1.315,-2.34e-06
1.32,-2.31e-06
1.325,-2.28e-06
1.33,-2.25e-06
1.335,-2.22e-06
1.34,-2.19e-06
1.345,-2.17e-06
1.35,-2.13e-06
1.355,-2.11e-06
1.36,-2.08e-06
1.365,-2.05e-06
1.37,-2.02e-06
1.375,-1.99e-06
1.38,-1.96e-06
1.385,-1.94e-06
1.39,-1.91e-06
1.395,-1.88e-06
1.4,-1.85e-06
1.405,-1.83e-06
1.41,-1.8e-06
1.415,-1.77e-06
1.42,-1.74e-06
1.425,-1.71e-06
1.43,-1.69e-06
1.435,-1.66e-06
1.44,-1.64e-06
1.445,-1.61e-06
1.45,-1.58e-06
1.455,-1.54e-06
1.46,-1.52e-06
1.465,-1.49e-06
1.47,-1.45e-06
1.475,-1.43e-06
1.48,-1.39e-06
1.485,-1.37e-06
1.49,-1.34e-06
1.495,-1.31e-06
1.5,-1.28e-06
1.505,-1.25e-06
1.51,-1.23e-06
1.515,-1.2e-06
1.52,-1.17e-06
1.525,-1.169e-06
1.53,-1.143e-06
1.535,-1.116e-06
1.54,-1.084e-06
1.545,-1.053e-06
1.55,-1.025e-06
1.555,-9.99e-07
1.56,-9.78e-07
1.565,-9.51e-07
1.57,-9.21e-07
1.575,-8.9e-07
1.58,-8.66e-07
1.585,-8.35e-07
1.59,-8.14e-07
1.595,-7.77e-07
1.6,-7.45e-07
1.605,-7.16e-07
1.61,-6.84e-07
1.615,-6.58e-07
1.62,-6.32e-07
1.625,-6.1e-07
1.63,-5.77e-07
1.635,-5.52e-07
1.64,-5.31e-07
1.645,-4.94e-07
1.65,-4.59e-07
1.655,-4.38e-07
1.66,-4.13e-07
1.665,-3.79e-07
1.67,-3.45e-07
1.675,-3.18e-07
1.68,-2.88e-07
1.685,-2.64e-07
1.69,-2.36e-07
1.695,-2.014e-07
1.7,-1.783e-07
1.705,-1.509e-07
1.71,-1.177e-07
1.715,-9.65e-08
1.72,-6.02e-08
1.725,-3.63e-08
1.73,-1.09e-08
1.735,1.69e-08
1.74,5.1e-08
1.745,7.26e-08
1.75,9.93e-08
1.755,1.254e-07
1.76,1.493e-07
1.765,1.84e-07
1.77,2.14e-07
1.775,2.39e-07
1.78,2.69e-07
1.785,2.94e-07
1.79,3.19e-07
1.795,3.45e-07
1.8,3.73e-07
1.805,4.03e-07
1.81,4.33e-07
1.815,4.6e-07
1.82,4.89e-07
1.825,5.18e-07
1.83,5.41e-07
1.835,5.69e-07
1.84,5.98e-07
1.845,6.24e-07
1.85,6.49e-07
1.855,6.79e-07
1.86,7.02e-07
1.865,7.34e-07
1.87,7.61e-07
1.875,7.91e-07
1.88,8.17e-07
1.885,8.49e-07
1.89,8.72e-07
1.895,9e-07
1.9,9.33e-07
1.905,9.6e-07
1.91,9.9e-07
1.915,1.018e-06
1.92,1.047e-06
1.925,1.078e-06
1.93,1.103e-06
1.935,1.13e-06
1.94,1.162e-06
1.945,1.187e-06
1.95,1.217e-06
1.955,1.244e-06
1.96,1.268e-06
1.965,1.297e-06
1.97,1.324e-06
1.975,1.351e-06
1.98,1.379e-06
1.985,1.41e-06
1.99,1.434e-06
1.995,1.464e-06
2.0,1.486e-06
2.005,1.529e-06
2.01,1.556e-06
2.015,1.58e-06
2.02,1.61e-06
2.025,1.637e-06
2.03,1.66e-06
2.035,1.694e-06
2.04,1.719e-06
2.045,1.751e-06
2.05,1.773e-06
2.055,1.799e-06
2.06,1.826e-06
2.065,1.858e-06
2.07,1.886e-06
2.075,1.913e-06
2.08,1.956e-06
2.085,2.01e-06
2.09,2.04e-06
2.095,2.07e-06
2.1,2.1e-06
2.105,2.12e-06
2.11,2.14e-06
2.115,2.18e-06
2.12,2.2e-06
2.125,2.23e-06
2.13,2.26e-06
2.135,2.29e-06
2.14,2.32e-06
2.145,2.35e-06
2.15,2.38e-06
2.155,2.41e-06
2.16,2.44e-06
2.165,2.46e-06
2.17,2.48e-06
2.175,2.52e-06
2.18,2.55e-06
2.185,2.58e-06
2.19,2.59e-06
2.195,2.62e-06
2.2,2.65e-06
2.205,2.68e-06
2.21,2.71e-06
2.215,2.74e-06
2.22,2.76e-06
2.225,2.79e-06
2.23,2.82e-06
2.235,2.84e-06
2.24,2.88e-06
2.245,2.9e-06
2.25,2.93e-06
2.255,2.96e-06
2.26,2.99e-06
2.265,3.02e-06
2.27,3.05e-06
2.275,3.07e-06
2.28,3.1e-06
2.285,3.13e-06
2.29,3.15e-06
2.295,3.18e-06
2.3,3.21e-06
2.305,3.24e-06
2.31,3.26e-06
2.315,3.29e-06
2.32,3.32e-06
2.325,3.35e-06
2.33,3.39e-06
2.335,3.41e-06
2.34,3.43e-06
2.345,3.46e-06
2.35,3.5e-06
2.355,3.53e-06
2.36,3.56e-06
2.365,3.59e-06
2.37,3.61e-06
2.375,3.65e-06
2.38,3.67e-06
2.385,3.71e-06
2.39,3.74e-06
2.395,3.76e-06
2.4,3.79e-06
2.405,3.82e-06
2.41,3.84e-06
2.415,3.87e-06
2.42,3.9e-06
2.425,3.92e-06
2.43,3.95e-06
2.435,3.99e-06
2.44,4.02e-06
2.445,4.04e-06
2.45,4.08e-06
2.455,4.1e-06
2.46,4.14e-06
2.465,4.16e-06
2.47,4.19e-06
2.475,4.22e-06
2.48,4.25e-06
2.485,4.28e-06
2.49,4.31e-06
2.495,4.33e-06
2.5,4.36e-06
2.505,4.39e-06
2.51,4.42e-06
2.515,4.45e-06
2.52,4.48e-06
2.525,4.51e-06
2.53,4.54e-06
2.535,4.56e-06
2.54,4.58e-06
2.545,4.61e-06
2.55,4.65e-06
2.555,4.68e-06
2.56,4.7e-06
2.565,4.73e-06
2.57,4.77e-06
2.575,4.79e-06
2.58,4.82e-06
2.585,4.84e-06
2.59,4.88e-06
2.595,4.91e-06
2.6,4.93e-06
2.605,4.96e-06
2.61,4.99e-06
2.615,5.02e-06
2.62,5.05e-06
2.625,5.08e-06
2.63,5.11e-06
2.635,5.13e-06
2.64,5.17e-06
2.645,5.19e-06
2.65,5.22e-06
2.655,5.25e-06
2.66,5.28e-06
2.665,5.31e-06
2.67,5.34e-06
2.675,5.37e-06
2.68,5.4e-06
2.685,5.43e-06
2.69,5.45e-06
2.695,5.49e-06
2.7,5.51e-06
2.705,5.54e-06
2.71,5.57e-06
2.715,5.6e-06
2.72,5.64e-06
2.725,5.66e-06
2.73,5.69e-06
2.735,5.72e-06
2.74,5.75e-06
2.745,5.77e-06
2.75,5.8e-06
2.755,5.83e-06
2.76,5.86e-06
2.765,5.89e-06
2.77,5.92e-06
2.775,5.95e-06
2.78,5.98e-06
2.785,6.01e-06
2.79,6.04e-06
2.795,6.07e-06
2.8,6.1e-06
2.805,6.14e-06
2.81,6.16e-06
2.815,6.18e-06
2.82,6.21e-06
2.825,6.24e-06
2.83,6.28e-06
2.835,6.3e-06
2.84,6.33e-06
2.845,6.36e-06
2.85,6.4e-06
2.855,6.43e-06
2.86,6.46e-06
2.865,6.49e-06
2.87,6.52e-06
2.875,6.55e-06
2.88,6.57e-06
2.885,6.61e-06
2.89,6.64e-06
2.895,6.67e-06
2.9,6.7e-06
2.905,6.73e-06
2.91,6.77e-06
2.915,6.79e-06
2.92,6.82e-06
2.925,6.85e-06
2.93,6.88e-06
2.935,6.92e-06
2.94,6.95e-06
2.945,6.98e-06
2.95,7.01e-06
2.955,7.04e-06
2.96,7.08e-06
2.965,7.1e-06
2.97,7.13e-06
2.975,7.16e-06
2.98,7.19e-06
2.985,7.23e-06
2.99,7.25e-06
2.995,7.29e-06
3.0,7.31e-06
3.005,7.34e-06
3.01,7.37e-06
3.015,7.41e-06
3.02,7.44e-06
3.025,7.48e-06
3.03,7.5e-06
3.035,7.53e-06
3.04,7.57e-06
3.045,7.6e-06
3.05,7.63e-06
3.055,7.67e-06
3.06,7.7e-06
3.065,7.73e-06
3.07,7.76e-06
3.075,7.79e-06
3.08,7.83e-06
3.085,7.87e-06
3.09,7.9e-06
3.095,7.93e-06
3.1,7.96e-06
3.105,7.99e-06
3.11,8.03e-06
3.115,8.07e-06
3.12,8.1e-06
3.125,8.13e-06
3.13,8.14e-06
3.135,8.19e-06
3.14,8.22e-06
3.145,8.25e-06
3.15,8.28e-06
3.155,8.32e-06
3.16,8.35e-06
3.165,8.38e-06
3.17,8.41e-06
3.175,8.44e-06
3.18,8.47e-06
3.185,8.51e-06
3.19,8.54e-06
3.195,8.57e-06
3.2,8.62e-06
3.205,8.65e-06
3.21,8.68e-06
3.215,8.71e-06
3.22,8.74e-06
3.225,8.77e-06
3.23,8.8e-06
3.235,8.84e-06
3.24,8.87e-06
3.245,8.9e-06
3.25,8.93e-06
3.255,8.96e-06
3.26,9e-06
3.265,9.04e-06
3.27,9.06e-06
3.275,9.1e-06
3.28,9.13e-06
3.285,9.17e-06
3.29,9.2e-06
3.295,9.24e-06
3.3,9.26e-06
3.305,9.3e-06
3.31,9.34e-06
3.315,9.37e-06
3.32,9.4e-06
3.325,9.42e-06
3.33,9.46e-06
3.335,9.5e-06
3.34,9.53e-06
3.345,9.57e-06
3.35,9.61e-06
3.355,9.65e-06
3.36,9.68e-06
3.365,9.71e-06
3.37,9.74e-06
3.375,9.78e-06
3.38,9.81e-06
3.385,9.85e-06
3.39,9.88e-06
3.395,9.91e-06
3.4,9.94e-06
3.405,9.99e-06
3.41,1.002e-05
3.415,1.005e-05
3.42,1.009e-05
3.425,1.012e-05
3.43,1.016e-05
3.435,1.019e-05
3.44,1.023e-05
3.445,1.026e-05
3.45,1.03e-05
3.455,1.034e-05
3.46,1.037e-05
3.465,1.041e-05
3.47,1.044e-05
3.475,1.048e-05
3.48,1.052e-05
