Vout,Iout
0,-0.0001096
0.005,-0.0001071
0.01,-0.0001046
0.015,-0.0001022
0.02,-9.98E-05
0.025,-9.74E-05
0.03,-9.50E-05
0.035,-9.27E-05
0.04,-9.04E-05
0.045,-8.82E-05
0.05,-8.60E-05
0.055,-8.38E-05
0.06,-8.17E-05
0.065,-7.95E-05
0.07,-7.75E-05
0.075,-7.55E-05
0.08,-7.35E-05
0.085,-7.16E-05
0.09,-6.97E-05
0.095,-6.78E-05
0.1,-6.60E-05
0.105,-6.42E-05
0.11,-6.24E-05
0.115,-6.07E-05
0.12,-5.90E-05
0.125,-5.73E-05
0.13,-5.56E-05
0.135,-5.40E-05
0.14,-5.24E-05
0.145,-5.09E-05
0.15,-4.94E-05
0.155,-4.79E-05
0.16,-4.64E-05
0.165,-4.50E-05
0.17,-4.36E-05
0.175,-4.23E-05
0.18,-4.09E-05
0.185,-3.96E-05
0.19,-3.84E-05
0.195,-3.72E-05
0.2,-3.60E-05
0.205,-3.49E-05
0.21,-3.38E-05
0.215,-3.27E-05
0.22,-3.16E-05
0.225,-3.06E-05
0.23,-2.96E-05
0.235,-2.87E-05
0.24,-2.77E-05
0.245,-2.68E-05
0.25,-2.60E-05
0.255,-2.51E-05
0.26,-2.43E-05
0.265,-2.35E-05
0.27,-2.27E-05
0.275,-2.19E-05
0.28,-2.12E-05
0.285,-2.05E-05
0.29,-1.99E-05
0.295,-1.92E-05
0.3,-1.86E-05
0.305,-1.80E-05
0.31,-1.75E-05
0.315,-1.69E-05
0.32,-1.64E-05
0.325,-1.59E-05
0.33,-1.54E-05
0.335,-1.50E-05
0.34,-1.46E-05
0.345,-1.42E-05
0.35,-1.38E-05
0.355,-1.34E-05
0.36,-1.31E-05
0.365,-1.28E-05
0.37,-1.24E-05
0.375,-1.22E-05
0.38,-1.19E-05
0.385,-1.16E-05
0.39,-1.14E-05
0.395,-1.11E-05
0.4,-1.03E-05
0.405,-1.07E-05
0.41,-1.05E-05
0.415,-1.04E-05
0.42,-1.02E-05
0.425,-1.00E-05
0.43,-9.85E-06
0.435,-9.70E-06
0.44,-9.56E-06
0.445,-9.42E-06
0.45,-9.29E-06
0.455,-9.17E-06
0.46,-9.06E-06
0.465,-8.95E-06
0.47,-8.85E-06
0.475,-8.74E-06
0.48,-8.65E-06
0.485,-8.55E-06
0.49,-8.46E-06
0.495,-8.38E-06
0.5,-8.30E-06
0.505,-8.22E-06
0.51,-8.15E-06
0.515,-8.07E-06
0.52,-8.00E-06
0.525,-7.92E-06
0.53,-7.86E-06
0.535,-7.80E-06
0.54,-7.72E-06
0.545,-7.65E-06
0.55,-7.60E-06
0.555,-7.53E-06
0.56,-7.48E-06
0.565,-7.42E-06
0.57,-7.37E-06
0.575,-7.31E-06
0.58,-7.26E-06
0.585,-7.22E-06
0.59,-7.17E-06
0.595,-7.12E-06
0.6,-7.08E-06
0.605,-7.03E-06
0.61,-6.98E-06
0.615,-6.94E-06
0.62,-6.88E-06
0.625,-6.84E-06
0.63,-6.79E-06
0.635,-6.75E-06
0.64,-6.71E-06
0.645,-6.66E-06
0.65,-6.62E-06
0.655,-6.57E-06
0.66,-6.54E-06
0.665,-6.49E-06
0.67,-6.46E-06
0.675,-6.41E-06
0.68,-6.37E-06
0.685,-6.33E-06
0.69,-6.29E-06
0.695,-6.25E-06
0.7,-6.21E-06
0.705,-6.17E-06
0.71,-6.13E-06
0.715,-6.09E-06
0.72,-6.05E-06
0.725,-6.02E-06
0.73,-5.98E-06
0.735,-5.94E-06
