"V","I"
-5.0,-0.000126
-4.9,-0.000123
-4.8,-0.000118
-4.7,-0.000113
-4.6,-0.000108
-4.5,-0.000102
-4.4,-1.03e-08
-4.3,-9.6e-09
-4.2,-8.9e-09
-4.1,-8.1e-09
-4.0,-1.22e-08
-3.9,-1.06e-08
-3.8,-8.6e-09
-3.7,-5.5e-09
-3.6,1.071e-07
-3.5,1.661e-07
-3.4,1.293e-06
-3.3,4.88e-07
-3.2,5.4e-08
-3.1,-1.36e-07
-3.0,-3.25e-07
-2.9,-2.9e-08
-2.8,4.44e-08
-2.7,1.113e-07
-2.6,5.13e-07
-2.5,2.7e-08
-2.4,-1.25e-07
-2.3,-1.5e-07
-2.2,-1.49e-07
-2.1,-1.68e-07
-2.0,-9.7e-08
-1.9,-5.5e-08
-1.8,-2.2e-08
-1.7,3.6e-08
-1.6,7.7e-08
-1.5,1.16e-07
-1.4,1.55e-07
-1.3,1.6e-07
-1.2,1.8e-07
-1.1,2.52e-07
-1.0,3.01e-07
-0.9,3.47e-07
-0.8,3.84e-07
-0.7,4.22e-07
-0.6,4.5e-07
-0.5,4.82e-07
-0.4,5.27e-07
-0.3,4.95e-07
-0.2,5.56e-07
-0.1,6.17e-07
0.0,6.68e-07
0.1,7.25e-07
0.2,7.3e-07
0.3,7.62e-07
0.4,7.91e-07
0.5,8.53e-07
0.6,8.11e-07
0.7,8.66e-07
0.8,8.17e-07
0.9,5.96e-07
1.0,6.63e-07
1.1,6.56e-07
1.2,6.96e-07
1.3,7.5e-07
1.4,7.78e-07
1.5,8.02e-07
1.6,4.23e-07
1.7,4.4e-07
1.8,4.63e-07
1.9,4.82e-07
2.0,5.09e-07
2.1,4.35e-07
2.2,4.73e-07
2.3,5.81e-07
2.4,7.35e-07
2.5,7.16e-07
2.6,6.37e-07
2.7,1.62e-06
2.8,1.73e-06
2.9,1.78e-06
3.0,1.94e-06
3.1,2.05e-06
3.2,2.19e-06
3.3,2.26e-06
3.4,2.41e-06
3.5,2.52e-06
3.6,2.66e-06
3.7,2.87e-06
3.8,3.22e-06
3.9,3.41e-06
4.0,3.66e-06
4.1,4.16e-06
4.2,4.42e-06
4.3,4.6e-06
4.4,4.85e-06
4.5,5.09e-06
4.6,5.38e-06
4.7,5.7e-06
4.8,5.96e-06
4.9,6.31e-06
5.0,6.62e-06
